season,round,position,team,played,won,drawn,lost,gf,ga,gd,points
2012/13,1,1,FC Ashdod,1,1,0,0,2,0,2,3
2012/13,1,2,Kiryat Shmona,1,1,0,0,3,2,1,3
2012/13,1,3,M. Tel Aviv,1,1,0,0,2,1,1,3
2012/13,1,4,Hapoel Tel Aviv,1,1,0,0,1,0,1,3
2012/13,1,5,Bnei Yehuda,1,0,1,0,1,1,0,1
2012/13,1,6,Hapoel Acre,1,0,1,0,1,1,0,1
2012/13,1,7,Bnei Sakhnin,1,0,1,0,0,0,0,1
2012/13,1,8,H. Beer Sheva,1,0,1,0,0,0,0,1
2012/13,1,9,Hapoel Haifa,1,0,1,0,0,0,0,1
2012/13,1,10,Maccabi Netanya,1,0,1,0,0,0,0,1
2012/13,1,11,B. Jerusalem,1,0,0,1,2,3,-1,0
2012/13,1,12,Maccabi Haifa,1,0,0,1,1,2,-1,0
2012/13,1,13,H. Ramat Gan,1,0,0,1,0,1,-1,0
2012/13,1,14,Ramat haSharon,1,0,0,1,0,2,-2,0
2012/13,2,1,FC Ashdod,2,2,0,0,5,1,4,6
2012/13,2,2,Kiryat Shmona,2,2,0,0,6,3,3,6
2012/13,2,3,Hapoel Tel Aviv,2,2,0,0,3,0,3,6
2012/13,2,4,M. Tel Aviv,2,2,0,0,3,1,2,6
2012/13,2,5,Bnei Yehuda,2,1,1,0,2,1,1,4
2012/13,2,6,Ramat haSharon,2,1,0,1,3,3,0,3
2012/13,2,7,H. Beer Sheva,2,0,2,0,1,1,0,2
2012/13,2,8,B. Jerusalem,2,0,1,1,3,4,-1,1
2012/13,2,9,Maccabi Netanya,2,0,1,1,0,1,-1,1
2012/13,2,10,Hapoel Acre,2,0,1,1,2,4,-2,1
2012/13,2,11,Bnei Sakhnin,2,0,1,1,1,3,-2,1
2012/13,2,12,Hapoel Haifa,2,0,1,1,0,2,-2,1
2012/13,2,13,H. Ramat Gan,2,0,0,2,0,2,-2,0
2012/13,2,14,Maccabi Haifa,2,0,0,2,2,5,-3,0
2012/13,3,1,FC Ashdod,3,3,0,0,7,2,5,9
2012/13,3,2,Hapoel Tel Aviv,3,3,0,0,5,0,5,9
2012/13,3,3,M. Tel Aviv,3,3,0,0,6,2,4,9
2012/13,3,4,Kiryat Shmona,3,2,0,1,6,4,2,6
2012/13,3,5,Hapoel Acre,3,1,1,1,7,5,2,4
2012/13,3,6,Ramat haSharon,3,1,1,1,4,4,0,4
2012/13,3,7,Maccabi Netanya,3,1,1,1,1,1,0,4
2012/13,3,8,Bnei Yehuda,3,1,1,1,2,3,-1,4
2012/13,3,9,H. Beer Sheva,3,0,3,0,2,2,0,3
2012/13,3,10,B. Jerusalem,3,0,1,2,4,6,-2,1
2012/13,3,11,H. Ramat Gan,3,0,1,2,1,3,-2,1
2012/13,3,12,Maccabi Haifa,3,0,1,2,3,6,-3,1
2012/13,3,13,Hapoel Haifa,3,0,1,2,1,5,-4,1
2012/13,3,14,Bnei Sakhnin,3,0,1,2,2,8,-6,1
2012/13,4,1,M. Tel Aviv,4,4,0,0,10,2,8,12
2012/13,4,2,FC Ashdod,4,4,0,0,8,2,6,12
2012/13,4,3,Hapoel Tel Aviv,4,3,0,1,5,1,4,9
2012/13,4,4,Hapoel Acre,4,2,1,1,8,5,3,7
2012/13,4,5,Bnei Yehuda,4,2,1,1,5,4,1,7
2012/13,4,6,Ramat haSharon,4,2,1,1,5,4,1,7
2012/13,4,7,Maccabi Netanya,4,2,1,1,3,2,1,7
2012/13,4,8,Kiryat Shmona,4,2,0,2,6,8,-2,6
2012/13,4,9,H. Ramat Gan,4,1,1,2,4,4,0,4
2012/13,4,10,H. Beer Sheva,4,0,3,1,3,4,-1,3
2012/13,4,11,B. Jerusalem,4,0,1,3,4,7,-3,1
2012/13,4,12,Maccabi Haifa,4,0,1,3,3,7,-4,1
2012/13,4,13,Hapoel Haifa,4,0,1,3,2,8,-6,1
2012/13,4,14,Bnei Sakhnin,4,0,1,3,3,11,-8,1
2012/13,5,1,FC Ashdod,5,5,0,0,11,2,9,15
2012/13,5,2,M. Tel Aviv,5,4,0,1,11,5,6,12
2012/13,5,3,Hapoel Tel Aviv,5,4,0,1,6,1,5,12
2012/13,5,4,Hapoel Acre,5,2,2,1,8,5,3,8
2012/13,5,5,Bnei Yehuda,5,2,2,1,7,6,1,8
2012/13,5,6,Ramat haSharon,5,2,2,1,7,6,1,8
2012/13,5,7,Kiryat Shmona,5,2,1,2,7,9,-2,7
2012/13,5,8,Maccabi Netanya,5,2,1,2,3,5,-2,7
2012/13,5,9,H. Beer Sheva,5,1,3,1,6,5,1,6
2012/13,5,10,H. Ramat Gan,5,1,2,2,6,6,0,5
2012/13,5,11,B. Jerusalem,5,0,2,3,6,9,-3,2
2012/13,5,12,Maccabi Haifa,5,0,2,3,3,7,-4,2
2012/13,5,13,Hapoel Haifa,5,0,2,3,3,9,-6,2
2012/13,5,14,Bnei Sakhnin,5,0,1,4,3,12,-9,1
2012/13,6,1,FC Ashdod,6,5,0,1,12,4,8,15
2012/13,6,2,M. Tel Aviv,6,5,0,1,13,6,7,15
2012/13,6,3,Hapoel Tel Aviv,6,4,0,2,8,4,4,12
2012/13,6,4,Hapoel Acre,6,3,2,1,11,6,5,11
2012/13,6,5,Ramat haSharon,6,3,2,1,9,6,3,11
2012/13,6,6,Bnei Yehuda,6,2,3,1,9,8,1,9
2012/13,6,7,Kiryat Shmona,6,2,2,2,8,10,-2,8
2012/13,6,8,H. Beer Sheva,6,1,4,1,7,6,1,7
2012/13,6,9,Maccabi Netanya,6,2,1,3,4,8,-4,7
2012/13,6,10,B. Jerusalem,6,1,2,3,9,11,-2,5
2012/13,6,11,H. Ramat Gan,6,1,2,3,6,8,-2,5
2012/13,6,12,Maccabi Haifa,6,1,2,3,5,7,-2,5
2012/13,6,13,Hapoel Haifa,6,0,2,4,3,11,-8,2
2012/13,6,14,Bnei Sakhnin,6,0,2,4,5,14,-9,2
2012/13,7,1,FC Ashdod,7,6,0,1,14,4,10,18
2012/13,7,2,M. Tel Aviv,7,6,0,1,15,6,9,18
2012/13,7,3,Hapoel Tel Aviv,7,5,0,2,11,4,7,15
2012/13,7,4,Hapoel Acre,7,3,2,2,11,8,3,11
2012/13,7,5,Ramat haSharon,7,3,2,2,10,9,1,11
2012/13,7,6,Bnei Yehuda,7,2,3,2,10,10,0,9
2012/13,7,7,H. Beer Sheva,7,1,5,1,7,6,1,8
2012/13,7,8,B. Jerusalem,7,2,2,3,11,12,-1,8
2012/13,7,9,Kiryat Shmona,7,2,2,3,8,12,-4,8
2012/13,7,10,Maccabi Netanya,7,2,2,3,5,9,-4,8
2012/13,7,11,H. Ramat Gan,7,1,3,3,7,9,-2,6
2012/13,7,12,Maccabi Haifa,7,1,2,4,5,10,-5,5
2012/13,7,13,Bnei Sakhnin,7,1,2,4,8,15,-7,5
2012/13,7,14,Hapoel Haifa,7,0,3,4,3,11,-8,3
2012/13,8,1,M. Tel Aviv,8,7,0,1,18,7,11,21
2012/13,8,2,FC Ashdod,8,6,1,1,14,4,10,19
2012/13,8,3,Hapoel Tel Aviv,8,5,0,3,12,6,6,15
2012/13,8,4,Hapoel Acre,8,3,2,3,11,9,2,11
2012/13,8,5,B. Jerusalem,8,3,2,3,12,12,0,11
2012/13,8,6,Ramat haSharon,8,3,2,3,10,10,0,11
2012/13,8,7,Kiryat Shmona,8,3,2,3,9,12,-3,11
2012/13,8,8,Maccabi Netanya,8,3,2,3,7,10,-3,11
2012/13,8,9,Bnei Yehuda,8,2,4,2,11,11,0,10
2012/13,8,10,H. Beer Sheva,8,1,6,1,7,6,1,9
2012/13,8,11,Bnei Sakhnin,8,2,2,4,10,15,-5,8
2012/13,8,12,H. Ramat Gan,8,1,3,4,8,12,-4,6
2012/13,8,13,Maccabi Haifa,8,1,3,4,6,11,-5,6
2012/13,8,14,Hapoel Haifa,8,0,3,5,3,13,-10,3
2012/13,9,1,M. Tel Aviv,9,7,0,2,18,8,10,21
2012/13,9,2,FC Ashdod,9,6,1,2,15,6,9,19
2012/13,9,3,Hapoel Tel Aviv,9,6,0,3,13,6,7,18
2012/13,9,4,Bnei Yehuda,9,3,4,2,14,11,3,13
2012/13,9,5,Hapoel Acre,9,3,3,3,13,11,2,12
2012/13,9,6,B. Jerusalem,9,3,3,3,13,13,0,12
2012/13,9,7,Ramat haSharon,9,3,3,3,11,11,0,12
2012/13,9,8,Kiryat Shmona,9,3,3,3,10,13,-3,12
2012/13,9,9,Maccabi Netanya,9,3,2,4,7,13,-6,11
2012/13,9,10,H. Beer Sheva,9,1,7,1,9,8,1,10
2012/13,9,11,Bnei Sakhnin,9,2,3,4,11,16,-5,9
2012/13,9,12,H. Ramat Gan,9,1,4,4,9,13,-4,7
2012/13,9,13,Maccabi Haifa,9,1,4,4,7,12,-5,7
2012/13,9,14,Hapoel Haifa,9,1,3,5,5,14,-9,6
2012/13,10,1,FC Ashdod,10,7,1,2,17,6,11,22
2012/13,10,2,M. Tel Aviv,10,7,0,3,18,9,9,21
2012/13,10,3,Hapoel Tel Aviv,10,7,0,3,14,6,8,21
2012/13,10,4,Bnei Yehuda,10,4,4,2,15,11,4,16
2012/13,10,5,B. Jerusalem,10,4,3,3,16,13,3,15
2012/13,10,6,Ramat haSharon,10,4,3,3,13,12,1,15
2012/13,10,7,H. Beer Sheva,10,2,7,1,12,10,2,13
2012/13,10,8,Hapoel Acre,10,3,3,4,13,13,0,12
2012/13,10,9,Kiryat Shmona,10,3,3,4,10,14,-4,12
2012/13,10,10,Maccabi Netanya,10,3,2,5,8,15,-7,11
2012/13,10,11,Bnei Sakhnin,10,2,4,4,11,16,-5,10
2012/13,10,12,Maccabi Haifa,10,1,5,4,7,12,-5,8
2012/13,10,13,H. Ramat Gan,10,1,4,5,11,16,-5,7
2012/13,10,14,Hapoel Haifa,10,1,3,6,5,17,-12,6
2012/13,11,1,FC Ashdod,11,8,1,2,18,6,12,25
2012/13,11,2,Hapoel Tel Aviv,11,8,0,3,18,7,11,24
2012/13,11,3,M. Tel Aviv,11,8,0,3,22,12,10,24
2012/13,11,4,Bnei Yehuda,11,4,4,3,15,13,2,16
2012/13,11,5,B. Jerusalem,11,4,3,4,17,15,2,15
2012/13,11,6,Ramat haSharon,11,4,3,4,16,16,0,15
2012/13,11,7,Kiryat Shmona,11,4,3,4,12,14,-2,15
2012/13,11,8,Hapoel Acre,11,3,4,4,13,13,0,13
2012/13,11,9,H. Beer Sheva,11,2,7,2,13,14,-1,13
2012/13,11,10,Maccabi Netanya,11,3,3,5,8,15,-7,12
2012/13,11,11,Maccabi Haifa,11,2,5,4,9,13,-4,11
2012/13,11,12,Bnei Sakhnin,11,2,5,4,11,16,-5,11
2012/13,11,13,H. Ramat Gan,11,1,4,6,11,17,-6,7
2012/13,11,14,Hapoel Haifa,11,1,4,6,5,17,-12,7
2012/13,12,1,M. Tel Aviv,12,9,0,3,26,12,14,27
2012/13,12,2,Hapoel Tel Aviv,12,9,0,3,20,8,12,27
2012/13,12,3,FC Ashdod,12,8,1,3,19,8,11,25
2012/13,12,4,B. Jerusalem,12,5,3,4,20,17,3,18
2012/13,12,5,Kiryat Shmona,12,5,3,4,14,14,0,18
2012/13,12,6,Bnei Yehuda,12,4,4,4,15,14,1,16
2012/13,12,7,H. Beer Sheva,12,3,7,2,14,14,0,16
