season,round,position,team,played,won,drawn,lost,gf,ga,gd,points
2020/21,1,1,Bnei Yehuda,1,1,0,0,3,0,3,3
2020/21,1,2,Kiryat Shmona,1,1,0,0,2,0,2,3
2020/21,1,3,H. Beer Sheva,1,1,0,0,3,2,1,3
2020/21,1,4,H. Kfar Saba,1,1,0,0,2,1,1,3
2020/21,1,5,M. Petah Tikva,1,1,0,0,2,1,1,3
2020/21,1,6,Maccabi Haifa,1,1,0,0,2,1,1,3
2020/21,1,7,B. Jerusalem,1,1,0,0,1,0,1,3
2020/21,1,8,Maccabi Netanya,1,0,0,1,2,3,-1,0
2020/21,1,9,Hapoel Hadera,1,0,0,1,1,2,-1,0
2020/21,1,10,Hapoel Tel Aviv,1,0,0,1,1,2,-1,0
2020/21,1,11,M. Tel Aviv,1,0,0,1,1,2,-1,0
2020/21,1,12,Hapoel Haifa,1,0,0,1,0,1,-1,0
2020/21,1,13,FC Ashdod,1,0,0,1,0,2,-2,0
2020/21,1,14,Bnei Sakhnin,1,0,0,1,0,3,-3,0
2020/21,2,1,B. Jerusalem,2,2,0,0,5,0,5,6
2020/21,2,2,Maccabi Haifa,2,2,0,0,5,2,3,6
2020/21,2,3,M. Petah Tikva,2,2,0,0,4,1,3,6
2020/21,2,4,Bnei Yehuda,2,1,1,0,5,2,3,4
2020/21,2,5,Kiryat Shmona,2,1,1,0,3,1,2,4
2020/21,2,6,Maccabi Netanya,2,1,0,1,9,3,6,3
2020/21,2,7,FC Ashdod,2,1,0,1,2,2,0,3
2020/21,2,8,H. Beer Sheva,2,1,0,1,4,5,-1,3
2020/21,2,9,H. Kfar Saba,2,1,0,1,2,3,-1,3
2020/21,2,10,M. Tel Aviv,2,0,1,1,3,4,-1,1
2020/21,2,11,Hapoel Haifa,2,0,1,1,1,2,-1,1
2020/21,2,12,Hapoel Tel Aviv,2,0,0,2,1,4,-3,0
2020/21,2,13,Hapoel Hadera,2,0,0,2,1,6,-5,0
2020/21,2,14,Bnei Sakhnin,2,0,0,2,0,10,-10,0
2020/21,3,1,Maccabi Haifa,3,3,0,0,8,2,6,9
2020/21,3,2,B. Jerusalem,3,3,0,0,6,0,6,9
2020/21,3,3,M. Petah Tikva,3,2,0,1,4,2,2,6
2020/21,3,4,H. Kfar Saba,3,2,0,1,5,4,1,6
2020/21,3,5,FC Ashdod,3,2,0,1,3,2,1,6
2020/21,3,6,Maccabi Netanya,3,1,1,1,11,5,6,4
2020/21,3,7,Bnei Yehuda,3,1,1,1,6,5,1,4
2020/21,3,8,Hapoel Haifa,3,1,1,1,3,2,1,4
2020/21,3,9,Kiryat Shmona,3,1,1,1,3,2,1,4
2020/21,3,10,H. Beer Sheva,3,1,1,1,6,7,-1,4
2020/21,3,11,M. Tel Aviv,3,0,2,1,5,6,-1,2
2020/21,3,12,Hapoel Hadera,3,0,1,2,3,8,-5,1
2020/21,3,13,Hapoel Tel Aviv,3,0,0,3,1,6,-5,0
2020/21,3,14,Bnei Sakhnin,3,0,0,3,0,13,-13,0
2020/21,4,1,Maccabi Haifa,4,3,1,0,10,4,6,10
2020/21,4,2,B. Jerusalem,4,3,1,0,7,1,6,10
2020/21,4,3,M. Petah Tikva,4,3,0,1,6,2,4,9
2020/21,4,4,Maccabi Netanya,4,2,1,1,14,5,9,7
2020/21,4,5,Bnei Yehuda,4,2,1,1,7,5,2,7
2020/21,4,6,FC Ashdod,4,2,0,2,3,3,0,6
2020/21,4,7,H. Kfar Saba,4,2,0,2,5,7,-2,6
2020/21,4,8,Kiryat Shmona,4,1,2,1,4,3,1,5
2020/21,4,9,H. Beer Sheva,4,1,2,1,8,9,-1,5
2020/21,4,10,Hapoel Haifa,4,1,1,2,3,4,-1,4
2020/21,4,11,M. Tel Aviv,4,0,3,1,7,8,-1,3
2020/21,4,12,Hapoel Hadera,4,0,2,2,4,9,-5,2
2020/21,4,13,Hapoel Tel Aviv,4,0,1,3,2,7,-5,1
2020/21,4,14,Bnei Sakhnin,4,0,1,3,2,15,-13,1
2020/21,5,1,M. Petah Tikva,5,4,0,1,8,3,5,12
2020/21,5,2,Maccabi Haifa,5,3,1,1,12,7,5,10
2020/21,5,3,B. Jerusalem,5,3,1,1,8,3,5,10
2020/21,5,4,FC Ashdod,5,3,0,2,7,3,4,9
2020/21,5,5,H. Kfar Saba,5,3,0,2,8,9,-1,9
2020/21,5,6,Kiryat Shmona,5,2,2,1,5,3,2,8
2020/21,5,7,Maccabi Netanya,5,2,1,2,14,9,5,7
2020/21,5,8,Bnei Yehuda,5,2,1,2,8,7,1,7
2020/21,5,9,Hapoel Haifa,5,2,1,2,5,5,0,7
2020/21,5,10,H. Beer Sheva,5,1,3,1,8,9,-1,6
2020/21,5,11,Hapoel Hadera,5,1,2,2,8,9,-1,5
2020/21,5,12,M. Tel Aviv,5,0,4,1,7,8,-1,4
2020/21,5,13,Hapoel Tel Aviv,5,0,1,4,2,8,-6,1
2020/21,5,14,Bnei Sakhnin,5,0,1,4,2,19,-17,1
2020/21,6,1,Maccabi Haifa,6,4,1,1,14,8,6,13
2020/21,6,2,M. Petah Tikva,6,4,0,2,8,4,4,12
2020/21,6,3,Kiryat Shmona,6,3,2,1,6,3,3,11
2020/21,6,4,Maccabi Netanya,6,3,1,2,16,10,6,10
2020/21,6,5,B. Jerusalem,6,3,1,2,8,4,4,10
2020/21,6,6,Bnei Yehuda,6,3,1,2,9,7,2,10
2020/21,6,7,H. Kfar Saba,6,3,1,2,8,9,-1,10
2020/21,6,8,FC Ashdod,6,3,0,3,8,5,3,9
2020/21,6,9,M. Tel Aviv,6,1,4,1,9,9,0,7
2020/21,6,10,H. Beer Sheva,6,1,4,1,8,9,-1,7
2020/21,6,11,Hapoel Haifa,6,2,1,3,6,7,-1,7
2020/21,6,12,Hapoel Hadera,6,1,2,3,8,10,-2,5
2020/21,6,13,Hapoel Tel Aviv,6,1,1,4,3,8,-5,4
2020/21,6,14,Bnei Sakhnin,6,0,1,5,3,21,-18,1
2020/21,7,1,Kiryat Shmona,7,4,2,1,8,3,5,14
2020/21,7,2,Maccabi Haifa,7,4,1,2,15,10,5,13
2020/21,7,3,M. Petah Tikva,7,4,1,2,8,4,4,13
2020/21,7,4,FC Ashdod,7,4,0,3,10,5,5,12
2020/21,7,5,Maccabi Netanya,7,3,2,2,17,11,6,11
2020/21,7,6,B. Jerusalem,7,3,2,2,9,5,4,11
2020/21,7,7,M. Tel Aviv,7,2,4,1,10,9,1,10
2020/21,7,8,Bnei Yehuda,7,3,1,3,9,9,0,10
2020/21,7,9,Hapoel Haifa,7,3,1,3,8,8,0,10
2020/21,7,10,H. Kfar Saba,7,3,1,3,8,10,-2,10
