season,round,position,team,played,won,drawn,lost,gf,ga,gd,points
2016/17,1,1,M. Tel Aviv,1,1,0,0,3,1,2,3
2016/17,1,2,H. Ashkelon,1,1,0,0,3,2,1,3
2016/17,1,3,H. Beer Sheva,1,1,0,0,2,1,1,3
2016/17,1,4,Kiryat Shmona,1,1,0,0,1,0,1,3
2016/17,1,5,Maccabi Haifa,1,1,0,0,1,0,1,3
2016/17,1,6,B. Jerusalem,1,0,1,0,2,2,0,1
2016/17,1,7,M. Petah Tikva,1,0,1,0,2,2,0,1
2016/17,1,8,Bnei Sakhnin,1,0,1,0,1,1,0,1
2016/17,1,9,Bnei Yehuda,1,0,1,0,1,1,0,1
2016/17,1,10,Hapoel Haifa,1,0,0,1,2,3,-1,0
2016/17,1,11,Hapoel Ra'anana,1,0,0,1,1,2,-1,0
2016/17,1,12,FC Ashdod,1,0,0,1,0,1,-1,0
2016/17,1,13,Hapoel Tel Aviv,1,0,0,1,0,1,-1,0
2016/17,1,14,H. Kfar Saba,1,0,0,1,1,3,-2,0
2016/17,2,1,M. Tel Aviv,2,2,0,0,5,2,3,6
2016/17,2,2,H. Ashkelon,2,1,1,0,4,3,1,4
2016/17,2,3,Kiryat Shmona,2,1,1,0,3,2,1,4
2016/17,2,4,M. Petah Tikva,2,1,1,0,3,2,1,4
2016/17,2,5,Bnei Sakhnin,2,1,1,0,2,1,1,4
2016/17,2,6,H. Beer Sheva,2,1,1,0,2,1,1,4
2016/17,2,7,Hapoel Haifa,2,1,0,1,3,3,0,3
2016/17,2,8,Maccabi Haifa,2,1,0,1,1,1,0,3
2016/17,2,9,B. Jerusalem,2,0,2,0,4,4,0,2
2016/17,2,10,Bnei Yehuda,2,0,1,1,1,2,-1,1
2016/17,2,11,Hapoel Tel Aviv,2,0,1,1,0,1,-1,1
2016/17,2,12,H. Kfar Saba,2,0,1,1,2,4,-2,1
2016/17,2,13,FC Ashdod,2,0,0,2,1,3,-2,0
2016/17,2,14,Hapoel Ra'anana,2,0,0,2,1,3,-2,0
2016/17,3,1,H. Beer Sheva,3,2,1,0,5,1,4,7
2016/17,3,2,M. Tel Aviv,3,2,1,0,7,4,3,7
2016/17,3,3,M. Petah Tikva,3,2,1,0,5,2,3,7
2016/17,3,4,H. Ashkelon,3,1,2,0,4,3,1,5
2016/17,3,5,Kiryat Shmona,3,1,2,0,3,2,1,5
2016/17,3,6,Maccabi Haifa,3,1,1,1,2,2,0,4
2016/17,3,7,H. Kfar Saba,3,1,1,1,4,5,-1,4
2016/17,3,8,Bnei Sakhnin,3,1,1,1,2,4,-2,4
2016/17,3,9,B. Jerusalem,3,0,3,0,6,6,0,3
2016/17,3,10,Hapoel Haifa,3,1,0,2,4,5,-1,3
2016/17,3,11,Bnei Yehuda,3,0,2,1,2,3,-1,2
2016/17,3,12,FC Ashdod,3,0,1,2,1,3,-2,1
2016/17,3,13,Hapoel Ra'anana,3,0,1,2,1,3,-2,1
2016/17,3,14,Hapoel Tel Aviv,3,0,1,2,0,3,-3,1
2016/17,4,1,M. Tel Aviv,4,3,1,0,10,4,6,10
2016/17,4,2,M. Petah Tikva,4,3,1,0,6,2,4,10
2016/17,4,3,H. Beer Sheva,4,2,1,1,6,3,3,7
2016/17,4,4,Maccabi Haifa,4,2,1,1,4,3,1,7
2016/17,4,5,B. Jerusalem,4,1,3,0,9,6,3,6
2016/17,4,6,Hapoel Haifa,4,2,0,2,7,6,1,6
2016/17,4,7,Kiryat Shmona,4,1,3,0,6,5,1,6
2016/17,4,8,Bnei Yehuda,4,1,2,1,3,3,0,5
2016/17,4,9,H. Ashkelon,4,1,2,1,4,6,-2,5
2016/17,4,10,H. Kfar Saba,4,1,1,2,4,6,-2,4
2016/17,4,11,Bnei Sakhnin,4,1,1,2,2,5,-3,4
2016/17,4,12,Hapoel Tel Aviv,4,0,2,2,3,6,-3,2
2016/17,4,13,FC Ashdod,4,0,1,3,2,6,-4,1
2016/17,4,14,Hapoel Ra'anana,4,0,1,3,1,6,-5,1
2016/17,5,1,M. Tel Aviv,5,4,1,0,15,4,11,13
2016/17,5,2,M. Petah Tikva,5,3,2,0,8,4,4,11
2016/17,5,3,H. Beer Sheva,5,3,1,1,9,3,6,10
2016/17,5,4,Hapoel Haifa,5,3,0,2,11,6,5,9
2016/17,5,5,Maccabi Haifa,5,2,2,1,6,5,1,8
2016/17,5,6,Kiryat Shmona,5,1,4,0,8,7,1,7
2016/17,5,7,H. Kfar Saba,5,2,1,2,5,6,-1,7
2016/17,5,8,B. Jerusalem,5,1,3,1,9,10,-1,6
2016/17,5,9,H. Ashkelon,5,1,3,1,4,6,-2,6
2016/17,5,10,Bnei Sakhnin,5,1,2,2,4,7,-3,5
2016/17,5,11,Bnei Yehuda,5,1,2,2,3,6,-3,5
2016/17,5,12,Hapoel Ra'anana,5,0,2,3,1,6,-5,2
2016/17,5,13,Hapoel Tel Aviv,5,0,2,3,3,11,-8,2
2016/17,5,14,FC Ashdod,5,0,1,4,2,7,-5,1
2016/17,6,1,M. Tel Aviv,6,5,1,0,18,4,14,16
2016/17,6,2,H. Beer Sheva,6,4,1,1,14,3,11,13
2016/17,6,3,M. Petah Tikva,6,3,2,1,8,9,-1,11
2016/17,6,4,Hapoel Haifa,6,3,0,3,11,8,3,9
2016/17,6,5,Maccabi Haifa,6,2,3,1,6,5,1,9
2016/17,6,6,B. Jerusalem,6,2,3,1,10,10,0,9
2016/17,6,7,Kiryat Shmona,6,1,5,0,8,7,1,8
2016/17,6,8,H. Kfar Saba,6,2,1,3,5,7,-2,7
2016/17,6,9,Bnei Yehuda,6,1,3,2,5,8,-3,6
2016/17,6,10,H. Ashkelon,6,1,3,2,4,8,-4,6
2016/17,6,11,Hapoel Ra'anana,6,1,2,3,3,6,-3,5
2016/17,6,12,Hapoel Tel Aviv,6,1,2,3,5,11,-6,5
2016/17,6,13,Bnei Sakhnin,6,1,2,3,4,10,-6,5
2016/17,6,14,FC Ashdod,6,0,2,4,4,9,-5,2
2016/17,7,1,H. Beer Sheva,7,5,1,1,16,3,13,16
2016/17,7,2,M. Tel Aviv,7,5,1,1,18,6,12,16
2016/17,7,3,M. Petah Tikva,7,4,2,1,12,10,2,14
2016/17,7,4,Maccabi Haifa,7,3,3,1,8,5,3,12
2016/17,7,5,B. Jerusalem,7,2,4,1,10,10,0,10
2016/17,7,6,Hapoel Haifa,7,3,0,4,11,10,1,9
2016/17,7,7,Kiryat Shmona,7,1,5,1,8,9,-1,8
2016/17,7,8,Hapoel Ra'anana,7,2,2,3,5,7,-2,8
2016/17,7,9,Hapoel Tel Aviv,7,2,2,3,7,11,-4,8
2016/17,7,10,Bnei Sakhnin,7,2,2,3,5,10,-5,8
2016/17,7,11,H. Kfar Saba,7,2,1,4,6,9,-3,7
2016/17,7,12,H. Ashkelon,7,1,3,3,4,9,-5,6
2016/17,7,13,Bnei Yehuda,7,1,3,3,6,12,-6,6
2016/17,7,14,FC Ashdod,7,0,3,4,4,9,-5,3
2016/17,8,1,H. Beer Sheva,8,6,1,1,18,3,15,19
2016/17,8,2,M. Petah Tikva,8,5,2,1,14,11,3,17
2016/17,8,3,M. Tel Aviv,8,5,1,2,18,8,10,16
2016/17,8,4,Maccabi Haifa,8,4,3,1,13,5,8,15
2016/17,8,5,B. Jerusalem,8,2,5,1,12,12,0,11
2016/17,8,6,Bnei Sakhnin,8,3,2,3,7,11,-4,11
2016/17,8,7,Hapoel Haifa,8,3,0,5,12,12,0,9
2016/17,8,8,Hapoel Ra'anana,8,2,3,3,5,7,-2,9
2016/17,8,9,Hapoel Tel Aviv,8,2,3,3,8,12,-4,9
2016/17,8,10,Kiryat Shmona,8,1,5,2,9,11,-2,8
2016/17,8,11,H. Kfar Saba,8,2,2,4,7,10,-3,8
2016/17,8,12,Bnei Yehuda,8,1,4,3,8,14,-6,7
2016/17,8,13,H. Ashkelon,8,1,3,4,4,14,-10,6
2016/17,8,14,FC Ashdod,8,0,4,4,4,9,-5,4
2016/17,9,1,H. Beer Sheva,9,7,1,1,23,4,19,22
2016/17,9,2,M. Petah Tikva,9,5,3,1,14,11,3,18
2016/17,9,3,M. Tel Aviv,9,5,2,2,18,8,10,17
2016/17,9,4,Maccabi Haifa,9,4,4,1,13,5,8,16
2016/17,9,5,B. Jerusalem,9,3,5,1,13,12,1,14
2016/17,9,6,Kiryat Shmona,9,2,5,2,10,11,-1,11
2016/17,9,7,H. Kfar Saba,9,3,2,4,9,11,-2,11
2016/17,9,8,Bnei Sakhnin,9,3,2,4,8,13,-5,11
2016/17,9,9,Hapoel Haifa,9,3,1,5,12,12,0,10
2016/17,9,10,Hapoel Ra'anana,9,2,3,4,5,8,-3,9
2016/17,9,11,Hapoel Tel Aviv,9,2,3,4,8,13,-5,9
2016/17,9,12,FC Ashdod,9,1,4,4,5,9,-4,7
2016/17,9,13,Bnei Yehuda,9,1,4,4,8,15,-7,7
2016/17,9,14,H. Ashkelon,9,1,3,5,5,19,-14,6
2016/17,10,1,H. Beer Sheva,10,8,1,1,28,5,23,25
2016/17,10,2,M. Tel Aviv,10,6,2,2,20,9,11,20
2016/17,10,3,Maccabi Haifa,10,5,4,1,15,5,10,19
2016/17,10,4,M. Petah Tikva,10,5,4,1,15,12,3,19
2016/17,10,5,B. Jerusalem,10,3,6,1,14,13,1,15
2016/17,10,6,Hapoel Ra'anana,10,3,3,4,6,8,-2,12
2016/17,10,7,Kiryat Shmona,10,2,5,3,11,13,-2,11
2016/17,10,8,H. Kfar Saba,10,3,2,5,9,13,-4,11
2016/17,10,9,Bnei Sakhnin,10,3,2,5,8,14,-6,11
2016/17,10,10,FC Ashdod,10,2,4,4,6,9,-3,10
2016/17,10,11,Hapoel Haifa,10,3,1,6,13,17,-4,10
2016/17,10,12,Hapoel Tel Aviv,10,2,4,4,9,14,-5,10
2016/17,10,13,Bnei Yehuda,10,1,4,5,8,16,-8,7
2016/17,10,14,H. Ashkelon,10,1,4,5,6,20,-14,7
2016/17,11,1,H. Beer Sheva,11,9,1,1,30,5,25,28
2016/17,11,2,M. Tel Aviv,11,6,2,3,20,10,10,20
2016/17,11,3,Maccabi Haifa,11,5,5,1,16,6,10,20
2016/17,11,4,M. Petah Tikva,11,5,4,2,16,14,2,19
2016/17,11,5,B. Jerusalem,11,3,6,2,14,14,0,15
2016/17,11,6,Kiryat Shmona,11,3,5,3,15,14,1,14
2016/17,11,7,Bnei Sakhnin,11,4,2,5,9,14,-5,14
2016/17,11,8,Hapoel Ra'anana,11,3,4,4,6,8,-2,13
2016/17,11,9,Hapoel Haifa,11,4,1,6,15,18,-3,13
2016/17,11,10,FC Ashdod,11,2,5,4,7,10,-3,11
2016/17,11,11,Hapoel Tel Aviv,11,2,5,4,9,14,-5,11
2016/17,11,12,H. Kfar Saba,11,3,2,6,9,15,-6,11
2016/17,11,13,Bnei Yehuda,11,2,4,5,9,16,-7,10
2016/17,11,14,H. Ashkelon,11,1,4,6,7,24,-17,7
2016/17,12,1,H. Beer Sheva,12,10,1,1,35,5,30,31
2016/17,12,2,M. Tel Aviv,12,6,3,3,20,10,10,21
2016/17,12,3,Maccabi Haifa,12,5,5,2,16,8,8,20
2016/17,12,4,M. Petah Tikva,12,5,5,2,16,14,2,20
2016/17,12,5,B. Jerusalem,12,4,6,2,16,14,2,18
2016/17,12,6,Kiryat Shmona,12,4,5,3,17,14,3,17
2016/17,12,7,Bnei Sakhnin,12,4,3,5,10,15,-5,15
2016/17,12,8,Hapoel Ra'anana,12,3,5,4,7,9,-2,14
2016/17,12,9,Hapoel Tel Aviv,12,3,5,4,10,14,-4,14
2016/17,12,10,Hapoel Haifa,12,4,1,7,15,20,-5,13
2016/17,12,11,H. Kfar Saba,12,3,3,6,9,15,-6,12
2016/17,12,12,FC Ashdod,12,2,5,5,7,15,-8,11
2016/17,12,13,Bnei Yehuda,12,2,4,6,9,17,-8,10
2016/17,12,14,H. Ashkelon,12,1,5,6,7,24,-17,8
2016/17,13,1,H. Beer Sheva,13,11,1,1,38,6,32,34
2016/17,13,2,M. Tel Aviv,13,7,3,3,24,12,12,24
2016/17,13,3,Maccabi Haifa,13,5,6,2,17,9,8,21
2016/17,13,4,M. Petah Tikva,13,5,6,2,18,16,2,21
2016/17,13,5,Kiryat Shmona,13,4,6,3,19,16,3,18
2016/17,13,6,B. Jerusalem,13,4,6,3,17,17,0,18
2016/17,13,7,Bnei Sakhnin,13,4,4,5,11,16,-5,16
2016/17,13,8,Hapoel Ra'anana,13,3,6,4,8,10,-2,15
2016/17,13,9,Hapoel Tel Aviv,13,3,6,4,11,15,-4,15
2016/17,13,10,H. Kfar Saba,13,3,4,6,11,17,-6,13
2016/17,13,11,Hapoel Haifa,13,4,1,8,17,24,-7,13
2016/17,13,12,FC Ashdod,13,2,6,5,9,17,-8,12
2016/17,13,13,H. Ashkelon,13,2,5,6,8,24,-16,11
2016/17,13,14,Bnei Yehuda,13,2,4,7,9,18,-9,10
2016/17,14,1,H. Beer Sheva,14,11,1,2,38,7,31,34
2016/17,14,2,M. Tel Aviv,14,7,4,3,25,13,12,25
2016/17,14,3,Maccabi Haifa,14,6,6,2,19,9,10,24
2016/17,14,4,M. Petah Tikva,14,5,7,2,19,17,2,22
2016/17,14,5,Kiryat Shmona,14,4,7,3,19,16,3,19
2016/17,14,6,B. Jerusalem,14,4,7,3,18,18,0,19
