season,round,position,team,played,won,drawn,lost,gf,ga,gd,points
2017/18,1,1,B. Jerusalem,1,1,0,0,3,0,3,3
2017/18,1,2,Hapoel Haifa,1,1,0,0,3,1,2,3
2017/18,1,3,Bnei Yehuda,1,1,0,0,2,0,2,3
2017/18,1,4,Bnei Sakhnin,1,1,0,0,2,1,1,3
2017/18,1,5,M. Petah Tikva,1,1,0,0,2,1,1,3
2017/18,1,6,H. Beer Sheva,1,0,1,0,1,1,0,1
2017/18,1,7,Maccabi Netanya,1,0,1,0,1,1,0,1
2017/18,1,8,Hapoel Ra'anana,1,0,1,0,0,0,0,1
2017/18,1,9,Kiryat Shmona,1,0,1,0,0,0,0,1
2017/18,1,10,FC Ashdod,1,0,0,1,1,2,-1,0
2017/18,1,11,Hapoel Acre,1,0,0,1,1,2,-1,0
2017/18,1,12,H. Ashkelon,1,0,0,1,1,3,-2,0
2017/18,1,13,Maccabi Haifa,1,0,0,1,0,2,-2,0
2017/18,1,14,M. Tel Aviv,1,0,0,1,0,3,-3,0
2017/18,2,1,B. Jerusalem,2,2,0,0,7,1,6,6
2017/18,2,2,Hapoel Haifa,2,2,0,0,5,1,4,6
2017/18,2,3,Bnei Sakhnin,2,2,0,0,4,2,2,6
2017/18,2,4,Bnei Yehuda,2,1,1,0,3,1,2,4
2017/18,2,5,Maccabi Haifa,2,1,0,1,3,3,0,3
2017/18,2,6,M. Petah Tikva,2,1,0,1,2,3,-1,3
2017/18,2,7,M. Tel Aviv,2,1,0,1,2,4,-2,3
2017/18,2,8,Maccabi Netanya,2,0,2,0,3,3,0,2
2017/18,2,9,Hapoel Acre,2,0,1,1,3,4,-1,1
2017/18,2,10,Hapoel Ra'anana,2,0,1,1,1,2,-1,1
2017/18,2,11,Kiryat Shmona,2,0,1,1,1,2,-1,1
2017/18,2,12,H. Ashkelon,2,0,1,1,2,4,-2,1
2017/18,2,13,H. Beer Sheva,2,0,1,1,2,4,-2,1
2017/18,2,14,FC Ashdod,2,0,0,2,2,6,-4,0
2017/18,3,1,B. Jerusalem,3,3,0,0,9,2,7,9
2017/18,3,2,Hapoel Haifa,3,3,0,0,7,2,5,9
2017/18,3,3,Bnei Sakhnin,3,2,0,1,4,4,0,6
2017/18,3,4,M. Tel Aviv,3,2,0,1,4,4,0,6
2017/18,3,5,Maccabi Netanya,3,1,2,0,6,3,3,5
2017/18,3,6,Hapoel Acre,3,1,1,1,5,4,1,4
2017/18,3,7,Bnei Yehuda,3,1,1,1,4,3,1,4
2017/18,3,8,Kiryat Shmona,3,1,1,1,3,2,1,4
2017/18,3,9,H. Beer Sheva,3,1,1,1,3,4,-1,4
2017/18,3,10,M. Petah Tikva,3,1,0,2,3,5,-2,3
2017/18,3,11,Maccabi Haifa,3,1,0,2,3,5,-2,3
2017/18,3,12,H. Ashkelon,3,0,1,2,2,5,-3,1
2017/18,3,13,Hapoel Ra'anana,3,0,1,2,1,5,-4,1
2017/18,3,14,FC Ashdod,3,0,0,3,2,8,-6,0
2017/18,4,1,B. Jerusalem,4,3,1,0,12,5,7,10
2017/18,4,2,Hapoel Haifa,4,3,1,0,10,5,5,10
2017/18,4,3,M. Tel Aviv,4,3,0,1,7,6,1,9
2017/18,4,4,Kiryat Shmona,4,2,1,1,6,3,3,7
2017/18,4,5,Bnei Sakhnin,4,2,1,1,4,4,0,7
2017/18,4,6,H. Beer Sheva,4,2,1,1,4,4,0,7
2017/18,4,7,Maccabi Haifa,4,2,0,2,7,7,0,6
2017/18,4,8,Maccabi Netanya,4,1,2,1,8,6,2,5
2017/18,4,9,Hapoel Acre,4,1,1,2,6,6,0,4
2017/18,4,10,Bnei Yehuda,4,1,1,2,4,4,0,4
2017/18,4,11,H. Ashkelon,4,1,1,2,4,6,-2,4
2017/18,4,12,M. Petah Tikva,4,1,0,3,4,8,-4,3
2017/18,4,13,Hapoel Ra'anana,4,0,1,3,3,9,-6,1
2017/18,4,14,FC Ashdod,4,0,1,3,2,8,-6,1
2017/18,5,1,B. Jerusalem,5,3,2,0,13,6,7,11
2017/18,5,2,Hapoel Haifa,5,3,2,0,11,6,5,11
2017/18,5,3,M. Tel Aviv,5,3,1,1,7,6,1,10
2017/18,5,4,Maccabi Netanya,5,2,2,1,11,6,5,8
2017/18,5,5,Kiryat Shmona,5,2,2,1,7,4,3,8
2017/18,5,6,H. Beer Sheva,5,2,2,1,5,5,0,8
2017/18,5,7,H. Ashkelon,5,2,1,2,7,6,1,7
2017/18,5,8,Maccabi Haifa,5,2,1,2,7,7,0,7
2017/18,5,9,Bnei Sakhnin,5,2,1,2,4,5,-1,7
2017/18,5,10,M. Petah Tikva,5,2,0,3,5,8,-3,6
2017/18,5,11,Hapoel Acre,5,1,2,2,7,7,0,5
2017/18,5,12,Bnei Yehuda,5,1,2,2,5,5,0,5
2017/18,5,13,Hapoel Ra'anana,5,0,1,4,3,12,-9,1
2017/18,5,14,FC Ashdod,5,0,1,4,2,11,-9,1
2017/18,6,1,Hapoel Haifa,6,4,2,0,12,6,6,14
2017/18,6,2,Maccabi Netanya,6,3,2,1,15,6,9,11
2017/18,6,3,B. Jerusalem,6,3,2,1,15,9,6,11
2017/18,6,4,H. Beer Sheva,6,3,2,1,8,6,2,11
2017/18,6,5,M. Tel Aviv,6,3,2,1,9,8,1,11
