season,round,position,team,played,won,drawn,lost,gf,ga,gd,points
2023/24,1,1,M. Tel Aviv,1,1,0,0,4,1,3,3
2023/24,1,2,H. Beer Sheva,1,1,0,0,3,0,3,3
2023/24,1,3,Hapoel Haifa,1,1,0,0,2,1,1,3
2023/24,1,4,Maccabi Haifa,1,1,0,0,2,1,1,3
2023/24,1,5,Bnei Sakhnin,1,0,1,0,1,1,0,1
2023/24,1,6,H. Jerusalem,1,0,1,0,1,1,0,1
2023/24,1,7,Hapoel Tel Aviv,1,0,1,0,1,1,0,1
2023/24,1,8,M. Bnei Reineh,1,0,1,0,1,1,0,1
2023/24,1,9,M. Petah Tikva,1,0,1,0,1,1,0,1
2023/24,1,10,Maccabi Netanya,1,0,1,0,1,1,0,1
2023/24,1,11,B. Jerusalem,1,0,0,1,1,2,-1,0
2023/24,1,12,H. Petah Tikva,1,0,0,1,1,2,-1,0
2023/24,1,13,FC Ashdod,1,0,0,1,1,4,-3,0
2023/24,1,14,Hapoel Hadera,1,0,0,1,0,3,-3,0
2023/24,2,1,M. Tel Aviv,2,2,0,0,7,1,6,6
2023/24,2,2,Maccabi Haifa,2,2,0,0,4,2,2,6
2023/24,2,3,H. Beer Sheva,2,1,1,0,4,1,3,4
2023/24,2,4,Hapoel Tel Aviv,2,1,1,0,3,1,2,4
2023/24,2,5,Hapoel Haifa,2,1,1,0,4,3,1,4
2023/24,2,6,B. Jerusalem,2,1,0,1,3,3,0,3
2023/24,2,7,M. Petah Tikva,2,0,2,0,3,3,0,2
2023/24,2,8,Bnei Sakhnin,2,0,2,0,2,2,0,2
2023/24,2,9,M. Bnei Reineh,2,0,2,0,2,2,0,2
2023/24,2,10,H. Jerusalem,2,0,1,1,2,3,-1,1
2023/24,2,11,H. Petah Tikva,2,0,1,1,2,3,-1,1
2023/24,2,12,Maccabi Netanya,2,0,1,1,1,3,-2,1
2023/24,2,13,FC Ashdod,2,0,0,2,2,6,-4,0
2023/24,2,14,Hapoel Hadera,2,0,0,2,0,6,-6,0
2023/24,3,1,M. Tel Aviv,3,2,1,0,8,2,6,7
2023/24,3,2,Hapoel Haifa,3,2,1,0,6,3,3,7
2023/24,3,3,B. Jerusalem,3,2,0,1,5,3,2,6
2023/24,3,4,Maccabi Haifa,3,2,0,1,6,5,1,6
2023/24,3,5,H. Beer Sheva,3,1,2,0,4,1,3,5
2023/24,3,6,Hapoel Tel Aviv,3,1,2,0,3,1,2,5
2023/24,3,7,M. Petah Tikva,3,1,2,0,6,5,1,5
2023/24,3,8,Bnei Sakhnin,3,1,2,0,4,3,1,5
2023/24,3,9,Maccabi Netanya,3,1,1,1,5,4,1,4
2023/24,3,10,M. Bnei Reineh,3,0,3,0,3,3,0,3
2023/24,3,11,H. Jerusalem,3,0,1,2,3,5,-2,1
2023/24,3,12,H. Petah Tikva,3,0,1,2,3,7,-4,1
2023/24,3,13,FC Ashdod,3,0,0,3,2,8,-6,0
2023/24,3,14,Hapoel Hadera,3,0,0,3,0,8,-8,0
2023/24,4,1,M. Tel Aviv,4,3,1,0,13,2,11,10
2023/24,4,2,Hapoel Haifa,4,3,1,0,8,4,4,10
2023/24,4,3,Maccabi Haifa,4,2,1,1,7,6,1,7
2023/24,4,4,M. Petah Tikva,4,1,3,0,7,6,1,6
2023/24,4,5,B. Jerusalem,4,2,0,2,6,5,1,6
2023/24,4,6,Bnei Sakhnin,4,1,3,0,5,4,1,6
2023/24,4,7,M. Bnei Reineh,4,1,3,0,5,4,1,6
2023/24,4,8,H. Beer Sheva,4,1,2,1,4,2,2,5
2023/24,4,9,Maccabi Netanya,4,1,2,1,6,5,1,5
2023/24,4,10,Hapoel Tel Aviv,4,1,2,1,3,6,-3,5
2023/24,4,11,H. Petah Tikva,4,1,1,2,4,7,-3,4
2023/24,4,12,H. Jerusalem,4,0,2,2,4,6,-2,2
2023/24,4,13,FC Ashdod,4,0,1,3,3,9,-6,1
2023/24,4,14,Hapoel Hadera,4,0,0,4,1,10,-9,0
2023/24,5,1,M. Tel Aviv,5,4,1,0,15,2,13,13
2023/24,5,2,Hapoel Haifa,5,3,1,1,9,6,3,10
2023/24,5,3,Maccabi Haifa,5,3,1,1,10,8,2,10
2023/24,5,4,M. Petah Tikva,5,2,3,0,12,7,5,9
2023/24,5,5,M. Bnei Reineh,5,2,3,0,7,5,2,9
2023/24,5,6,H. Beer Sheva,5,2,2,1,7,2,5,8
2023/24,5,7,Hapoel Tel Aviv,5,2,2,1,6,6,0,8
2023/24,5,8,B. Jerusalem,5,2,0,3,6,8,-2,6
2023/24,5,9,Bnei Sakhnin,5,1,3,1,6,9,-3,6
2023/24,5,10,Maccabi Netanya,5,1,2,2,8,8,0,5
2023/24,5,11,H. Petah Tikva,5,1,1,3,4,9,-5,4
2023/24,5,12,Hapoel Hadera,5,1,0,4,2,10,-8,3
2023/24,5,13,H. Jerusalem,5,0,2,3,4,9,-5,2
2023/24,5,14,FC Ashdod,5,0,1,4,3,10,-7,1
2023/24,6,1,M. Tel Aviv,6,5,1,0,17,3,14,16
2023/24,6,2,Hapoel Haifa,6,4,1,1,10,6,4,13
2023/24,6,3,Maccabi Haifa,6,4,1,1,11,8,3,13
2023/24,6,4,M. Bnei Reineh,6,2,4,0,7,5,2,10
2023/24,6,5,M. Petah Tikva,6,2,3,1,12,10,2,9
2023/24,6,6,H. Beer Sheva,6,2,2,2,7,3,4,8
2023/24,6,7,Hapoel Tel Aviv,6,2,2,2,6,7,-1,8
2023/24,6,8,Bnei Sakhnin,6,1,4,1,7,10,-3,7
2023/24,6,9,H. Petah Tikva,6,2,1,3,5,9,-4,7
2023/24,6,10,Maccabi Netanya,6,1,3,2,9,9,0,6
2023/24,6,11,B. Jerusalem,6,2,0,4,6,9,-3,6
2023/24,6,12,Hapoel Hadera,6,2,0,4,5,10,-5,6
2023/24,6,13,H. Jerusalem,6,0,2,4,5,11,-6,2
2023/24,6,14,FC Ashdod,6,0,2,4,3,10,-7,2
2023/24,7,1,M. Tel Aviv,7,5,1,1,17,4,13,16
2023/24,7,2,Maccabi Haifa,7,5,1,1,12,8,4,16
2023/24,7,3,Hapoel Haifa,7,4,2,1,11,7,4,14
2023/24,7,4,M. Bnei Reineh,7,3,4,0,9,5,4,13
2023/24,7,5,M. Petah Tikva,7,3,3,1,13,10,3,12
2023/24,7,6,Bnei Sakhnin,7,2,4,1,9,11,-2,10
2023/24,7,7,B. Jerusalem,7,3,0,4,7,9,-2,9
2023/24,7,8,H. Beer Sheva,7,2,2,3,8,5,3,8
2023/24,7,9,Hapoel Tel Aviv,7,2,2,3,7,9,-2,8
2023/24,7,10,H. Petah Tikva,7,2,2,3,6,10,-4,8
2023/24,7,11,Maccabi Netanya,7,1,3,3,9,10,-1,6
2023/24,7,12,Hapoel Hadera,7,2,0,5,5,12,-7,6
2023/24,7,13,FC Ashdod,7,1,2,4,5,11,-6,5
2023/24,7,14,H. Jerusalem,7,0,2,5,5,12,-7,2
2023/24,8,1,M. Tel Aviv,8,6,1,1,20,6,14,19
2023/24,8,2,Hapoel Haifa,8,5,2,1,12,7,5,17
2023/24,8,3,Maccabi Haifa,8,5,2,1,13,9,4,17
2023/24,8,4,M. Bnei Reineh,8,4,4,0,12,5,7,16
2023/24,8,5,M. Petah Tikva,8,3,3,2,13,13,0,12
2023/24,8,6,B. Jerusalem,8,3,1,4,8,10,-2,10
2023/24,8,7,Bnei Sakhnin,8,2,4,2,11,14,-3,10
2023/24,8,8,Maccabi Netanya,8,2,3,3,10,10,0,9
2023/24,8,9,Hapoel Tel Aviv,8,2,3,3,8,10,-2,9
2023/24,8,10,H. Petah Tikva,8,2,3,3,7,11,-4,9
2023/24,8,11,H. Beer Sheva,8,2,2,4,8,6,2,8
2023/24,8,12,Hapoel Hadera,8,2,1,5,6,13,-7,7
2023/24,8,13,FC Ashdod,8,1,3,4,6,12,-6,6
2023/24,8,14,H. Jerusalem,8,0,2,6,5,13,-8,2
2023/24,9,1,M. Tel Aviv,9,7,1,1,22,7,15,22
2023/24,9,2,Maccabi Haifa,9,6,2,1,16,9,7,20
2023/24,9,3,Hapoel Haifa,9,5,2,2,12,10,2,17
2023/24,9,4,M. Bnei Reineh,9,4,4,1,13,7,6,16
2023/24,9,5,Hapoel Tel Aviv,9,3,3,3,10,11,-1,12
2023/24,9,6,M. Petah Tikva,9,3,3,3,14,17,-3,12
2023/24,9,7,H. Beer Sheva,9,3,2,4,12,7,5,11
2023/24,9,8,B. Jerusalem,9,3,2,4,9,11,-2,11
2023/24,9,9,Bnei Sakhnin,9,2,5,2,12,15,-3,11
2023/24,9,10,Hapoel Hadera,9,3,1,5,7,13,-6,10
2023/24,9,11,Maccabi Netanya,9,2,3,4,11,12,-1,9
2023/24,9,12,FC Ashdod,9,2,3,4,8,12,-4,9
2023/24,9,13,H. Petah Tikva,9,2,3,4,7,12,-5,9
2023/24,9,14,H. Jerusalem,9,0,2,7,5,15,-10,2
2023/24,10,1,M. Tel Aviv,10,8,1,1,23,7,16,25
2023/24,10,2,Maccabi Haifa,10,7,2,1,20,9,11,23
2023/24,10,3,M. Bnei Reineh,10,5,4,1,14,7,7,19
2023/24,10,4,Hapoel Haifa,10,5,3,2,13,11,2,18
2023/24,10,5,Hapoel Tel Aviv,10,4,3,3,12,11,1,15
2023/24,10,6,B. Jerusalem,10,4,2,4,12,11,1,14
2023/24,10,7,Bnei Sakhnin,10,2,6,2,13,16,-3,12
2023/24,10,8,M. Petah Tikva,10,3,3,4,14,19,-5,12
2023/24,10,9,H. Beer Sheva,10,3,2,5,12,8,4,11
2023/24,10,10,Hapoel Hadera,10,3,1,6,7,14,-7,10
2023/24,10,11,Maccabi Netanya,10,2,3,5,11,15,-4,9
2023/24,10,12,H. Petah Tikva,10,2,3,5,7,13,-6,9
2023/24,10,13,FC Ashdod,10,2,3,5,8,16,-8,9
2023/24,10,14,H. Jerusalem,10,1,2,7,6,15,-9,5
2023/24,11,1,M. Tel Aviv,11,9,1,1,25,8,17,28
2023/24,11,2,Maccabi Haifa,11,8,2,1,25,10,15,26
2023/24,11,3,Hapoel Haifa,11,6,3,2,15,12,3,21
2023/24,11,4,M. Bnei Reineh,11,5,5,1,15,8,7,20
2023/24,11,5,Hapoel Tel Aviv,11,5,3,3,16,12,4,18
2023/24,11,6,B. Jerusalem,11,4,3,4,16,15,1,15
2023/24,11,7,Bnei Sakhnin,11,3,6,2,14,16,-2,15
2023/24,11,8,H. Beer Sheva,11,3,3,5,16,12,4,12
2023/24,11,9,M. Petah Tikva,11,3,3,5,15,21,-6,12
2023/24,11,10,Hapoel Hadera,11,3,1,7,8,19,-11,10
2023/24,11,11,Maccabi Netanya,11,2,3,6,12,17,-5,9
2023/24,11,12,FC Ashdod,11,2,3,6,8,17,-9,9
2023/24,11,13,H. Petah Tikva,11,2,3,6,8,17,-9,9
2023/24,11,14,H. Jerusalem,11,1,3,7,7,16,-9,6
2023/24,12,1,M. Tel Aviv,12,10,1,1,26,8,18,31
2023/24,12,2,Maccabi Haifa,12,9,2,1,26,10,16,29
2023/24,12,3,Hapoel Haifa,12,6,3,3,15,16,-1,21
2023/24,12,4,M. Bnei Reineh,12,5,5,2,15,9,6,20
2023/24,12,5,Hapoel Tel Aviv,12,5,3,4,17,14,3,18
2023/24,12,6,H. Beer Sheva,12,4,3,5,20,12,8,15
2023/24,12,7,B. Jerusalem,12,4,3,5,16,16,0,15
2023/24,12,8,Bnei Sakhnin,12,3,6,3,14,17,-3,15
2023/24,12,9,M. Petah Tikva,12,4,3,5,17,21,-4,15
2023/24,12,10,Hapoel Hadera,12,4,1,7,9,19,-10,13
2023/24,12,11,Maccabi Netanya,12,3,3,6,13,17,-4,12
2023/24,12,12,H. Jerusalem,12,2,3,7,9,17,-8,9
2023/24,12,13,FC Ashdod,12,2,3,7,8,18,-10,9
2023/24,12,14,H. Petah Tikva,12,2,3,7,8,19,-11,9
2023/24,13,1,M. Tel Aviv,13,11,1,1,27,8,19,34
2023/24,13,2,Maccabi Haifa,13,9,3,1,26,10,16,30
2023/24,13,3,Hapoel Haifa,13,6,3,4,15,17,-2,21
2023/24,13,4,M. Bnei Reineh,13,5,5,3,15,10,5,20
2023/24,13,5,Hapoel Tel Aviv,13,5,4,4,17,14,3,19
2023/24,13,6,H. Beer Sheva,13,5,3,5,23,13,10,18
2023/24,13,7,B. Jerusalem,13,5,3,5,19,18,1,18
2023/24,13,8,Bnei Sakhnin,13,4,6,3,15,17,-2,18
2023/24,13,9,Maccabi Netanya,13,4,3,6,17,18,-1,15
2023/24,13,10,M. Petah Tikva,13,4,3,6,19,24,-5,15
2023/24,13,11,Hapoel Hadera,13,4,1,8,10,23,-13,13
2023/24,13,12,H. Jerusalem,13,3,3,7,11,18,-7,12
2023/24,13,13,FC Ashdod,13,2,3,8,9,21,-12,9
2023/24,13,14,H. Petah Tikva,13,2,3,8,9,21,-12,9
2023/24,14,1,M. Tel Aviv,14,12,1,1,31,9,22,37
2023/24,14,2,Maccabi Haifa,14,9,4,1,28,12,16,31
2023/24,14,3,Hapoel Haifa,14,7,3,4,18,19,-1,24
2023/24,14,4,H. Beer Sheva,14,6,3,5,25,13,12,21
2023/24,14,5,Hapoel Tel Aviv,14,5,5,4,20,17,3,20
2023/24,14,6,M. Bnei Reineh,14,5,5,4,16,13,3,20
2023/24,14,7,Bnei Sakhnin,14,4,7,3,18,20,-2,19
2023/24,14,8,Maccabi Netanya,14,5,3,6,20,19,1,18
2023/24,14,9,B. Jerusalem,14,5,3,6,21,21,0,18
2023/24,14,10,H. Jerusalem,14,4,3,7,14,19,-5,15
2023/24,14,11,M. Petah Tikva,14,4,3,7,20,27,-7,15
2023/24,14,12,Hapoel Hadera,14,4,1,9,10,25,-15,13
2023/24,14,13,H. Petah Tikva,14,2,4,8,11,23,-12,10
2023/24,14,14,FC Ashdod,14,2,3,9,10,25,-15,9
2023/24,15,1,M. Tel Aviv,15,12,2,1,32,10,22,38
2023/24,15,2,Maccabi Haifa,15,10,4,1,30,13,17,34
2023/24,15,3,Hapoel Haifa,15,8,3,4,21,19,2,27
2023/24,15,4,H. Beer Sheva,15,7,3,5,29,15,14,24
2023/24,15,5,Maccabi Netanya,15,6,3,6,22,20,2,21
2023/24,15,6,Hapoel Tel Aviv,15,5,5,5,21,19,2,20
2023/24,15,7,M. Bnei Reineh,15,5,5,5,18,17,1,20
2023/24,15,8,Bnei Sakhnin,15,4,8,3,18,20,-2,20
2023/24,15,9,B. Jerusalem,15,5,4,6,22,22,0,19
2023/24,15,10,H. Jerusalem,15,4,3,8,15,21,-6,15
2023/24,15,11,M. Petah Tikva,15,4,3,8,20,30,-10,15
2023/24,15,12,Hapoel Hadera,15,4,2,9,11,26,-15,14
2023/24,15,13,H. Petah Tikva,15,2,5,8,11,23,-12,11
2023/24,15,14,FC Ashdod,15,2,4,9,11,26,-15,10
2023/24,16,1,M. Tel Aviv,16,12,3,1,34,12,22,39
2023/24,16,2,Maccabi Haifa,16,11,4,1,35,13,22,37
2023/24,16,3,Hapoel Haifa,16,9,3,4,22,19,3,30
2023/24,16,4,H. Beer Sheva,16,8,3,5,33,15,18,27
2023/24,16,5,B. Jerusalem,16,6,4,6,25,22,3,22
