team,Pts,W,D,L,GF,GA,GD,Team
B. Jerusalem,67,19,10,4,52,24,28,B. Jerusalem
Maccabi Netanya,57,15,12,6,37,25,12,M. Netanya
M. Tel Aviv,56,15,11,7,42,28,14,M. Tel Aviv
Hapoel Tel Aviv,54,15,9,9,53,40,13,H. Tel Aviv
Maccabi Haifa,51,14,9,10,45,39,6,M. Haifa
M. Petah Tikva,50,14,8,11,31,27,4,M. Petah Tikva
FC Ashdod,42,12,6,15,49,49,0,FC Ashdod
H. Kfar Saba,40,8,16,9,41,40,1,H. Kfar Saba
Bnei Yehuda,35,7,14,12,34,50,-16,Bnei Yehuda
Maccabi Herzlya,34,9,7,17,47,55,-8,M. Herzlya
Hakoah Amidar,28,6,10,17,32,54,-22,Hakoah Amidar
H. Petah Tikva,19,3,10,20,29,61,-32,H. Petah Tikva
