season,num_teams,total_matches,draws,draw_pct,big_margin_matches,big_margin_pct,upsets_bottom_vs_top_pct,upsets_middle_vs_top_pct,upsets_bottom_vs_middle_pct,competitiveness_score
2006/07,12,198,61,30.81,23,11.62,0.0,44.44,50.0,191.66
2007/08,12,198,48,24.24,26,13.13,0.0,16.67,50.0,142.68
2008/09,12,198,62,31.31,17,8.59,0.0,33.33,0.0,127.01
2009/10,16,240,69,28.75,38,15.83,6.67,0.0,12.5,96.68
2010/11,16,240,64,26.67,37,15.42,12.5,22.22,10.0,137.29
2011/12,16,240,67,27.92,34,14.17,20.0,50.0,6.67,192.5
2012/13,14,182,50,27.47,27,14.84,0.0,25.0,66.67,174.22
2013/14,14,182,46,25.27,21,11.54,0.0,0.0,0.0,69.5
2014/15,14,182,52,28.57,23,12.64,0.0,28.57,33.33,148.44
2015/16,14,182,48,26.37,22,12.09,0.0,16.67,60.0,155.33
2016/17,14,182,57,31.32,22,12.09,0.0,20.0,0.0,105.28
2017/18,14,182,45,24.73,22,12.09,0.0,0.0,0.0,68.68
2018/19,14,182,61,33.52,25,13.74,37.5,0.0,60.0,211.65
2019/20,14,182,44,24.18,35,19.23,0.0,0.0,66.67,131.24
2020/21,14,182,45,24.73,22,12.09,0.0,44.44,20.0,155.34
2021/22,14,182,47,25.82,22,12.09,50.0,0.0,42.86,212.64
2022/23,14,182,56,30.77,30,16.48,0.0,16.67,20.0,117.54
2023/24,14,182,48,26.37,30,16.48,14.29,8.33,50.0,159.2
2024/25,14,182,45,24.73,30,16.48,0.0,16.67,42.86,134.36
2025/26,14,74,19,25.68,13,17.57,0.0,0.0,0.0,66.9
