season,upsets,expected,total,upset_pct
2006/07,4,5,9,44.44
2007/08,2,10,12,16.67
2008/09,2,4,6,33.33
2009/10,0,7,7,0.0
2010/11,2,7,9,22.22
2011/12,2,2,4,50.0
2012/13,2,6,8,25.0
2013/14,0,6,6,0.0
2014/15,2,5,7,28.57
2015/16,1,5,6,16.67
2016/17,2,8,10,20.0
2017/18,0,5,5,0.0
2018/19,0,4,4,0.0
2019/20,0,12,12,0.0
2020/21,4,5,9,44.44
2021/22,0,5,5,0.0
2022/23,2,10,12,16.67
2023/24,1,11,12,8.33
2024/25,2,10,12,16.67
2025/26,0,4,4,0.0
