season,round,home,away,score,goal_diff,home_position,away_position,home_tier,away_tier,match_type
2007/08,6,FC Ashdod,Bnei Yehuda,3:0,3,9,5,Middle,Middle,Middle vs Middle
2007/08,9,Bnei Sakhnin,FC Ashdod,3:0,3,4,8,Top,Middle,Middle vs Top
2007/08,9,Bnei Yehuda,Maccabi Haifa,0:3,3,10,6,Middle,Middle,Middle vs Middle
2007/08,11,B. Jerusalem,H. Kfar Saba,4:0,4,1,6,Top,Middle,Middle vs Top
2007/08,12,Bnei Yehuda,B. Jerusalem,0:3,3,10,1,Middle,Top,Middle vs Top
2007/08,13,Maccabi Haifa,FC Ashdod,3:0,3,6,8,Middle,Middle,Middle vs Middle
2007/08,14,H. Kfar Saba,M. Tel Aviv,0:3,3,7,8,Middle,Middle,Middle vs Middle
2007/08,15,Maccabi Netanya,FC Ashdod,3:0,3,2,10,Top,Middle,Middle vs Top
2007/08,16,H. Kfar Saba,Maccabi Haifa,0:3,3,7,3,Middle,Top,Middle vs Top
2007/08,18,Bnei Sakhnin,Maccabi Herzlya,0:3,3,4,8,Top,Middle,Middle vs Top
2007/08,19,Bnei Yehuda,M. Tel Aviv,0:4,4,12,9,Bottom,Middle,Bottom vs Middle
2007/08,20,Kiryat Shmona,B. Jerusalem,0:3,3,3,1,Top,Top,Top vs Top
2007/08,23,M. Petah Tikva,FC Ashdod,0:3,3,6,11,Middle,Bottom,Bottom vs Middle
2007/08,24,B. Jerusalem,M. Petah Tikva,4:0,4,1,6,Top,Middle,Middle vs Top
2007/08,25,H. Kfar Saba,B. Jerusalem,0:4,4,7,1,Middle,Top,Middle vs Top
2007/08,27,M. Petah Tikva,Bnei Sakhnin,0:4,4,8,4,Middle,Top,Middle vs Top
2007/08,28,Maccabi Netanya,Hapoel Tel Aviv,3:0,3,2,7,Top,Middle,Middle vs Top
2007/08,31,Bnei Yehuda,H. Kfar Saba,3:0,3,10,9,Middle,Middle,Middle vs Middle
2007/08,31,B. Jerusalem,Maccabi Netanya,3:0,3,1,2,Top,Top,Top vs Top
2007/08,32,Maccabi Haifa,Maccabi Herzlya,3:0,3,5,12,Middle,Bottom,Bottom vs Middle
2008/09,8,Hakoah Amidar,Maccabi Haifa,0:3,3,11,1,Bottom,Top,Bottom vs Top
2008/09,8,Bnei Sakhnin,H. Petah Tikva,0:3,3,10,6,Middle,Middle,Middle vs Middle
2008/09,9,Bnei Yehuda,B. Jerusalem,0:3,3,10,9,Middle,Middle,Middle vs Middle
2008/09,11,H. Petah Tikva,Maccabi Haifa,1:4,3,5,1,Middle,Top,Middle vs Top
2008/09,11,Kiryat Shmona,Maccabi Netanya,0:3,3,9,2,Middle,Top,Middle vs Top
2008/09,12,Hapoel Tel Aviv,Hakoah Amidar,3:0,3,3,12,Top,Bottom,Bottom vs Top
2008/09,12,H. Petah Tikva,Kiryat Shmona,3:0,3,7,9,Middle,Middle,Middle vs Middle
2008/09,14,B. Jerusalem,Hakoah Amidar,3:0,3,7,12,Middle,Bottom,Bottom vs Middle
2008/09,14,FC Ashdod,H. Petah Tikva,4:1,3,6,4,Middle,Top,Middle vs Top
2008/09,18,Bnei Yehuda,Hapoel Tel Aviv,3:0,3,6,2,Middle,Top,Middle vs Top
2008/09,19,Hapoel Tel Aviv,B. Jerusalem,4:0,4,3,4,Top,Top,Top vs Top
2008/09,25,B. Jerusalem,Hakoah Amidar,4:0,4,4,12,Top,Bottom,Bottom vs Top
2008/09,25,FC Ashdod,Maccabi Haifa,0:3,3,6,1,Middle,Top,Middle vs Top
2008/09,26,Bnei Sakhnin,M. Tel Aviv,0:3,3,10,8,Middle,Middle,Middle vs Middle
2008/09,29,FC Ashdod,Bnei Yehuda,0:3,3,8,5,Middle,Middle,Middle vs Middle
2008/09,32,B. Jerusalem,Bnei Sakhnin,3:0,3,3,10,Top,Middle,Middle vs Top
2008/09,32,M. Petah Tikva,M. Tel Aviv,0:3,3,7,6,Middle,Middle,Middle vs Middle
2009/10,1,FC Ashdod,Bnei Yehuda,0:3,3,16,1,Bottom,Top,Bottom vs Top
2009/10,4,M. Petah Tikva,H. Beer Sheva,3:0,3,13,9,Bottom,Middle,Bottom vs Middle
