season,round,home,away,score,goal_diff,home_position,away_position,home_tier,away_tier,match_type
2015/16,11,Hapoel Haifa,M. Tel Aviv,0:3,3,11,2,Bottom,Top,Bottom vs Top
2015/16,11,Hapoel Tel Aviv,Maccabi Haifa,0:3,3,10,13,Middle,Bottom,Bottom vs Middle
2015/16,12,H. Beer Sheva,H. Kfar Saba,3:0,3,2,8,Top,Middle,Middle vs Top
2015/16,12,M. Tel Aviv,Bnei Yehuda,4:0,4,1,7,Top,Middle,Middle vs Top
2015/16,15,Kiryat Shmona,Hapoel Tel Aviv,3:0,3,9,8,Middle,Middle,Middle vs Middle
2015/16,16,M. Tel Aviv,Kiryat Shmona,5:0,5,2,8,Top,Middle,Middle vs Top
2015/16,17,Kiryat Shmona,Maccabi Netanya,3:0,3,8,14,Middle,Bottom,Bottom vs Middle
2015/16,18,H. Beer Sheva,Hapoel Acre,3:0,3,1,11,Top,Bottom,Bottom vs Top
2015/16,19,Hapoel Acre,M. Tel Aviv,0:3,3,13,2,Bottom,Top,Bottom vs Top
2015/16,22,Maccabi Haifa,M. Petah Tikva,4:0,4,5,6,Middle,Middle,Middle vs Middle
2015/16,23,B. Jerusalem,Maccabi Haifa,3:0,3,3,5,Top,Middle,Middle vs Top
2015/16,25,Maccabi Netanya,Maccabi Haifa,0:3,3,14,5,Bottom,Middle,Bottom vs Middle
2015/16,25,Bnei Sakhnin,Kiryat Shmona,3:0,3,5,10,Middle,Middle,Middle vs Middle
2015/16,26,M. Tel Aviv,H. Kfar Saba,5:0,5,2,9,Top,Middle,Middle vs Top
2016/17,3,H. Beer Sheva,Bnei Sakhnin,3:0,3,5,5,Middle,Middle,Middle vs Middle
2016/17,4,B. Jerusalem,H. Ashkelon,3:0,3,9,4,Middle,Top,Middle vs Top
2016/17,4,Hapoel Raanana,M. Tel Aviv,0:3,3,12,2,Bottom,Top,Bottom vs Top
2016/17,5,Hapoel Haifa,B. Jerusalem,4:0,4,6,5,Middle,Middle,Middle vs Middle
2016/17,5,Bnei Yehuda,H. Beer Sheva,0:3,3,8,3,Middle,Top,Middle vs Top
2016/17,5,M. Tel Aviv,Hapoel Tel Aviv,5:0,5,1,14,Top,Bottom,Bottom vs Top
2016/17,6,Bnei Sakhnin,M. Tel Aviv,0:3,3,10,1,Middle,Top,Middle vs Top
2016/17,6,H. Beer Sheva,M. Petah Tikva,5:0,5,3,2,Top,Top,Top vs Top
2016/17,7,Bnei Yehuda,M. Petah Tikva,1:4,3,9,3,Middle,Top,Middle vs Top
2016/17,8,Maccabi Haifa,H. Ashkelon,5:0,5,4,11,Top,Bottom,Bottom vs Top
2016/17,9,H. Ashkelon,H. Beer Sheva,1:5,4,12,1,Bottom,Top,Bottom vs Top
2016/17,10,H. Beer Sheva,Hapoel Haifa,5:1,4,1,9,Top,Middle,Middle vs Top
2016/17,11,Kiryat Shmona,H. Ashkelon,4:1,3,7,13,Middle,Bottom,Bottom vs Middle
2016/17,12,H. Beer Sheva,FC Ashdod,5:0,5,1,10,Top,Middle,Middle vs Top
2016/17,16,Hapoel Raanana,Kiryat Shmona,0:3,3,8,5,Middle,Middle,Middle vs Middle
2016/17,17,M. Tel Aviv,Hapoel Raanana,4:1,3,2,9,Top,Middle,Middle vs Top
2016/17,18,Bnei Sakhnin,Kiryat Shmona,5:2,3,7,4,Middle,Top,Middle vs Top
2016/17,19,Kiryat Shmona,Maccabi Haifa,3:0,3,4,6,Top,Middle,Middle vs Top
2016/17,22,Maccabi Haifa,Hapoel Haifa,0:3,3,7,8,Middle,Middle,Middle vs Middle
2016/17,22,Hapoel Raanana,B. Jerusalem,0:4,4,9,5,Middle,Middle,Middle vs Middle
2016/17,23,M. Tel Aviv,Kiryat Shmona,3:0,3,2,6,Top,Middle,Middle vs Top
2016/17,24,H. Beer Sheva,H. Kfar Saba,3:0,3,1,12,Top,Bottom,Bottom vs Top
2017/18,1,M. Tel Aviv,B. Jerusalem,0:3,3,13,1,Bottom,Top,Bottom vs Top
2017/18,2,B. Jerusalem,FC Ashdod,4:1,3,1,10,Top,Middle,Middle vs Top
2017/18,3,Hapoel Raanana,Maccabi Netanya,0:3,3,9,8,Middle,Middle,Middle vs Middle
2017/18,5,Hapoel Raanana,H. Ashkelon,0:3,3,13,10,Bottom,Middle,Bottom vs Middle
2017/18,5,FC Ashdod,Maccabi Netanya,0:3,3,14,8,Bottom,Middle,Bottom vs Middle
2017/18,6,Maccabi Netanya,M. Petah Tikva,4:0,4,4,10,Top,Middle,Middle vs Top
2017/18,7,Hapoel Haifa,Hapoel Acre,4:0,4,1,12,Top,Bottom,Bottom vs Top
2017/18,7,B. Jerusalem,Maccabi Netanya,4:1,3,3,2,Top,Top,Top vs Top
2017/18,9,M. Tel Aviv,Hapoel Acre,5:2,3,5,14,Middle,Bottom,Bottom vs Middle
2017/18,11,Hapoel Acre,M. Petah Tikva,0:3,3,12,11,Bottom,Bottom,Bottom vs Bottom
2017/18,12,Bnei Yehuda,Bnei Sakhnin,3:0,3,9,8,Middle,Middle,Middle vs Middle
2017/18,13,Kiryat Shmona,Hapoel Acre,4:0,4,7,14,Middle,Bottom,Bottom vs Middle
2017/18,15,Hapoel Acre,Maccabi Netanya,0:3,3,14,5,Bottom,Middle,Bottom vs Middle
2017/18,17,M. Tel Aviv,Maccabi Netanya,3:0,3,4,5,Top,Middle,Middle vs Top
2017/18,17,Hapoel Raanana,Maccabi Haifa,0:3,3,12,9,Bottom,Middle,Bottom vs Middle
2017/18,21,M. Petah Tikva,H. Ashkelon,3:0,3,8,12,Middle,Bottom,Bottom vs Middle
2017/18,22,Maccabi Haifa,Kiryat Shmona,4:0,4,10,8,Middle,Middle,Middle vs Middle
2017/18,23,H. Beer Sheva,M. Petah Tikva,3:0,3,2,7,Top,Middle,Middle vs Top
2017/18,24,M. Tel Aviv,Hapoel Haifa,4:0,4,3,4,Top,Top,Top vs Top
2017/18,25,B. Jerusalem,Hapoel Acre,3:0,3,3,14,Top,Bottom,Bottom vs Top
2017/18,25,Maccabi Haifa,Hapoel Haifa,0:3,3,10,4,Middle,Top,Middle vs Top
2017/18,26,Hapoel Acre,Kiryat Shmona,0:3,3,14,9,Bottom,Middle,Bottom vs Middle
2018/19,1,Hapoel Haifa,Maccabi Netanya,5:0,5,1,14,Top,Bottom,Bottom vs Top
2018/19,1,M. Petah Tikva,B. Jerusalem,4:1,3,2,13,Top,Bottom,Bottom vs Top
2018/19,3,M. Tel Aviv,Hapoel Raanana,4:1,3,3,4,Top,Top,Top vs Top
2018/19,5,FC Ashdod,Maccabi Netanya,1:4,3,4,14,Top,Bottom,Bottom vs Top
2018/19,5,Bnei Yehuda,Hapoel Raanana,3:0,3,12,7,Bottom,Middle,Bottom vs Middle
2018/19,6,Hapoel Haifa,Bnei Sakhnin,0:3,3,8,14,Middle,Bottom,Bottom vs Middle
2018/19,6,H. Beer Sheva,M. Petah Tikva,4:1,3,11,3,Bottom,Top,Bottom vs Top
2018/19,7,M. Tel Aviv,Hapoel Hadera,4:0,4,2,1,Top,Top,Top vs Top
2018/19,8,Bnei Sakhnin,Kiryat Shmona,0:3,3,9,6,Middle,Middle,Middle vs Middle
2018/19,8,B. Jerusalem,Bnei Yehuda,1:5,4,14,3,Bottom,Top,Bottom vs Top
2018/19,9,FC Ashdod,Hapoel Haifa,0:3,3,9,13,Middle,Bottom,Bottom vs Middle
2018/19,9,M. Tel Aviv,Bnei Sakhnin,3:0,3,1,12,Top,Bottom,Bottom vs Top
2018/19,12,M. Tel Aviv,FC Ashdod,4:0,4,1,12,Top,Bottom,Bottom vs Top
2018/19,13,Hapoel Raanana,Hapoel Haifa,0:3,3,9,10,Middle,Middle,Middle vs Middle
2018/19,13,Hapoel Tel Aviv,B. Jerusalem,0:3,3,13,14,Bottom,Bottom,Bottom vs Bottom
2018/19,15,M. Tel Aviv,H. Beer Sheva,3:0,3,1,3,Top,Top,Top vs Top
2018/19,15,Hapoel Hadera,B. Jerusalem,0:3,3,4,12,Top,Bottom,Bottom vs Top
2018/19,16,Hapoel Hadera,M. Petah Tikva,3:0,3,4,8,Top,Middle,Middle vs Top
2018/19,17,M. Tel Aviv,Maccabi Netanya,4:1,3,1,5,Top,Middle,Middle vs Top
2018/19,19,Bnei Sakhnin,Hapoel Haifa,0:4,4,13,6,Bottom,Middle,Bottom vs Middle
2018/19,20,B. Jerusalem,FC Ashdod,4:1,3,10,14,Middle,Bottom,Bottom vs Middle
2018/19,22,Hapoel Hadera,Bnei Yehuda,0:4,4,3,4,Top,Top,Top vs Top
2018/19,23,M. Tel Aviv,Kiryat Shmona,3:0,3,1,8,Top,Middle,Middle vs Top
2018/19,23,M. Petah Tikva,Maccabi Netanya,1:4,3,10,4,Middle,Top,Middle vs Top
2018/19,25,Hapoel Tel Aviv,M. Petah Tikva,6:0,6,11,12,Bottom,Bottom,Bottom vs Bottom
2019/20,2,Maccabi Netanya,Ness Ziona,3:0,3,7,14,Middle,Bottom,Bottom vs Middle
2019/20,2,H. Beer Sheva,Hapoel Hadera,3:0,3,7,5,Middle,Middle,Middle vs Middle
2019/20,3,Hapoel Hadera,Hapoel Raanana,4:0,4,12,9,Bottom,Middle,Bottom vs Middle
2019/20,4,H. Beer Sheva,Hapoel Tel Aviv,3:0,3,4,11,Top,Bottom,Bottom vs Top
2019/20,5,Maccabi Haifa,Maccabi Netanya,3:0,3,5,7,Middle,Middle,Middle vs Middle
2019/20,5,B. Jerusalem,M. Tel Aviv,0:4,4,10,1,Middle,Top,Middle vs Top
2019/20,6,Ness Ziona,Maccabi Haifa,0:3,3,13,3,Bottom,Top,Bottom vs Top
2019/20,6,Hapoel Haifa,H. Beer Sheva,0:3,3,6,2,Middle,Top,Middle vs Top
2019/20,6,Maccabi Netanya,B. Jerusalem,0:3,3,8,11,Middle,Bottom,Bottom vs Middle
2019/20,7,Ness Ziona,B. Jerusalem,0:4,4,14,9,Bottom,Middle,Bottom vs Middle
2019/20,8,Hapoel Haifa,Hapoel Tel Aviv,3:0,3,7,10,Middle,Middle,Middle vs Middle
2019/20,8,H. Kfar Saba,Maccabi Haifa,0:3,3,8,3,Middle,Top,Middle vs Top
2019/20,10,M. Tel Aviv,Hapoel Haifa,3:0,3,1,5,Top,Middle,Middle vs Top
2019/20,11,Hapoel Hadera,Maccabi Haifa,0:3,3,5,2,Middle,Top,Middle vs Top
2019/20,12,Hapoel Tel Aviv,M. Tel Aviv,0:3,3,11,1,Bottom,Top,Bottom vs Top
2019/20,13,Hapoel Haifa,Bnei Yehuda,3:0,3,6,5,Middle,Middle,Middle vs Middle
2019/20,14,Maccabi Netanya,Hapoel Tel Aviv,4:0,4,7,10,Middle,Middle,Middle vs Middle
2019/20,15,H. Kfar Saba,Kiryat Shmona,0:3,3,9,11,Middle,Bottom,Bottom vs Middle
2019/20,15,Maccabi Haifa,Hapoel Haifa,3:0,3,2,5,Top,Middle,Middle vs Top
2019/20,15,Bnei Yehuda,M. Tel Aviv,0:3,3,8,1,Middle,Top,Middle vs Top
2019/20,16,M. Tel Aviv,H. Kfar Saba,4:0,4,1,11,Top,Bottom,Bottom vs Top
2019/20,16,Maccabi Netanya,Bnei Yehuda,0:3,3,6,8,Middle,Middle,Middle vs Middle
2019/20,16,Hapoel Haifa,B. Jerusalem,1:4,3,5,3,Middle,Top,Middle vs Top
2019/20,17,FC Ashdod,Hapoel Raanana,3:0,3,11,14,Bottom,Bottom,Bottom vs Bottom
2019/20,19,Maccabi Haifa,Ness Ziona,4:0,4,2,13,Top,Bottom,Bottom vs Top
2019/20,19,Hapoel Hadera,M. Tel Aviv,0:3,3,5,1,Middle,Top,Middle vs Top
2019/20,22,Maccabi Haifa,Hapoel Tel Aviv,5:0,5,2,5,Top,Middle,Middle vs Top
2019/20,23,H. Beer Sheva,Ness Ziona,3:0,3,4,14,Top,Bottom,Bottom vs Top
2019/20,24,Ness Ziona,Hapoel Raanana,3:0,3,14,13,Bottom,Bottom,Bottom vs Bottom
2019/20,24,M. Tel Aviv,Kiryat Shmona,3:0,3,1,12,Top,Bottom,Bottom vs Top
2019/20,25,Kiryat Shmona,Maccabi Netanya,3:0,3,12,8,Bottom,Middle,Bottom vs Middle
2019/20,25,Hapoel Hadera,B. Jerusalem,1:4,3,6,3,Middle,Top,Middle vs Top
2019/20,25,M. Tel Aviv,Hapoel Tel Aviv,3:0,3,1,5,Top,Middle,Middle vs Top
2019/20,26,H. Kfar Saba,Hapoel Raanana,3:0,3,11,14,Bottom,Bottom,Bottom vs Bottom
2019/20,26,Maccabi Haifa,H. Beer Sheva,4:0,4,2,4,Top,Top,Top vs Top
2020/21,1,Bnei Sakhnin,Bnei Yehuda,0:3,3,14,1,Bottom,Top,Bottom vs Top
2020/21,2,Maccabi Netanya,Bnei Sakhnin,7:0,7,8,14,Middle,Bottom,Bottom vs Middle
2020/21,2,B. Jerusalem,Hapoel Hadera,4:0,4,7,9,Middle,Middle,Middle vs Middle
2020/21,3,Bnei Sakhnin,Maccabi Haifa,0:3,3,14,2,Bottom,Top,Bottom vs Top
2020/21,4,Maccabi Netanya,H. Kfar Saba,3:0,3,6,4,Middle,Top,Middle vs Top
2020/21,5,Hapoel Hadera,Bnei Sakhnin,4:0,4,12,14,Bottom,Bottom,Bottom vs Bottom
2020/21,5,FC Ashdod,Maccabi Netanya,4:0,4,6,4,Middle,Top,Middle vs Top
2020/21,8,M. Tel Aviv,H. Kfar Saba,3:0,3,7,10,Middle,Middle,Middle vs Middle
2020/21,9,Kiryat Shmona,Maccabi Haifa,0:3,3,3,1,Top,Top,Top vs Top
2020/21,10,Bnei Yehuda,Hapoel Hadera,0:3,3,7,13,Middle,Bottom,Bottom vs Middle
2020/21,11,Hapoel Tel Aviv,H. Beer Sheva,0:3,3,14,7,Bottom,Middle,Bottom vs Middle
2020/21,12,Maccabi Haifa,Bnei Yehuda,3:0,3,1,9,Top,Middle,Middle vs Top
2020/21,13,Hapoel Tel Aviv,M. Tel Aviv,0:4,4,14,3,Bottom,Top,Bottom vs Top
2020/21,15,Hapoel Hadera,B. Jerusalem,0:4,4,12,10,Bottom,Middle,Bottom vs Middle
2020/21,16,Maccabi Haifa,Bnei Sakhnin,3:0,3,1,12,Top,Bottom,Bottom vs Top
2020/21,17,FC Ashdod,Bnei Yehuda,4:0,4,5,11,Middle,Bottom,Bottom vs Middle
2020/21,18,Maccabi Netanya,FC Ashdod,3:0,3,7,4,Middle,Top,Middle vs Top
2020/21,18,Maccabi Haifa,H. Kfar Saba,3:0,3,1,10,Top,Middle,Middle vs Top
2020/21,20,H. Beer Sheva,FC Ashdod,0:3,3,5,3,Middle,Top,Middle vs Top
2020/21,21,Kiryat Shmona,Maccabi Netanya,1:4,3,4,8,Top,Middle,Middle vs Top
2020/21,21,B. Jerusalem,Maccabi Haifa,0:3,3,7,1,Middle,Top,Middle vs Top
2020/21,24,M. Tel Aviv,B. Jerusalem,4:1,3,2,8,Top,Middle,Middle vs Top
2021/22,2,H. Jerusalem,B. Jerusalem,0:3,3,6,14,Middle,Bottom,Bottom vs Middle
2021/22,6,H. Jerusalem,Maccabi Haifa,1:4,3,14,6,Bottom,Middle,Bottom vs Middle
2021/22,7,Hapoel Hadera,Hapoel Tel Aviv,0:3,3,3,4,Top,Top,Top vs Top
2021/22,7,Bnei Sakhnin,Kiryat Shmona,0:3,3,8,12,Middle,Bottom,Bottom vs Middle
2021/22,7,M. Petah Tikva,H. Nof HaGalil,4:0,4,10,6,Middle,Middle,Middle vs Middle
2021/22,8,Hapoel Haifa,Hapoel Hadera,3:0,3,4,5,Top,Middle,Middle vs Top
2021/22,8,Hapoel Tel Aviv,Bnei Sakhnin,0:3,3,2,11,Top,Bottom,Bottom vs Top
2021/22,9,M. Petah Tikva,B. Jerusalem,0:3,3,9,11,Middle,Bottom,Bottom vs Middle
2021/22,9,Maccabi Haifa,Kiryat Shmona,4:0,4,3,11,Top,Bottom,Bottom vs Top
2021/22,11,Maccabi Haifa,Hapoel Haifa,5:1,4,2,3,Top,Top,Top vs Top
2021/22,12,H. Nof HaGalil,Maccabi Haifa,0:4,4,9,2,Middle,Top,Middle vs Top
2021/22,13,M. Tel Aviv,Hapoel Hadera,3:0,3,4,5,Top,Middle,Middle vs Top
2021/22,14,FC Ashdod,Hapoel Tel Aviv,1:4,3,8,7,Middle,Middle,Middle vs Middle
2021/22,15,Bnei Sakhnin,Maccabi Haifa,0:6,6,3,2,Top,Top,Top vs Top
2021/22,15,B. Jerusalem,H. Jerusalem,3:0,3,13,11,Bottom,Bottom,Bottom vs Bottom
2021/22,16,FC Ashdod,H. Nof HaGalil,3:0,3,10,13,Middle,Bottom,Bottom vs Middle
2021/22,16,H. Beer Sheva,Bnei Sakhnin,3:0,3,1,5,Top,Middle,Middle vs Top
2021/22,17,H. Nof HaGalil,Kiryat Shmona,2:6,4,13,7,Bottom,Middle,Bottom vs Middle
2021/22,17,M. Petah Tikva,Maccabi Haifa,0:4,4,14,2,Bottom,Top,Bottom vs Top
2021/22,20,Hapoel Haifa,B. Jerusalem,5:1,4,5,11,Middle,Bottom,Bottom vs Middle
2021/22,21,Maccabi Haifa,FC Ashdod,6:0,6,1,9,Top,Middle,Middle vs Top
2021/22,24,Hapoel Hadera,M. Petah Tikva,1:4,3,4,14,Top,Bottom,Bottom vs Top
2022/23,1,Maccabi Netanya,B. Jerusalem,4:1,3,2,13,Top,Bottom,Bottom vs Top
2022/23,1,M. Tel Aviv,M. Bnei Reineh,5:0,5,1,14,Top,Bottom,Bottom vs Top
2022/23,2,Maccabi Haifa,Maccabi Netanya,4:1,3,6,2,Middle,Top,Middle vs Top
2022/23,2,B. Jerusalem,H. Beer Sheva,0:5,5,13,9,Bottom,Middle,Bottom vs Middle
2022/23,2,Hapoel Hadera,M. Tel Aviv,0:6,6,7,1,Middle,Top,Middle vs Top
2022/23,3,H. Jerusalem,FC Ashdod,3:0,3,9,3,Middle,Top,Middle vs Top
2022/23,3,Ness Ziona,B. Jerusalem,0:3,3,12,14,Bottom,Bottom,Bottom vs Bottom
2022/23,5,M. Tel Aviv,B. Jerusalem,4:0,4,2,12,Top,Bottom,Bottom vs Top
2022/23,5,H. Jerusalem,Maccabi Haifa,3:0,3,3,1,Top,Top,Top vs Top
2022/23,7,M. Tel Aviv,Hapoel Tel Aviv,3:0,3,3,12,Top,Bottom,Bottom vs Top
2022/23,8,FC Ashdod,Hapoel Haifa,4:0,4,6,9,Middle,Middle,Middle vs Middle
2022/23,9,H. Jerusalem,H. Beer Sheva,1:4,3,3,4,Top,Top,Top vs Top
2022/23,9,M. Tel Aviv,Maccabi Netanya,3:0,3,1,11,Top,Bottom,Bottom vs Top
2022/23,10,Bnei Sakhnin,Hapoel Hadera,1:4,3,6,8,Middle,Middle,Middle vs Middle
2022/23,11,M. Bnei Reineh,H. Beer Sheva,0:3,3,8,3,Middle,Top,Middle vs Top
2022/23,11,B. Jerusalem,Maccabi Haifa,1:4,3,10,1,Middle,Top,Middle vs Top
2022/23,12,H. Jerusalem,M. Tel Aviv,0:3,3,4,2,Top,Top,Top vs Top
2022/23,12,H. Beer Sheva,Hapoel Hadera,3:0,3,3,5,Top,Middle,Middle vs Top
2022/23,13,Maccabi Haifa,Hapoel Tel Aviv,5:2,3,1,8,Top,Middle,Middle vs Top
2022/23,14,B. Jerusalem,Maccabi Netanya,6:3,3,11,8,Bottom,Middle,Bottom vs Middle
2022/23,15,M. Tel Aviv,Hapoel Hadera,5:0,5,2,5,Top,Middle,Middle vs Top
2022/23,17,M. Tel Aviv,FC Ashdod,3:0,3,2,7,Top,Middle,Middle vs Top
2022/23,17,Hapoel Haifa,Hapoel Hadera,3:0,3,8,5,Middle,Middle,Middle vs Middle
2022/23,17,H. Beer Sheva,Hapoel Tel Aviv,6:0,6,3,10,Top,Middle,Middle vs Top
2022/23,18,FC Ashdod,M. Bnei Reineh,3:0,3,8,14,Middle,Bottom,Bottom vs Middle
2022/23,19,M. Tel Aviv,Maccabi Haifa,3:0,3,3,1,Top,Top,Top vs Top
2022/23,20,Maccabi Netanya,Ness Ziona,3:0,3,8,12,Middle,Bottom,Bottom vs Middle
2022/23,21,Kiryat Shmona,B. Jerusalem,0:3,3,12,6,Bottom,Middle,Bottom vs Middle
2022/23,25,Hapoel Hadera,H. Beer Sheva,0:3,3,10,2,Middle,Top,Middle vs Top
2022/23,25,Maccabi Haifa,Hapoel Haifa,4:1,3,1,8,Top,Middle,Middle vs Top
2023/24,1,H. Beer Sheva,Hapoel Hadera,3:0,3,2,13,Top,Bottom,Bottom vs Top
2023/24,1,M. Tel Aviv,FC Ashdod,4:1,3,1,12,Top,Bottom,Bottom vs Top
2023/24,2,Hapoel Hadera,M. Tel Aviv,0:3,3,13,1,Bottom,Top,Bottom vs Top
2023/24,3,Maccabi Netanya,H. Petah Tikva,4:1,3,11,9,Bottom,Middle,Bottom vs Middle
2023/24,4,Hapoel Tel Aviv,M. Tel Aviv,0:5,5,5,1,Middle,Top,Middle vs Top
2023/24,5,M. Petah Tikva,Bnei Sakhnin,5:1,4,3,8,Top,Middle,Middle vs Top
2023/24,5,H. Beer Sheva,H. Jerusalem,3:0,3,5,11,Middle,Bottom,Bottom vs Middle
2023/24,5,B. Jerusalem,Hapoel Tel Aviv,0:3,3,12,10,Bottom,Middle,Bottom vs Middle
2023/24,6,Hapoel Hadera,M. Petah Tikva,3:0,3,11,3,Bottom,Top,Bottom vs Top
2023/24,8,M. Bnei Reineh,M. Petah Tikva,3:0,3,4,5,Top,Middle,Middle vs Top
2023/24,9,M. Petah Tikva,H. Beer Sheva,1:4,3,5,9,Middle,Middle,Middle vs Middle
2023/24,9,Hapoel Haifa,Maccabi Haifa,0:3,3,2,4,Top,Top,Top vs Top
2023/24,10,Maccabi Netanya,B. Jerusalem,0:3,3,10,13,Middle,Bottom,Bottom vs Middle
2023/24,10,Maccabi Haifa,FC Ashdod,4:0,4,2,11,Top,Bottom,Bottom vs Top
2023/24,11,Hapoel Tel Aviv,H. Petah Tikva,4:1,3,5,12,Middle,Bottom,Bottom vs Middle
2023/24,11,Hapoel Hadera,Maccabi Haifa,1:5,4,9,2,Middle,Top,Middle vs Top
2023/24,12,H. Beer Sheva,Hapoel Haifa,4:0,4,7,3,Middle,Top,Middle vs Top
2023/24,13,Hapoel Hadera,Maccabi Netanya,1:4,3,9,10,Middle,Middle,Middle vs Middle
2023/24,14,FC Ashdod,M. Tel Aviv,1:4,3,13,1,Bottom,Top,Bottom vs Top
2023/24,15,M. Petah Tikva,Hapoel Haifa,0:3,3,10,3,Middle,Top,Middle vs Top
2023/24,16,Hapoel Hadera,B. Jerusalem,0:3,3,12,11,Bottom,Bottom,Bottom vs Bottom
2023/24,16,Hapoel Tel Aviv,H. Beer Sheva,0:4,4,7,4,Middle,Top,Middle vs Top
2023/24,16,Maccabi Haifa,M. Petah Tikva,5:0,5,2,10,Top,Middle,Middle vs Top
2023/24,17,Bnei Sakhnin,Maccabi Haifa,0:3,3,7,2,Middle,Top,Middle vs Top
2023/24,18,Maccabi Haifa,Maccabi Netanya,4:0,4,2,6,Top,Middle,Middle vs Top
2023/24,22,Maccabi Netanya,M. Tel Aviv,1:5,4,8,2,Middle,Top,Middle vs Top
2023/24,23,M. Petah Tikva,Hapoel Tel Aviv,3:0,3,7,9,Middle,Middle,Middle vs Middle
2023/24,23,FC Ashdod,Maccabi Haifa,0:5,5,12,2,Bottom,Top,Bottom vs Top
2023/24,24,M. Tel Aviv,M. Petah Tikva,4:0,4,1,7,Top,Middle,Middle vs Top
2023/24,26,M. Petah Tikva,B. Jerusalem,0:3,3,7,12,Middle,Bottom,Bottom vs Middle
2024/25,1,Maccabi Haifa,Ironi Tiberias,4:0,4,3,14,Top,Bottom,Bottom vs Top
2024/25,2,M. Petah Tikva,M. Tel Aviv,0:3,3,13,2,Bottom,Top,Bottom vs Top
2024/25,3,Hapoel Haifa,H. Jerusalem,4:0,4,11,10,Bottom,Middle,Bottom vs Middle
2024/25,5,Kiryat Shmona,Maccabi Haifa,0:4,4,11,4,Bottom,Top,Bottom vs Top
2024/25,5,H. Jerusalem,M. Petah Tikva,4:1,3,14,10,Bottom,Middle,Bottom vs Middle
2024/25,5,H. Beer Sheva,Hapoel Haifa,3:0,3,7,6,Middle,Middle,Middle vs Middle
2024/25,5,Hapoel Hadera,FC Ashdod,0:3,3,13,9,Bottom,Middle,Bottom vs Middle
2024/25,6,Maccabi Haifa,Bnei Sakhnin,3:0,3,4,6,Top,Middle,Middle vs Top
2024/25,7,M. Petah Tikva,H. Beer Sheva,2:5,3,10,4,Middle,Top,Middle vs Top
2024/25,8,Maccabi Netanya,Hapoel Haifa,0:3,3,12,6,Bottom,Middle,Bottom vs Middle
2024/25,9,Hapoel Hadera,B. Jerusalem,0:4,4,13,4,Bottom,Top,Bottom vs Top
2024/25,9,Hapoel Haifa,Maccabi Haifa,1:4,3,5,2,Middle,Top,Middle vs Top
2024/25,10,Bnei Sakhnin,M. Tel Aviv,0:4,4,7,1,Middle,Top,Middle vs Top
2024/25,12,B. Jerusalem,M. Petah Tikva,5:0,5,4,10,Top,Middle,Middle vs Top
2024/25,13,H. Beer Sheva,B. Jerusalem,4:1,3,1,3,Top,Top,Top vs Top
2024/25,14,H. Beer Sheva,Kiryat Shmona,5:1,4,1,6,Top,Middle,Middle vs Top
2024/25,14,Hapoel Haifa,Hapoel Hadera,3:0,3,7,13,Middle,Bottom,Bottom vs Middle
2024/25,16,Maccabi Netanya,B. Jerusalem,3:0,3,10,4,Middle,Top,Middle vs Top
2024/25,17,Hapoel Haifa,M. Petah Tikva,5:1,4,5,12,Middle,Bottom,Bottom vs Middle
2024/25,17,M. Tel Aviv,FC Ashdod,5:1,4,2,13,Top,Bottom,Bottom vs Top
2024/25,18,Maccabi Haifa,Kiryat Shmona,4:1,3,3,6,Top,Middle,Middle vs Top
2024/25,18,B. Jerusalem,M. Bnei Reineh,1:4,3,4,7,Top,Middle,Middle vs Top
2024/25,18,Maccabi Netanya,Bnei Sakhnin,4:0,4,8,10,Middle,Middle,Middle vs Middle
2024/25,19,Kiryat Shmona,B. Jerusalem,0:3,3,8,4,Middle,Top,Middle vs Top
2024/25,19,Bnei Sakhnin,Maccabi Haifa,0:3,3,10,3,Middle,Top,Middle vs Top
2024/25,19,M. Tel Aviv,Maccabi Netanya,4:1,3,2,7,Top,Middle,Middle vs Top
2024/25,20,Maccabi Haifa,M. Tel Aviv,0:3,3,3,2,Top,Top,Top vs Top
2024/25,21,H. Jerusalem,Ironi Tiberias,4:0,4,9,10,Middle,Middle,Middle vs Middle
2024/25,23,H. Beer Sheva,Ironi Tiberias,4:0,4,1,12,Top,Bottom,Bottom vs Top
2024/25,23,M. Bnei Reineh,FC Ashdod,1:4,3,7,13,Middle,Bottom,Bottom vs Middle
2025/26,1,Maccabi Haifa,M. Bnei Reineh,4:0,4,1,13,Top,Bottom,Bottom vs Top
2025/26,1,H. Petah Tikva,M. Tel Aviv,0:4,4,13,1,Bottom,Top,Bottom vs Top
2025/26,2,H. Beer Sheva,Ironi Tiberias,7:0,7,3,6,Top,Middle,Middle vs Top
2025/26,2,M. Tel Aviv,Maccabi Netanya,4:0,4,1,12,Top,Bottom,Bottom vs Top
2025/26,3,Ironi Tiberias,M. Tel Aviv,1:4,3,8,2,Middle,Top,Middle vs Top
2025/26,3,H. Jerusalem,H. Beer Sheva,1:5,4,13,1,Bottom,Top,Bottom vs Top
2025/26,3,Maccabi Haifa,FC Ashdod,5:1,4,3,5,Top,Middle,Middle vs Top
2025/26,4,M. Bnei Reineh,H. Petah Tikva,1:6,5,12,8,Bottom,Middle,Bottom vs Middle
2025/26,4,FC Ashdod,Hapoel Tel Aviv,2:6,4,10,5,Middle,Middle,Middle vs Middle
