season,upsets,expected,total,upset_pct
2006/07,0,2,2,0.0
2007/08,0,2,2,0.0
2008/09,0,3,3,0.0
2009/10,1,14,15,6.67
2010/11,1,7,8,12.5
2011/12,1,4,5,20.0
2012/13,0,6,6,0.0
2013/14,0,4,4,0.0
2014/15,0,8,8,0.0
2015/16,0,4,4,0.0
2016/17,0,5,5,0.0
2017/18,0,3,3,0.0
2018/19,3,5,8,37.5
2019/20,0,7,7,0.0
2020/21,0,4,4,0.0
2021/22,2,2,4,50.0
2022/23,0,5,5,0.0
2023/24,1,6,7,14.29
2024/25,0,6,6,0.0
2025/26,0,4,4,0.0
