season,HHI,interpretation,num_teams
2006/07,907.4972983818452,High Competitiveness,12
2007/08,878.44999932912,High Competitiveness,12
2008/09,906.2129006727345,High Competitiveness,12
2009/10,711.2064388710739,High Competitiveness,16
2010/11,696.6649315883402,High Competitiveness,16
2011/12,662.7205335722275,High Competitiveness,16
2012/13,768.7304890738814,High Competitiveness,14
2013/14,815.44,High Competitiveness,14
2014/15,768.7390385025161,High Competitiveness,14
2015/16,821.9222270608535,High Competitiveness,14
2016/17,799.9715625143755,High Competitiveness,14
2017/18,831.8293552615328,High Competitiveness,14
2018/19,784.5679668402594,High Competitiveness,14
2019/20,814.4315169600483,High Competitiveness,14
2020/21,779.3992852618118,High Competitiveness,14
2021/22,802.8481813326049,High Competitiveness,14
2022/23,812.5780924614744,High Competitiveness,14
2023/24,803.1322075450395,High Competitiveness,14
2024/25,800.8334628148891,High Competitiveness,14
2025/26,849.0863646290858,High Competitiveness,14
