season,round,home,away,score,goal_diff,home_position,away_position,home_tier,away_tier,match_type,home_goals,away_goals,winner_category
2006/07,1,H. Kfar Saba,H. Petah Tikva,4:1,3,1,12,Top,Bottom,Bottom vs Top,4,1,Top won (expected)
2006/07,32,Hapoel Tel Aviv,H. Petah Tikva,5:1,4,4,12,Top,Bottom,Bottom vs Top,5,1,Top won (expected)
2007/08,1,Kiryat Shmona,Maccabi Herzlya,3:0,3,1,11,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2007/08,1,B. Jerusalem,Bnei Yehuda,3:0,3,1,11,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2008/09,8,Hakoah Amidar,Maccabi Haifa,0:3,3,11,1,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2008/09,12,Hapoel Tel Aviv,Hakoah Amidar,3:0,3,3,12,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2008/09,25,B. Jerusalem,Hakoah Amidar,4:0,4,4,12,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2009/10,1,FC Ashdod,Bnei Yehuda,0:3,3,16,1,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2009/10,9,Maccabi Netanya,B. Jerusalem,3:0,3,13,4,Bottom,Top,Bottom vs Top,3,0,Bottom won (upset!)
2009/10,10,Maccabi Haifa,M. Ahi Nazareth,4:1,3,1,13,Top,Bottom,Bottom vs Top,4,1,Top won (expected)
2009/10,10,Hapoel Tel Aviv,H. Petah Tikva,7:1,6,2,12,Top,Bottom,Bottom vs Top,7,1,Top won (expected)
2009/10,13,H. Petah Tikva,Maccabi Haifa,0:4,4,15,1,Bottom,Top,Bottom vs Top,0,4,Top won (expected)
2009/10,14,Hapoel Tel Aviv,Hapoel Raanana,5:0,5,2,13,Top,Bottom,Bottom vs Top,5,0,Top won (expected)
2009/10,15,H. Ramat Gan,Hapoel Tel Aviv,0:3,3,11,2,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2009/10,17,Maccabi Haifa,Hapoel Raanana,3:0,3,1,13,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2009/10,18,H. Ramat Gan,Maccabi Haifa,0:5,5,12,1,Bottom,Top,Bottom vs Top,0,5,Top won (expected)
2009/10,22,H. Ramat Gan,M. Tel Aviv,1:4,3,12,3,Bottom,Top,Bottom vs Top,1,4,Top won (expected)
2009/10,22,Hapoel Tel Aviv,M. Ahi Nazareth,4:0,4,2,15,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2009/10,24,Hapoel Raanana,Bnei Yehuda,0:3,3,15,4,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2009/10,25,M. Ahi Nazareth,Maccabi Haifa,0:5,5,15,1,Bottom,Top,Bottom vs Top,0,5,Top won (expected)
2009/10,28,Maccabi Haifa,H. Petah Tikva,3:0,3,1,13,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2009/10,29,Hapoel Raanana,Hapoel Tel Aviv,1:4,3,16,2,Bottom,Top,Bottom vs Top,1,4,Top won (expected)
2010/11,1,Maccabi Netanya,B. Jerusalem,4:1,3,1,16,Top,Bottom,Bottom vs Top,4,1,Top won (expected)
2010/11,2,Hapoel Tel Aviv,H. Ashkelon,5:1,4,11,2,Bottom,Top,Bottom vs Top,5,1,Bottom won (upset!)
2010/11,12,H. Ashkelon,Maccabi Haifa,0:3,3,12,3,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2010/11,13,H. Petah Tikva,Hapoel Tel Aviv,1:5,4,14,3,Bottom,Top,Bottom vs Top,1,5,Top won (expected)
2010/11,15,Hapoel Tel Aviv,H. Ramat Gan,4:0,4,2,16,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2010/11,20,H. Ramat Gan,Kiryat Shmona,0:3,3,16,4,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2010/11,22,H. Ramat Gan,M. Tel Aviv,0:3,3,16,3,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2010/11,27,Maccabi Haifa,H. Ashkelon,3:0,3,1,15,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
