season,round,home,away,score,goal_diff,home_position,away_position,home_tier,away_tier,match_type,home_goals,away_goals,winner_category
2006/07,5,FC Ashdod,H. Kfar Saba,3:0,3,6,3,Middle,Top,Middle vs Top,3,0,Middle won (upset!)
2006/07,6,H. Kfar Saba,M. Petah Tikva,3:0,3,7,1,Middle,Top,Middle vs Top,3,0,Middle won (upset!)
2006/07,6,B. Jerusalem,Maccabi Herzlya,3:0,3,2,10,Top,Middle,Middle vs Top,3,0,Top won (expected)
2006/07,19,Maccabi Haifa,B. Jerusalem,0:3,3,7,1,Middle,Top,Middle vs Top,0,3,Top won (expected)
2006/07,24,B. Jerusalem,Maccabi Haifa,4:1,3,1,7,Top,Middle,Middle vs Top,4,1,Top won (expected)
2006/07,25,Maccabi Haifa,Hapoel Tel Aviv,4:0,4,7,2,Middle,Top,Middle vs Top,4,0,Middle won (upset!)
2006/07,29,Maccabi Herzlya,Hapoel Tel Aviv,4:1,3,10,3,Middle,Top,Middle vs Top,4,1,Middle won (upset!)
2006/07,30,M. Tel Aviv,Maccabi Herzlya,3:0,3,2,10,Top,Middle,Middle vs Top,3,0,Top won (expected)
2006/07,30,Maccabi Netanya,Bnei Yehuda,3:0,3,4,9,Top,Middle,Middle vs Top,3,0,Top won (expected)
2007/08,5,Bnei Yehuda,Bnei Sakhnin,3:0,3,7,3,Middle,Top,Middle vs Top,3,0,Middle won (upset!)
2007/08,5,B. Jerusalem,FC Ashdod,5:0,5,1,8,Top,Middle,Middle vs Top,5,0,Top won (expected)
2007/08,9,Bnei Sakhnin,FC Ashdod,3:0,3,4,8,Top,Middle,Middle vs Top,3,0,Top won (expected)
2007/08,11,B. Jerusalem,H. Kfar Saba,4:0,4,1,6,Top,Middle,Middle vs Top,4,0,Top won (expected)
2007/08,12,Bnei Yehuda,B. Jerusalem,0:3,3,10,1,Middle,Top,Middle vs Top,0,3,Top won (expected)
2007/08,15,Maccabi Netanya,FC Ashdod,3:0,3,2,10,Top,Middle,Middle vs Top,3,0,Top won (expected)
2007/08,16,H. Kfar Saba,Maccabi Haifa,0:3,3,7,3,Middle,Top,Middle vs Top,0,3,Top won (expected)
2007/08,18,Bnei Sakhnin,Maccabi Herzlya,0:3,3,4,8,Top,Middle,Middle vs Top,0,3,Middle won (upset!)
2007/08,24,B. Jerusalem,M. Petah Tikva,4:0,4,1,6,Top,Middle,Middle vs Top,4,0,Top won (expected)
2007/08,25,H. Kfar Saba,B. Jerusalem,0:4,4,7,1,Middle,Top,Middle vs Top,0,4,Top won (expected)
2007/08,27,M. Petah Tikva,Bnei Sakhnin,0:4,4,8,4,Middle,Top,Middle vs Top,0,4,Top won (expected)
2007/08,28,Maccabi Netanya,Hapoel Tel Aviv,3:0,3,2,7,Top,Middle,Middle vs Top,3,0,Top won (expected)
2008/09,11,H. Petah Tikva,Maccabi Haifa,1:4,3,5,1,Middle,Top,Middle vs Top,1,4,Top won (expected)
2008/09,11,Kiryat Shmona,Maccabi Netanya,0:3,3,9,2,Middle,Top,Middle vs Top,0,3,Top won (expected)
2008/09,14,FC Ashdod,H. Petah Tikva,4:1,3,6,4,Middle,Top,Middle vs Top,4,1,Middle won (upset!)
2008/09,18,Bnei Yehuda,Hapoel Tel Aviv,3:0,3,6,2,Middle,Top,Middle vs Top,3,0,Middle won (upset!)
2008/09,25,FC Ashdod,Maccabi Haifa,0:3,3,6,1,Middle,Top,Middle vs Top,0,3,Top won (expected)
2008/09,32,B. Jerusalem,Bnei Sakhnin,3:0,3,3,10,Top,Middle,Middle vs Top,3,0,Top won (expected)
2009/10,5,Bnei Sakhnin,Hapoel Haifa,0:3,3,10,3,Middle,Top,Middle vs Top,0,3,Top won (expected)
2009/10,16,Hapoel Acre,Maccabi Haifa,0:3,3,10,1,Middle,Top,Middle vs Top,0,3,Top won (expected)
2009/10,18,Hapoel Tel Aviv,H. Beer Sheva,4:1,3,2,7,Top,Middle,Middle vs Top,4,1,Top won (expected)
2009/10,21,Maccabi Haifa,H. Beer Sheva,4:1,3,1,8,Top,Middle,Middle vs Top,4,1,Top won (expected)
2009/10,21,FC Ashdod,Hapoel Tel Aviv,0:4,4,5,2,Middle,Top,Middle vs Top,0,4,Top won (expected)
2009/10,22,B. Jerusalem,Maccabi Haifa,0:3,3,5,1,Middle,Top,Middle vs Top,0,3,Top won (expected)
2009/10,22,Hapoel Haifa,Bnei Yehuda,0:3,3,10,4,Middle,Top,Middle vs Top,0,3,Top won (expected)
2010/11,8,Hapoel Acre,Kiryat Shmona,3:0,3,9,1,Middle,Top,Middle vs Top,3,0,Middle won (upset!)
2010/11,10,Kiryat Shmona,Maccabi Netanya,3:0,3,3,6,Top,Middle,Middle vs Top,3,0,Top won (expected)
2010/11,15,Maccabi Haifa,Maccabi Netanya,3:0,3,1,9,Top,Middle,Middle vs Top,3,0,Top won (expected)
2010/11,16,Hapoel Tel Aviv,Hapoel Haifa,5:0,5,2,7,Top,Middle,Middle vs Top,5,0,Top won (expected)
2010/11,17,Kiryat Shmona,FC Ashdod,3:0,3,4,7,Top,Middle,Middle vs Top,3,0,Top won (expected)
2010/11,18,Hapoel Tel Aviv,Hapoel Acre,4:1,3,2,5,Top,Middle,Middle vs Top,4,1,Top won (expected)
2010/11,19,M. Tel Aviv,FC Ashdod,4:1,3,3,7,Top,Middle,Middle vs Top,4,1,Top won (expected)
2010/11,23,H. Beer Sheva,Hapoel Tel Aviv,0:3,3,9,2,Middle,Top,Middle vs Top,0,3,Top won (expected)
2010/11,27,M. Tel Aviv,Maccabi Netanya,0:3,3,3,9,Top,Middle,Middle vs Top,0,3,Middle won (upset!)
2011/12,7,Bnei Sakhnin,M. Petah Tikva,3:0,3,8,3,Middle,Top,Middle vs Top,3,0,Middle won (upset!)
2011/12,16,Bnei Yehuda,Hapoel Acre,4:1,3,10,4,Middle,Top,Middle vs Top,4,1,Middle won (upset!)
2011/12,22,Hapoel Tel Aviv,Maccabi Netanya,7:3,4,3,8,Top,Middle,Middle vs Top,7,3,Top won (expected)
2011/12,22,Kiryat Shmona,Ramat haSharon,4:0,4,1,6,Top,Middle,Middle vs Top,4,0,Top won (expected)
2012/13,5,FC Ashdod,Maccabi Netanya,3:0,3,2,7,Top,Middle,Middle vs Top,3,0,Top won (expected)
2012/13,11,Hapoel Tel Aviv,H. Beer Sheva,4:1,3,3,7,Top,Middle,Middle vs Top,4,1,Top won (expected)
2012/13,17,FC Ashdod,Maccabi Haifa,1:4,3,3,6,Top,Middle,Middle vs Top,1,4,Middle won (upset!)
2012/13,18,Bnei Sakhnin,Hapoel Tel Aviv,0:3,3,10,2,Middle,Top,Middle vs Top,0,3,Top won (expected)
2012/13,18,M. Tel Aviv,H. Beer Sheva,5:0,5,1,9,Top,Middle,Middle vs Top,5,0,Top won (expected)
2012/13,21,Hapoel Tel Aviv,Maccabi Netanya,0:3,3,3,10,Top,Middle,Middle vs Top,0,3,Middle won (upset!)
2012/13,24,Maccabi Haifa,B. Jerusalem,4:1,3,2,7,Top,Middle,Middle vs Top,4,1,Top won (expected)
