season,draws,total_matches,draw_pct
2006/07,61,198,30.81
2007/08,48,198,24.24
2008/09,62,198,31.31
2009/10,69,240,28.75
2010/11,64,240,26.67
2011/12,67,240,27.92
2012/13,50,182,27.47
2013/14,46,182,25.27
2014/15,52,182,28.57
2015/16,48,182,26.37
2016/17,57,182,31.32
2017/18,45,182,24.73
2018/19,61,182,33.52
2019/20,44,182,24.18
2020/21,45,182,24.73
2021/22,47,182,25.82
2022/23,56,182,30.77
2023/24,48,182,26.37
2024/25,45,182,24.73
2025/26,19,74,25.68
