season,season_year,round,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2010/11,2010,35,championship,Bnei Yehuda,Maccabi Haifa,1,1,0,D,1,1
2010/11,2010,32,championship,Bnei Yehuda,Maccabi Tel Aviv,1,3,-2,A,0,3
2010/11,2010,31,championship,Hapoel Tel Aviv,Bnei Yehuda,2,1,1,H,3,0
2010/11,2010,33,championship,Hapoel Tel Aviv,Maccabi Netanya,2,2,0,D,1,1
2010/11,2010,34,championship,Hapoel Tel Aviv,Maccabi Tel Aviv,2,2,0,D,1,1
2010/11,2010,33,championship,Ironi Kiryat Shmona,Bnei Yehuda,1,2,-1,A,0,3
2010/11,2010,35,championship,Ironi Kiryat Shmona,Hapoel Tel Aviv,2,1,1,H,3,0
2010/11,2010,32,championship,Maccabi Haifa,Hapoel Tel Aviv,2,0,2,H,3,0
2010/11,2010,34,championship,Maccabi Haifa,Ironi Kiryat Shmona,2,0,2,H,3,0
2010/11,2010,31,championship,Maccabi Haifa,Maccabi Netanya,1,2,-1,A,0,3
2010/11,2010,34,championship,Maccabi Netanya,Bnei Yehuda,0,4,-4,A,0,3
2010/11,2010,32,championship,Maccabi Netanya,Ironi Kiryat Shmona,3,3,0,D,1,1
2010/11,2010,31,championship,Maccabi Tel Aviv,Ironi Kiryat Shmona,3,1,2,H,3,0
2010/11,2010,33,championship,Maccabi Tel Aviv,Maccabi Haifa,0,2,-2,A,0,3
2010/11,2010,35,championship,Maccabi Tel Aviv,Maccabi Netanya,4,1,3,H,3,0
