season,season_year,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2011/12,2011,relegation,Beitar Jerusalem,Hapoel Acre,1,0,1,H,3,0
2011/12,2011,relegation,Beitar Jerusalem,Hapoel Haifa,0,0,0,D,1,1
2011/12,2011,relegation,Beitar Jerusalem,Hapoel Petah Tikva,2,0,2,H,3,0
2011/12,2011,relegation,Beitar Jerusalem,Maccabi Petah Tikva,3,1,2,H,3,0
2011/12,2011,relegation,Hapoel Acre,Hapoel Haifa,0,0,0,D,1,1
2011/12,2011,relegation,Hapoel Acre,Hapoel Petah Tikva,2,3,-1,A,0,3
2011/12,2011,relegation,Hapoel Acre,Ironi Ramat HaSharon,2,0,2,H,3,0
2011/12,2011,relegation,Hapoel Acre,Maccabi Petah Tikva,1,2,-1,A,0,3
2011/12,2011,relegation,Hapoel Be'er Sheva,Beitar Jerusalem,3,1,2,H,3,0
2011/12,2011,relegation,Hapoel Be'er Sheva,Hapoel Acre,1,3,-2,A,0,3
2011/12,2011,relegation,Hapoel Be'er Sheva,Maccabi Petah Tikva,1,0,1,H,3,0
2011/12,2011,relegation,Hapoel Haifa,Hapoel Be'er Sheva,2,1,1,H,3,0
2011/12,2011,relegation,Hapoel Haifa,Hapoel Petah Tikva,2,1,1,H,3,0
2011/12,2011,relegation,Hapoel Haifa,Rishon LeZion,2,0,2,H,3,0
2011/12,2011,relegation,Hapoel Haifa,Ironi Ramat HaSharon,1,1,0,D,1,1
2011/12,2011,relegation,Hapoel Petah Tikva,Hapoel Be'er Sheva,1,1,0,D,1,1
2011/12,2011,relegation,Hapoel Petah Tikva,Rishon LeZion,2,0,2,H,3,0
2011/12,2011,relegation,Hapoel Petah Tikva,Maccabi Petah Tikva,0,1,-1,A,0,3
2011/12,2011,relegation,Rishon LeZion,Beitar Jerusalem,1,2,-1,A,0,3
2011/12,2011,relegation,Rishon LeZion,Hapoel Acre,1,2,-1,A,0,3
2011/12,2011,relegation,Rishon LeZion,Hapoel Be'er Sheva,0,1,-1,A,0,3
2011/12,2011,relegation,Ironi Ramat HaSharon,Beitar Jerusalem,0,1,-1,A,0,3
2011/12,2011,relegation,Ironi Ramat HaSharon,Hapoel Be'er Sheva,0,0,0,D,1,1
2011/12,2011,relegation,Ironi Ramat HaSharon,Hapoel Petah Tikva,2,1,1,H,3,0
2011/12,2011,relegation,Ironi Ramat HaSharon,Rishon LeZion,5,2,3,H,3,0
2011/12,2011,relegation,Maccabi Petah Tikva,Hapoel Haifa,2,1,1,H,3,0
2011/12,2011,relegation,Maccabi Petah Tikva,Rishon LeZion,2,1,1,H,3,0
2011/12,2011,relegation,Maccabi Petah Tikva,Ironi Ramat HaSharon,0,0,0,D,1,1
