season,team,stadium,capacity,total_spectators,average_attendance
2020/21,Maccabi Tel Aviv,Unknown,29150,5000,5000
2020/21,Maccabi Haifa,Unknown,30780,5000,5000
2020/21,Hapoel Beer Sheva,Unknown,16126,4000,4000
2020/21,Hapoel Tel Aviv,Unknown,29150,1500,1500
2020/21,Maccabi Petah Tikva,Unknown,11500,1500,1500
2020/21,Beitar Jerusalem,Unknown,33500,1500,1500
2020/21,Bnei Yehuda Tel Aviv,Unknown,6020,1350,1350
2020/21,Ihud Bnei Sakhnin,Unknown,8500,1000,1000
2020/21,Maccabi Netanya,Unknown,13610,950,950
2020/21,FC Ashdod,Unknown,8200,940,940
2020/21,Hapoel Haifa,Unknown,30820,800,800
2020/21,Ironi Kiryat Shmona,Unknown,13800,500,500
2020/21,Hapoel Hadera,Unknown,3000,450,450
2020/21,Hapoel Kfar Saba,Unknown,5800,300,300
