season,team,stadium,capacity,total_spectators,average_attendance
2011/12,Maccabi Tel Aviv,Unknown,29150,130500,8700
2011/12,Hapoel Tel Aviv,Unknown,29150,127200,8480
2011/12,Maccabi Haifa,Unknown,30780,124500,8893
2011/12,Beitar Jerusalem,Unknown,33500,85200,6086
2011/12,Hapoel Beer Sheva,Unknown,16126,49500,3536
2011/12,Hapoel Haifa,Unknown,30820,49200,3280
2011/12,Ihud Bnei Sakhnin,Unknown,8500,48450,3461
2011/12,Ironi Kiryat Shmona,Unknown,13800,42400,2827
2011/12,Bnei Yehuda Tel Aviv,Unknown,6020,41800,2787
2011/12,Hapoel Petah Tikva,Unknown,11500,41300,2753
2011/12,FC Ashdod,Unknown,8200,37950,2530
2011/12,Hapoel Acre,Unknown,5000,34500,2300
2011/12,Maccabi Netanya,Unknown,13610,28950,1930
2011/12,Maccabi Petah Tikva,Unknown,11500,28180,1879
2011/12,Hapoel Rishon leZion,Unknown,6000,26300,1753
2011/12,Hapoel Ramat haSharon,Unknown,4300,15850,1057
