season,team,stadium,capacity,total_spectators,average_attendance
2008/09,Maccabi Tel Aviv,Unknown,29150,0,0
2008/09,Hapoel Petah Tikva,Unknown,11500,0,0
2008/09,Hapoel Tel Aviv,Unknown,29150,0,0
2008/09,Maccabi Haifa,Unknown,30780,0,0
2008/09,Maccabi Petah Tikva,Unknown,11500,0,0
2008/09,Beitar Jerusalem,Unknown,33500,0,0
2008/09,Ihud Bnei Sakhnin,Unknown,8500,0,0
2008/09,Maccabi Netanya,Unknown,13610,0,0
2008/09,Ironi Kiryat Shmona,Unknown,13800,0,0
2008/09,FC Ashdod,Unknown,8200,0,0
2008/09,Bnei Yehuda Tel Aviv,Unknown,6020,0,0
2008/09,Hakoah Amidar Ramat Gan,Unknown,8000,0,0
