season,season_year,player_name,position,nationality,club,market_value_millions
2006/07,2006,,Unknown,Nigeria,Maccabi Petah Tikva,0.0
2006/07,2006,,Unknown,Cameroon,Maccabi Petah Tikva,0.0
2006/07,2006,,Unknown,Russia,Maccabi Petah Tikva,0.0
2007/08,2007,,Unknown,Georgia,Maccabi Petah Tikva,0.0
2007/08,2007,,Unknown,Switzerland,Maccabi Petah Tikva,0.0
2007/08,2007,,Unknown,Russia,Maccabi Petah Tikva,0.0
2008/09,2008,,Unknown,France,Maccabi Petah Tikva,0.0
2008/09,2008,,Unknown,Slovenia,Maccabi Petah Tikva,0.0
2008/09,2008,,Unknown,Russia,Maccabi Petah Tikva,0.0
2008/09,2008,,Unknown,North Macedonia,Maccabi Petah Tikva,0.0
2009/10,2009,,Unknown,Russia,Maccabi Petah Tikva,0.0
2009/10,2009,,Unknown,North Macedonia,Maccabi Petah Tikva,0.0
2010/11,2010,,Unknown,France,Maccabi Petah Tikva,0.0
2010/11,2010,,Unknown,Russia,Maccabi Petah Tikva,0.0
2013/14,2013,,Unknown,Argentina,Maccabi Petah Tikva,0.0
2013/14,2013,,Unknown,Croatia,Maccabi Petah Tikva,0.0
2013/14,2013,,Unknown,Finland,Maccabi Petah Tikva,0.0
2013/14,2013,,Unknown,Cote d'Ivoire,Maccabi Petah Tikva,0.0
2014/15,2014,,Unknown,Bulgaria,Maccabi Petah Tikva,0.0
2014/15,2014,,Unknown,United States,Maccabi Petah Tikva,0.0
2014/15,2014,,Unknown,Belgium,Maccabi Petah Tikva,0.0
2015/16,2015,,Unknown,Belgium,Maccabi Petah Tikva,0.0
2015/16,2015,,Unknown,Sweden,Maccabi Petah Tikva,0.0
2015/16,2015,,Unknown,France,Maccabi Petah Tikva,0.0
2016/17,2016,,Unknown,Romania,Maccabi Petah Tikva,0.0
2017/18,2017,,Unknown,Czech Republic,Maccabi Petah Tikva,0.0
2018/19,2018,,Unknown,Czech Republic,Maccabi Petah Tikva,0.0
2018/19,2018,,Unknown,DR Congo,Maccabi Petah Tikva,0.0
2018/19,2018,,Unknown,Senegal,Maccabi Petah Tikva,0.0
2018/19,2018,,Unknown,Panama,Maccabi Petah Tikva,0.0
2018/19,2018,,Unknown,Central African Republic,Maccabi Petah Tikva,0.0
2020/21,2020,,Unknown,Bosnia-Herzegovina,Maccabi Petah Tikva,0.0
2020/21,2020,,Unknown,Ukraine,Maccabi Petah Tikva,0.0
2021/22,2021,,Unknown,Nigeria,Maccabi Petah Tikva,0.0
2021/22,2021,,Unknown,Slovakia,Maccabi Petah Tikva,0.0
2021/22,2021,,Unknown,Zambia,Maccabi Petah Tikva,0.0
2021/22,2021,,Unknown,Moldova,Maccabi Petah Tikva,0.0
2021/22,2021,,Unknown,Bosnia-Herzegovina,Maccabi Petah Tikva,0.0
2023/24,2023,,Unknown,Mali,Maccabi Petah Tikva,0.0
2023/24,2023,,Unknown,Italy,Maccabi Petah Tikva,0.0
2024/25,2024,,Unknown,Argentina,Maccabi Petah Tikva,0.0
2024/25,2024,,Unknown,South Africa,Maccabi Petah Tikva,0.0
2024/25,2024,,Unknown,Slovenia,Maccabi Petah Tikva,0.0
2024/25,2024,,Unknown,Moldova,Maccabi Petah Tikva,0.0
2024/25,2024,,Unknown,Bosnia-Herzegovina,Maccabi Petah Tikva,0.0
