season,season_year,player_name,position,nationality,club,market_value_millions
2022/23,2022,,Unknown,Ghana,Maccabi Bnei Reineh,0.0
2022/23,2022,,Unknown,Ukraine,Maccabi Bnei Reineh,0.0
2022/23,2022,,Unknown,Hungary,Maccabi Bnei Reineh,0.0
2022/23,2022,,Unknown,Guinea-Bissau,Maccabi Bnei Reineh,0.0
2022/23,2022,,Unknown,Austria,Maccabi Bnei Reineh,0.0
2022/23,2022,,Unknown,Madagascar,Maccabi Bnei Reineh,0.0
2023/24,2023,,Unknown,Palestine,Maccabi Bnei Reineh,0.0
2023/24,2023,,Unknown,Guinea-Bissau,Maccabi Bnei Reineh,0.0
2023/24,2023,,Unknown,Serbia,Maccabi Bnei Reineh,0.0
2023/24,2023,,Unknown,Hungary,Maccabi Bnei Reineh,0.0
2023/24,2023,,Unknown,Venezuela,Maccabi Bnei Reineh,0.0
2023/24,2023,,Unknown,Bolivia,Maccabi Bnei Reineh,0.0
2024/25,2024,,Unknown,Congo,Maccabi Bnei Reineh,0.0
2024/25,2024,,Unknown,Guinea-Bissau,Maccabi Bnei Reineh,0.0
2024/25,2024,,Unknown,Palestine,Maccabi Bnei Reineh,0.0
2024/25,2024,,Unknown,Croatia,Maccabi Bnei Reineh,0.0
2025/26,2025,,Unknown,Guinea-Bissau,Maccabi Bnei Reineh,0.45
2025/26,2025,,Unknown,Palestine,Maccabi Bnei Reineh,0.25
2025/26,2025,,Unknown,Romania,Maccabi Bnei Reineh,0.5
