season,season_year,week_start,weekly_matches,active_weekdays
2010/11,2010,2011-01-24,9,3
2010/11,2010,2011-01-31,8,2
2010/11,2010,2011-02-07,7,2
2010/11,2010,2011-02-14,8,3
2010/11,2010,2011-02-21,9,3
2010/11,2010,2011-02-28,7,2
2010/11,2010,2011-03-07,8,3
2010/11,2010,2011-03-14,8,3
2010/11,2010,2011-03-21,1,1
2010/11,2010,2011-03-28,7,2
2010/11,2010,2011-04-04,8,3
2010/11,2010,2011-04-11,9,3
2011/12,2011,2011-08-15,5,2
2011/12,2011,2011-08-22,8,3
2011/12,2011,2011-08-29,2,2
2011/12,2011,2011-09-05,7,2
2011/12,2011,2011-09-12,10,4
2011/12,2011,2011-09-19,14,3
2011/12,2011,2011-09-26,8,3
2011/12,2011,2011-10-03,2,1
2011/12,2011,2011-10-10,7,2
2011/12,2011,2011-10-17,8,3
2011/12,2011,2011-10-24,8,3
2011/12,2011,2011-10-31,8,3
2011/12,2011,2011-11-07,1,1
2011/12,2011,2011-11-14,7,2
2011/12,2011,2011-11-21,8,3
2011/12,2011,2011-11-28,8,3
2011/12,2011,2011-12-05,8,3
2011/12,2011,2011-12-12,8,3
2011/12,2011,2011-12-19,9,3
2011/12,2011,2011-12-26,15,4
2011/12,2011,2012-01-02,8,3
2011/12,2011,2012-01-09,8,3
2011/12,2011,2012-01-16,8,3
2011/12,2011,2012-01-23,8,3
2011/12,2011,2012-01-30,9,3
2011/12,2011,2012-02-06,7,2
2011/12,2011,2012-02-13,8,3
2011/12,2011,2012-02-20,8,3
2011/12,2011,2012-02-27,8,3
2011/12,2011,2012-03-05,8,3
2011/12,2011,2012-03-12,8,3
2011/12,2011,2012-03-19,1,1
2012/13,2012,2012-08-20,6,2
2012/13,2012,2012-08-27,7,3
2012/13,2012,2012-09-03,1,1
2012/13,2012,2012-09-10,7,2
2012/13,2012,2012-09-17,6,2
2012/13,2012,2012-09-24,7,2
2012/13,2012,2012-10-01,6,2
2012/13,2012,2012-10-15,6,2
2012/13,2012,2012-10-22,1,1
2012/13,2012,2012-10-29,8,3
2012/13,2012,2012-11-05,8,3
2012/13,2012,2012-11-12,4,2
2012/13,2012,2012-11-19,6,3
2012/13,2012,2012-11-26,8,3
2012/13,2012,2012-12-03,7,4
2012/13,2012,2012-12-10,9,4
2012/13,2012,2012-12-17,7,3
2012/13,2012,2012-12-24,7,3
2012/13,2012,2012-12-31,7,3
2012/13,2012,2013-01-07,7,3
2012/13,2012,2013-01-14,7,3
2012/13,2012,2013-01-21,8,3
2012/13,2012,2013-01-28,7,2
2012/13,2012,2013-02-04,6,2
2012/13,2012,2013-02-11,7,3
2012/13,2012,2013-02-18,8,3
2012/13,2012,2013-02-25,6,2
2012/13,2012,2013-03-04,7,3
2012/13,2012,2013-03-11,1,1
2013/14,2013,2013-08-19,7,2
2013/14,2013,2013-08-26,7,2
2013/14,2013,2013-09-16,6,2
2013/14,2013,2013-09-23,7,3
2013/14,2013,2013-09-30,8,3
2013/14,2013,2013-10-14,6,2
2013/14,2013,2013-10-21,7,3
2013/14,2013,2013-10-28,7,3
2013/14,2013,2013-11-04,6,2
2013/14,2013,2013-11-11,2,1
2013/14,2013,2013-11-18,6,2
2013/14,2013,2013-11-25,6,2
2013/14,2013,2013-12-02,8,3
2013/14,2013,2013-12-09,4,2
2013/14,2013,2013-12-16,10,4
2013/14,2013,2013-12-23,7,3
2013/14,2013,2013-12-30,7,3
2013/14,2013,2014-01-06,7,3
2013/14,2013,2014-01-13,7,3
2013/14,2013,2014-01-20,8,3
