day_of_week_en,matches,day_of_week_he,share_pct,rank_by_volume
Monday,451,יום שני,12.01385189131593,3
Tuesday,90,יום שלישי,2.397442727757059,5
Wednesday,115,יום רביעי,3.063399041022909,4
Thursday,28,יום חמישי,0.7458710708577517,6
Friday,7,יום שישי,0.18646776771443793,7
Saturday,2407,שבת,64.11827384123602,1
Sunday,656,יום ראשון,17.474693660095898,2
