day_of_week_en,matches,mean_total_goals,median_total_goals,mean_goal_diff_abs,draw_rate_pct,home_win_rate_pct,mean_home_attendance_proxy,mean_capacity_utilization_proxy_pct,day_of_week_he,share_pct
Monday,451,2.5720620842572064,2.0,1.334811529933481,23.946784922394677,42.572062084257205,8005.776119402985,34.217879478093145,יום שני,12.01385189131593
Tuesday,90,2.422222222222222,2.0,1.4666666666666666,20.0,44.44444444444444,4862.9375,32.8567459938748,יום שלישי,2.397442727757059
Wednesday,115,2.634782608695652,2.0,1.3652173913043477,25.217391304347824,40.0,6097.375,33.36182919530847,יום רביעי,3.063399041022909
Thursday,28,2.4285714285714284,2.0,1.0714285714285714,28.57142857142857,50.0,5012.518518518518,25.24817038740915,יום חמישי,0.7458710708577517
Friday,7,2.142857142857143,2.0,1.0,57.14285714285714,28.57142857142857,5885.0,21.091312845709343,יום שישי,0.18646776771443793
Saturday,2407,2.4353967594515993,2.0,1.2488574989613628,28.541753219775657,39.71749065226423,4562.473544973545,30.62601805952542,שבת,64.11827384123602
Sunday,656,2.4466463414634148,2.0,1.3003048780487805,27.439024390243905,38.8719512195122,6222.239202657807,35.01769636459137,יום ראשון,17.474693660095898
