season,season_year,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2006/07,2006,5.555555555555555,0.0,0.5050505050505051,0.5050505050505051,1.0101010101010102,76.76767676767676,15.656565656565657
2007/08,2007,3.535353535353535,1.0101010101010102,0.0,0.0,0.5050505050505051,80.3030303030303,14.646464646464647
2008/09,2008,14.14141414141414,0.0,0.0,0.0,0.5050505050505051,79.7979797979798,5.555555555555555
2009/10,2009,9.166666666666666,0.4166666666666667,0.0,0.0,0.0,80.83333333333333,9.583333333333334
2010/11,2010,10.833333333333334,0.0,0.4166666666666667,0.0,0.0,75.83333333333333,12.916666666666668
2011/12,2011,11.25,1.25,6.25,0.0,0.0,66.66666666666666,14.583333333333334
2012/13,2012,13.186813186813188,0.5494505494505495,0.5494505494505495,0.5494505494505495,0.0,69.78021978021978,15.384615384615385
2013/14,2013,13.736263736263737,1.098901098901099,0.0,0.0,0.0,70.87912087912088,14.285714285714285
2014/15,2014,14.285714285714285,3.296703296703297,2.7472527472527473,2.197802197802198,0.0,63.73626373626373,13.736263736263737
2015/16,2015,13.736263736263737,0.0,0.0,0.0,0.0,71.42857142857143,14.835164835164836
2016/17,2016,13.736263736263737,1.6483516483516485,2.197802197802198,0.5494505494505495,0.0,56.59340659340659,25.274725274725274
2017/18,2017,15.934065934065933,1.6483516483516485,0.5494505494505495,0.0,0.0,52.74725274725275,29.120879120879124
2018/19,2018,15.934065934065933,3.8461538461538463,3.296703296703297,0.5494505494505495,0.0,53.84615384615385,22.52747252747253
2019/20,2019,13.186813186813188,5.4945054945054945,7.6923076923076925,0.0,0.0,48.9010989010989,24.725274725274726
2020/21,2020,14.285714285714285,7.6923076923076925,12.637362637362637,8.241758241758241,0.0,37.362637362637365,19.78021978021978
2021/22,2021,12.087912087912088,3.8461538461538463,3.296703296703297,0.5494505494505495,0.0,51.64835164835166,28.57142857142857
2022/23,2022,14.835164835164836,2.197802197802198,3.8461538461538463,0.0,0.0,60.43956043956044,18.681318681318682
2023/24,2023,8.791208791208792,10.43956043956044,13.186813186813188,0.5494505494505495,0.0,46.15384615384615,20.87912087912088
2024/25,2024,13.736263736263737,3.8461538461538463,3.8461538461538463,1.6483516483516485,1.6483516483516485,57.692307692307686,17.582417582417584
2025/26,2025,9.45945945945946,1.3513513513513513,0.0,0.0,0.0,71.62162162162163,17.56756756756757
