home,day_of_week_en,home_matches,share_within_home_club_pct,day_of_week_he
H. Beer Sheva,Saturday,110,50.2283105022831,שבת
H. Beer Sheva,Sunday,44,20.091324200913242,יום ראשון
H. Jerusalem,Monday,2,3.508771929824561,יום שני
H. Jerusalem,Tuesday,4,7.017543859649122,יום שלישי
H. Jerusalem,Wednesday,3,5.263157894736842,יום רביעי
H. Jerusalem,Friday,1,1.7543859649122806,יום שישי
H. Jerusalem,Saturday,36,63.1578947368421,שבת
H. Jerusalem,Sunday,11,19.298245614035086,יום ראשון
H. Kfar Saba,Monday,6,7.142857142857142,יום שני
H. Kfar Saba,Tuesday,3,3.571428571428571,יום שלישי
H. Kfar Saba,Wednesday,3,3.571428571428571,יום רביעי
H. Kfar Saba,Thursday,2,2.380952380952381,יום חמישי
H. Kfar Saba,Saturday,59,70.23809523809523,שבת
H. Kfar Saba,Sunday,11,13.095238095238097,יום ראשון
H. Nof HaGalil,Monday,3,23.076923076923077,יום שני
H. Nof HaGalil,Saturday,8,61.53846153846154,שבת
H. Nof HaGalil,Sunday,2,15.384615384615385,יום ראשון
H. Petah Tikva,Monday,4,3.669724770642202,יום שני
H. Petah Tikva,Tuesday,2,1.834862385321101,יום שלישי
H. Petah Tikva,Wednesday,2,1.834862385321101,יום רביעי
H. Petah Tikva,Thursday,1,0.9174311926605505,יום חמישי
H. Petah Tikva,Saturday,89,81.65137614678899,שבת
H. Petah Tikva,Sunday,11,10.091743119266056,יום ראשון
H. Ramat Gan,Saturday,38,88.37209302325581,שבת
H. Ramat Gan,Sunday,5,11.627906976744185,יום ראשון
Hakoah Amidar,Monday,1,3.125,יום שני
Hakoah Amidar,Friday,1,3.125,יום שישי
Hakoah Amidar,Saturday,28,87.5,שבת
Hakoah Amidar,Sunday,2,6.25,יום ראשון
Hapoel Acre,Monday,5,4.545454545454546,יום שני
Hapoel Acre,Tuesday,1,0.9090909090909091,יום שלישי
Hapoel Acre,Saturday,92,83.63636363636363,שבת
