season,season_year,football_window_bucket,matches,total_matches,share_pct
2006/07,2006,football_weekend,185,198,93.43434343434343
2006/07,2006,midweek,13,198,6.565656565656567
2007/08,2007,football_weekend,189,198,95.45454545454545
2007/08,2007,midweek,9,198,4.545454545454546
2008/09,2008,football_weekend,170,198,85.85858585858585
2008/09,2008,midweek,28,198,14.14141414141414
2009/10,2009,football_weekend,217,240,90.41666666666667
2009/10,2009,midweek,23,240,9.583333333333334
2010/11,2010,football_weekend,213,240,88.75
2010/11,2010,midweek,27,240,11.25
2011/12,2011,football_weekend,195,240,81.25
2011/12,2011,midweek,45,240,18.75
2012/13,2012,football_weekend,155,182,85.16483516483517
2012/13,2012,midweek,27,182,14.835164835164836
2013/14,2013,football_weekend,155,182,85.16483516483517
2013/14,2013,midweek,27,182,14.835164835164836
2014/15,2014,football_weekend,141,182,77.47252747252747
2014/15,2014,midweek,41,182,22.52747252747253
2015/16,2015,football_weekend,157,182,86.26373626373626
2015/16,2015,midweek,25,182,13.736263736263737
2016/17,2016,football_weekend,149,182,81.86813186813187
2016/17,2016,midweek,33,182,18.13186813186813
2017/18,2017,football_weekend,149,182,81.86813186813187
2017/18,2017,midweek,33,182,18.13186813186813
2018/19,2018,football_weekend,139,182,76.37362637362637
2018/19,2018,midweek,43,182,23.626373626373624
2019/20,2019,football_weekend,134,182,73.62637362637363
2019/20,2019,midweek,48,182,26.373626373626376
2020/21,2020,football_weekend,104,182,57.14285714285714
2020/21,2020,midweek,78,182,42.857142857142854
2021/22,2021,football_weekend,146,182,80.21978021978022
2021/22,2021,midweek,36,182,19.78021978021978
2022/23,2022,football_weekend,144,182,79.12087912087912
2022/23,2022,midweek,38,182,20.87912087912088
2023/24,2023,football_weekend,122,182,67.03296703296702
2023/24,2023,midweek,60,182,32.967032967032964
2024/25,2024,football_weekend,140,182,76.92307692307693
2024/25,2024,midweek,42,182,23.076923076923077
2025/26,2025,football_weekend,66,74,89.1891891891892
2025/26,2025,midweek,8,74,10.81081081081081
