season,season_year,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2006/07,2006,11.0,0.0,1.0,1.0,2.0,152.0,31.0
2007/08,2007,7.0,2.0,0.0,0.0,1.0,159.0,29.0
2008/09,2008,28.0,0.0,0.0,0.0,1.0,158.0,11.0
2009/10,2009,22.0,1.0,0.0,0.0,0.0,194.0,23.0
2010/11,2010,26.0,0.0,1.0,0.0,0.0,182.0,31.0
2011/12,2011,27.0,3.0,15.0,0.0,0.0,160.0,35.0
2012/13,2012,24.0,1.0,1.0,1.0,0.0,127.0,28.0
2013/14,2013,25.0,2.0,0.0,0.0,0.0,129.0,26.0
2014/15,2014,26.0,6.0,5.0,4.0,0.0,116.0,25.0
2015/16,2015,25.0,0.0,0.0,0.0,0.0,130.0,27.0
2016/17,2016,25.0,3.0,4.0,1.0,0.0,103.0,46.0
2017/18,2017,29.0,3.0,1.0,0.0,0.0,96.0,53.0
2018/19,2018,29.0,7.0,6.0,1.0,0.0,98.0,41.0
2019/20,2019,24.0,10.0,14.0,0.0,0.0,89.0,45.0
2020/21,2020,26.0,14.0,23.0,15.0,0.0,68.0,36.0
2021/22,2021,22.0,7.0,6.0,1.0,0.0,94.0,52.0
2022/23,2022,27.0,4.0,7.0,0.0,0.0,110.0,34.0
2023/24,2023,16.0,19.0,24.0,1.0,0.0,84.0,38.0
2024/25,2024,25.0,7.0,7.0,3.0,3.0,105.0,32.0
2025/26,2025,7.0,1.0,0.0,0.0,0.0,53.0,13.0
