season,season_year,round_verified,round_matches,round_days,first_date,last_date,round_span_days,round_weekend_share_pct
2010/11,2010,8,8,3,2010-10-30,2010-11-01,2,75.0
2010/11,2010,9,8,3,2010-11-06,2010-11-08,2,75.0
2010/11,2010,10,8,3,2010-11-13,2010-11-15,2,75.0
2010/11,2010,11,8,3,2010-11-20,2010-11-22,2,75.0
2010/11,2010,12,8,3,2010-11-27,2010-11-29,2,75.0
2010/11,2010,13,8,3,2010-12-04,2010-12-06,2,62.5
2010/11,2010,14,8,3,2010-12-11,2010-12-15,4,75.0
2010/11,2010,15,8,3,2010-12-18,2010-12-20,2,75.0
2010/11,2010,16,8,3,2011-01-01,2011-01-03,2,75.0
2010/11,2010,17,8,3,2011-01-08,2011-01-10,2,75.0
2010/11,2010,18,8,3,2011-01-15,2011-01-17,2,75.0
2010/11,2010,19,8,3,2011-01-22,2011-01-24,2,75.0
2010/11,2010,20,8,2,2011-01-29,2011-01-30,1,87.5
2010/11,2010,21,8,2,2011-02-05,2011-02-06,1,87.5
2010/11,2010,22,8,3,2011-02-12,2011-02-14,2,75.0
2010/11,2010,23,8,3,2011-02-19,2011-02-21,2,75.0
2010/11,2010,24,8,2,2011-02-26,2011-02-27,1,87.5
2010/11,2010,25,8,3,2011-03-05,2011-03-07,2,75.0
2010/11,2010,26,8,3,2011-03-12,2011-03-14,2,75.0
2010/11,2010,27,8,3,2011-03-19,2011-03-21,2,62.5
2010/11,2010,28,8,3,2011-04-02,2011-04-04,2,75.0
2010/11,2010,29,8,3,2011-04-09,2011-04-11,2,75.0
2010/11,2010,30,8,2,2011-04-16,2011-04-17,1,75.0
2011/12,2011,1,8,5,2011-08-20,2011-09-13,24,50.0
2011/12,2011,2,8,3,2011-08-27,2011-08-29,2,62.5
2011/12,2011,3,8,3,2011-09-10,2011-09-12,2,75.0
2011/12,2011,4,8,2,2011-09-17,2011-09-18,1,62.5
2011/12,2011,5,8,1,2011-09-21,2011-09-21,0,0.0
2011/12,2011,6,8,3,2011-09-24,2011-09-26,2,62.5
2011/12,2011,7,8,3,2011-10-01,2011-10-03,2,62.5
2011/12,2011,8,8,3,2011-10-15,2011-10-17,2,75.0
2011/12,2011,9,8,3,2011-10-22,2011-10-24,2,50.0
2011/12,2011,10,8,3,2011-10-29,2011-10-31,2,75.0
2011/12,2011,11,8,3,2011-11-05,2011-11-07,2,62.5
2011/12,2011,12,8,3,2011-11-19,2011-11-21,2,75.0
2011/12,2011,13,8,3,2011-11-26,2011-11-28,2,75.0
2011/12,2011,14,8,3,2011-12-03,2011-12-05,2,75.0
2011/12,2011,15,8,3,2011-12-10,2011-12-12,2,75.0
2011/12,2011,16,8,3,2011-12-17,2011-12-19,2,75.0
2011/12,2011,17,8,2,2011-12-24,2011-12-25,1,75.0
2011/12,2011,18,8,2,2011-12-27,2011-12-28,1,0.0
2011/12,2011,19,8,3,2011-12-31,2012-01-02,2,75.0
2011/12,2011,20,8,3,2012-01-07,2012-01-09,2,75.0
2011/12,2011,21,8,3,2012-01-14,2012-01-16,2,75.0
2011/12,2011,22,8,3,2012-01-21,2012-01-23,2,75.0
2011/12,2011,23,8,3,2012-01-28,2012-01-30,2,75.0
2011/12,2011,24,8,2,2012-02-04,2012-02-05,1,87.5
2011/12,2011,25,8,3,2012-02-11,2012-02-13,2,75.0
2011/12,2011,26,8,3,2012-02-18,2012-02-20,2,75.0
2011/12,2011,27,8,3,2012-02-25,2012-02-27,2,75.0
2011/12,2011,28,8,3,2012-03-03,2012-03-05,2,75.0
2011/12,2011,29,8,3,2012-03-10,2012-03-12,2,75.0
2011/12,2011,30,8,3,2012-03-17,2012-03-19,2,75.0
2012/13,2012,1,7,3,2012-08-25,2012-08-27,2,71.42857142857143
2012/13,2012,2,7,3,2012-09-01,2012-09-03,2,71.42857142857143
2012/13,2012,3,7,2,2012-09-13,2012-09-15,2,85.71428571428571
2012/13,2012,4,7,3,2012-09-22,2012-09-24,2,71.42857142857143
2012/13,2012,5,7,2,2012-09-29,2012-10-01,2,85.71428571428571
2012/13,2012,6,7,2,2012-10-06,2012-10-29,23,71.42857142857143
2012/13,2012,7,7,3,2012-10-20,2012-10-22,2,71.42857142857143
2012/13,2012,8,7,3,2012-11-03,2012-11-05,2,71.42857142857143
2012/13,2012,9,7,2,2012-11-10,2012-11-11,1,71.42857142857143
2012/13,2012,10,7,5,2012-11-17,2012-12-12,25,42.857142857142854
2012/13,2012,11,7,3,2012-11-24,2012-11-26,2,57.14285714285714
2012/13,2012,12,7,3,2012-12-01,2012-12-03,2,71.42857142857143
2012/13,2012,13,7,3,2012-12-08,2012-12-10,2,57.14285714285714
2012/13,2012,14,7,3,2012-12-15,2012-12-17,2,57.14285714285714
2012/13,2012,15,7,3,2012-12-22,2012-12-24,2,71.42857142857143
2012/13,2012,16,7,3,2012-12-29,2012-12-31,2,71.42857142857143
2012/13,2012,17,7,3,2013-01-05,2013-01-07,2,71.42857142857143
2012/13,2012,18,7,3,2013-01-12,2013-01-14,2,71.42857142857143
2012/13,2012,19,7,3,2013-01-19,2013-01-21,2,71.42857142857143
2012/13,2012,20,7,2,2013-01-26,2013-01-27,1,71.42857142857143
2012/13,2012,21,7,2,2013-02-02,2013-02-03,1,71.42857142857143
2012/13,2012,22,7,3,2013-02-09,2013-02-11,2,71.42857142857143
2012/13,2012,23,7,3,2013-02-16,2013-02-18,2,71.42857142857143
2012/13,2012,24,7,2,2013-02-23,2013-02-24,1,71.42857142857143
2012/13,2012,25,7,3,2013-03-02,2013-03-04,2,71.42857142857143
2012/13,2012,26,7,3,2013-03-09,2013-03-11,2,71.42857142857143
2013/14,2013,1,7,2,2013-08-24,2013-08-25,1,71.42857142857143
2013/14,2013,2,7,2,2013-08-31,2013-09-01,1,71.42857142857143
2013/14,2013,3,7,3,2013-09-21,2013-09-23,2,71.42857142857143
2013/14,2013,4,7,3,2013-09-28,2013-09-30,2,71.42857142857143
2013/14,2013,5,7,2,2013-10-05,2013-10-06,1,71.42857142857143
2013/14,2013,6,7,3,2013-10-19,2013-10-21,2,71.42857142857143
2013/14,2013,7,7,3,2013-10-26,2013-10-28,2,71.42857142857143
2013/14,2013,8,7,3,2013-11-02,2013-11-04,2,71.42857142857143
2013/14,2013,9,7,2,2013-11-09,2013-11-11,2,71.42857142857143
2013/14,2013,10,7,3,2013-11-23,2013-11-25,2,71.42857142857143
2013/14,2013,11,7,2,2013-11-30,2013-12-02,2,71.42857142857143
2013/14,2013,12,7,3,2013-12-07,2013-12-09,2,71.42857142857143
2013/14,2013,13,7,3,2013-12-14,2013-12-17,3,42.857142857142854
2013/14,2013,14,7,3,2013-12-21,2013-12-23,2,71.42857142857143
2013/14,2013,15,7,3,2013-12-28,2013-12-30,2,71.42857142857143
2013/14,2013,16,7,3,2014-01-04,2014-01-06,2,71.42857142857143
2013/14,2013,17,7,3,2014-01-11,2014-01-13,2,71.42857142857143
2013/14,2013,18,7,3,2014-01-18,2014-01-20,2,71.42857142857143
2013/14,2013,19,7,2,2014-01-25,2014-01-26,1,85.71428571428571
2013/14,2013,20,7,3,2014-02-01,2014-02-03,2,71.42857142857143
2013/14,2013,21,7,3,2014-02-08,2014-02-10,2,71.42857142857143
2013/14,2013,22,7,3,2014-02-15,2014-02-17,2,71.42857142857143
2013/14,2013,23,7,3,2014-02-22,2014-02-24,2,71.42857142857143
2013/14,2013,24,7,3,2014-03-01,2014-03-03,2,71.42857142857143
2013/14,2013,25,7,3,2014-03-08,2014-03-10,2,71.42857142857143
2013/14,2013,26,7,3,2014-03-15,2014-03-17,2,71.42857142857143
2014/15,2014,1,7,3,2014-09-13,2014-09-15,2,71.42857142857143
2014/15,2014,2,7,3,2014-09-20,2014-09-22,2,71.42857142857143
2014/15,2014,3,7,3,2014-09-27,2014-09-29,2,71.42857142857143
2014/15,2014,4,7,3,2014-10-18,2014-10-20,2,71.42857142857143
2014/15,2014,5,7,3,2014-10-25,2014-10-27,2,71.42857142857143
2014/15,2014,6,7,3,2014-10-28,2014-10-30,2,0.0
2014/15,2014,7,7,3,2014-11-01,2014-11-03,2,57.14285714285714
2014/15,2014,8,7,3,2014-11-08,2014-11-11,3,57.14285714285714
2014/15,2014,9,7,3,2014-11-22,2014-11-24,2,71.42857142857143
2014/15,2014,10,7,3,2014-11-29,2014-12-01,2,71.42857142857143
2014/15,2014,11,7,3,2014-12-02,2014-12-04,2,0.0
2014/15,2014,12,7,3,2014-12-06,2014-12-08,2,57.14285714285714
2014/15,2014,13,7,3,2014-12-13,2014-12-15,2,71.42857142857143
2014/15,2014,14,7,3,2014-12-20,2014-12-22,2,71.42857142857143
2014/15,2014,15,7,3,2014-12-27,2014-12-29,2,71.42857142857143
2014/15,2014,16,7,3,2015-01-03,2015-01-05,2,71.42857142857143
2014/15,2014,17,7,2,2015-01-10,2015-01-11,1,85.71428571428571
2014/15,2014,18,7,3,2015-01-17,2015-01-19,2,57.14285714285714
2014/15,2014,19,7,3,2015-01-24,2015-01-26,2,71.42857142857143
2014/15,2014,20,7,3,2015-01-31,2015-02-02,2,57.14285714285714
2014/15,2014,21,7,3,2015-02-07,2015-02-09,2,71.42857142857143
2014/15,2014,22,7,3,2015-02-14,2015-02-16,2,71.42857142857143
2014/15,2014,23,7,3,2015-02-21,2015-02-23,2,71.42857142857143
2014/15,2014,24,7,3,2015-02-28,2015-03-02,2,71.42857142857143
2014/15,2014,25,7,3,2015-03-07,2015-03-09,2,71.42857142857143
2014/15,2014,26,7,3,2015-03-14,2015-03-16,2,71.42857142857143
2015/16,2015,1,7,3,2015-08-22,2015-08-24,2,71.42857142857143
2015/16,2015,2,7,3,2015-08-29,2015-08-31,2,57.14285714285714
2015/16,2015,3,7,1,2015-09-12,2015-09-12,0,100.0
2015/16,2015,4,7,3,2015-09-19,2015-09-21,2,71.42857142857143
2015/16,2015,5,7,2,2015-09-26,2015-09-28,2,71.42857142857143
2015/16,2015,6,7,2,2015-10-03,2015-10-05,2,85.71428571428571
2015/16,2015,7,7,3,2015-10-17,2015-10-19,2,71.42857142857143
2015/16,2015,8,7,3,2015-10-24,2015-10-26,2,71.42857142857143
2015/16,2015,9,7,3,2015-10-31,2015-11-02,2,57.14285714285714
2015/16,2015,10,7,3,2015-11-07,2015-11-09,2,71.42857142857143
2015/16,2015,11,7,3,2015-11-21,2015-11-23,2,71.42857142857143
2015/16,2015,12,7,3,2015-11-28,2015-11-30,2,71.42857142857143
2015/16,2015,13,7,3,2015-12-05,2015-12-07,2,71.42857142857143
2015/16,2015,14,7,3,2015-12-12,2015-12-14,2,71.42857142857143
2015/16,2015,15,7,3,2015-12-19,2015-12-21,2,71.42857142857143
2015/16,2015,16,7,3,2015-12-26,2015-12-28,2,71.42857142857143
2015/16,2015,17,7,3,2016-01-02,2016-01-04,2,71.42857142857143
2015/16,2015,18,7,2,2016-01-09,2016-01-10,1,71.42857142857143
2015/16,2015,19,7,3,2016-01-16,2016-01-18,2,57.14285714285714
2015/16,2015,20,7,2,2016-01-23,2016-01-24,1,71.42857142857143
2015/16,2015,21,7,3,2016-01-30,2016-02-01,2,71.42857142857143
2015/16,2015,22,7,3,2016-02-06,2016-02-08,2,71.42857142857143
2015/16,2015,23,7,3,2016-02-13,2016-02-15,2,71.42857142857143
2015/16,2015,24,7,3,2016-02-20,2016-02-22,2,71.42857142857143
2015/16,2015,25,7,3,2016-02-27,2016-02-29,2,71.42857142857143
2015/16,2015,26,7,3,2016-03-05,2016-03-07,2,71.42857142857143
2016/17,2016,1,7,3,2016-08-20,2016-08-22,2,57.14285714285714
2016/17,2016,2,7,3,2016-08-27,2016-08-29,2,57.14285714285714
2016/17,2016,3,7,3,2016-09-10,2016-09-12,2,57.14285714285714
2016/17,2016,4,7,3,2016-09-17,2016-09-19,2,57.14285714285714
2016/17,2016,5,7,3,2016-09-24,2016-09-26,2,57.14285714285714
2016/17,2016,6,7,3,2016-09-21,2016-10-15,24,85.71428571428571
2016/17,2016,7,7,2,2016-10-22,2016-10-24,2,71.42857142857143
2016/17,2016,8,7,3,2016-10-29,2016-10-31,2,57.14285714285714
2016/17,2016,9,7,3,2016-11-05,2016-11-07,2,57.14285714285714
2016/17,2016,10,7,3,2016-11-19,2016-11-21,2,57.14285714285714
2016/17,2016,11,7,3,2016-11-26,2016-11-28,2,57.14285714285714
2016/17,2016,12,7,3,2016-12-03,2016-12-05,2,57.14285714285714
2016/17,2016,13,7,3,2016-12-10,2016-12-12,2,57.14285714285714
2016/17,2016,14,7,3,2016-12-17,2016-12-19,2,57.14285714285714
2016/17,2016,15,7,3,2016-12-24,2016-12-26,2,57.14285714285714
2016/17,2016,16,7,3,2016-12-31,2017-01-02,2,57.14285714285714
2016/17,2016,17,7,3,2017-01-10,2017-01-12,2,0.0
2016/17,2016,18,7,3,2017-01-14,2017-01-16,2,57.14285714285714
2016/17,2016,19,7,2,2017-01-21,2017-01-22,1,57.14285714285714
2016/17,2016,20,7,3,2017-01-28,2017-01-30,2,57.14285714285714
2016/17,2016,21,7,3,2017-02-04,2017-02-06,2,57.14285714285714
2016/17,2016,22,7,3,2017-02-11,2017-02-13,2,57.14285714285714
2016/17,2016,23,7,3,2017-02-18,2017-02-20,2,57.14285714285714
2016/17,2016,24,7,3,2017-02-25,2017-02-27,2,57.14285714285714
2016/17,2016,25,7,3,2017-03-04,2017-03-06,2,57.14285714285714
2016/17,2016,26,7,3,2017-03-11,2017-03-13,2,57.14285714285714
2017/18,2017,1,7,3,2017-08-19,2017-08-21,2,57.14285714285714
2017/18,2017,2,7,3,2017-08-26,2017-08-28,2,57.14285714285714
2017/18,2017,3,7,3,2017-09-09,2017-09-11,2,57.14285714285714
2017/18,2017,4,7,3,2017-09-16,2017-09-18,2,57.14285714285714
2017/18,2017,5,7,3,2017-09-23,2017-09-25,2,57.14285714285714
2017/18,2017,6,7,3,2017-10-01,2017-11-18,48,14.285714285714285
2017/18,2017,7,7,3,2017-10-14,2017-10-16,2,57.14285714285714
2017/18,2017,8,7,3,2017-10-21,2017-10-23,2,57.14285714285714
2017/18,2017,9,7,3,2017-10-28,2017-10-30,2,57.14285714285714
2017/18,2017,10,7,3,2017-11-04,2017-11-06,2,42.857142857142854
2017/18,2017,11,7,3,2017-11-25,2017-11-27,2,57.14285714285714
2017/18,2017,12,7,3,2017-12-02,2017-12-04,2,57.14285714285714
2017/18,2017,13,7,3,2017-12-09,2017-12-11,2,57.14285714285714
2017/18,2017,14,7,3,2017-12-16,2017-12-18,2,57.14285714285714
2017/18,2017,15,7,3,2017-12-23,2017-12-25,2,57.14285714285714
2017/18,2017,16,7,3,2017-12-30,2018-01-01,2,57.14285714285714
2017/18,2017,17,7,3,2018-01-08,2018-01-10,2,0.0
2017/18,2017,18,7,3,2018-01-13,2018-01-15,2,57.14285714285714
2017/18,2017,19,7,3,2018-01-20,2018-01-22,2,57.14285714285714
2017/18,2017,20,7,3,2018-01-27,2018-01-29,2,57.14285714285714
2017/18,2017,21,7,3,2018-02-03,2018-02-05,2,57.14285714285714
2017/18,2017,22,7,3,2018-02-10,2018-02-12,2,57.14285714285714
2017/18,2017,23,7,3,2018-02-17,2018-02-19,2,57.14285714285714
2017/18,2017,24,7,3,2018-02-24,2018-02-26,2,57.14285714285714
2017/18,2017,25,7,3,2018-03-03,2018-03-05,2,57.14285714285714
2017/18,2017,26,7,3,2018-03-10,2018-03-12,2,57.14285714285714
2018/19,2018,1,7,3,2018-08-25,2018-08-27,2,57.14285714285714
2018/19,2018,2,7,3,2018-09-01,2018-09-03,2,57.14285714285714
2018/19,2018,3,7,3,2018-09-15,2018-09-17,2,57.14285714285714
2018/19,2018,4,7,2,2018-09-22,2018-09-24,2,57.14285714285714
2018/19,2018,5,7,2,2018-09-29,2018-10-01,2,57.14285714285714
2018/19,2018,6,7,3,2018-10-06,2018-10-08,2,57.14285714285714
2018/19,2018,7,7,3,2018-10-20,2018-10-22,2,57.14285714285714
2018/19,2018,8,7,3,2018-10-27,2018-10-29,2,57.14285714285714
2018/19,2018,9,7,3,2018-11-03,2018-11-05,2,57.14285714285714
2018/19,2018,10,7,3,2018-11-10,2018-11-12,2,57.14285714285714
2018/19,2018,11,7,2,2018-12-01,2018-12-02,1,71.42857142857143
2018/19,2018,12,7,2,2018-12-04,2018-12-05,1,0.0
2018/19,2018,13,7,3,2018-12-08,2018-12-10,2,57.14285714285714
2018/19,2018,14,7,3,2018-12-15,2018-12-17,2,57.14285714285714
2018/19,2018,15,7,3,2018-12-25,2018-12-27,2,0.0
2018/19,2018,16,7,3,2018-12-29,2018-12-31,2,57.14285714285714
2018/19,2018,17,7,3,2019-01-05,2019-01-07,2,57.14285714285714
2018/19,2018,18,7,3,2019-01-12,2019-01-14,2,71.42857142857143
2018/19,2018,19,7,2,2019-01-19,2019-01-21,2,57.14285714285714
2018/19,2018,20,7,3,2019-01-26,2019-01-28,2,57.14285714285714
2018/19,2018,21,7,3,2019-02-02,2019-02-04,2,57.14285714285714
2018/19,2018,22,7,3,2019-02-09,2019-02-11,2,57.14285714285714
2018/19,2018,23,7,3,2019-02-16,2019-02-18,2,57.14285714285714
2018/19,2018,24,7,3,2019-02-23,2019-02-25,2,57.14285714285714
2018/19,2018,25,7,3,2019-03-02,2019-03-04,2,57.14285714285714
2018/19,2018,26,7,3,2019-03-09,2019-03-11,2,57.14285714285714
2019/20,2019,1,7,3,2019-08-24,2019-08-26,2,42.857142857142854
2019/20,2019,2,7,3,2019-08-31,2019-09-02,2,42.857142857142854
2019/20,2019,3,7,3,2019-09-14,2019-09-16,2,57.14285714285714
2019/20,2019,4,7,3,2019-09-21,2019-09-23,2,57.14285714285714
2019/20,2019,5,7,2,2019-09-25,2019-09-28,3,71.42857142857143
