season,season_year,total_matches,total_rounds,unique_weekdays_used,mean_matches_per_round,mean_matches_per_week,weekend_share_pct,football_weekend_share_pct,avg_total_goals,avg_home_win_rate_pct,avg_draw_rate_pct,avg_home_attendance_proxy,avg_capacity_utilization_proxy_pct,weekday_std,weekday_var,weekday_range,weekday_cv,weekday_entropy,weekday_hhi,dominant_weekday,dominant_weekday_share_pct,avg_days_used_per_round,median_days_used_per_round,avg_round_span_days,max_round_span_days,avg_round_weekend_share_pct,avg_gap_between_matches,median_gap_between_matches,max_gap_between_matches,count_monday,count_tuesday,count_wednesday,count_thursday,count_friday,count_saturday,count_sunday,share_monday_pct,share_tuesday_pct,share_wednesday_pct,share_thursday_pct,share_friday_pct,share_saturday_pct,share_sunday_pct
2006/07,2006,198,33,6,6.0,5.2105263157894735,77.77777777777779,93.43434343434343,2.484848484848485,39.39393939393939,30.808080808080806,3172.121212121212,22.0787669235912,59.42726646918904,3531.6,151,1.6439219381841024,0.42064146007094627,0.6170798898071623,Saturday,76.76767676767676,2.303030303030303,2.0,3.787878787878788,82,77.77777777777779,1.3908629441624365,0.0,14.0,11.0,0.0,1.0,1.0,2.0,152.0,31.0,5.555555555555555,0.0,0.5050505050505051,0.5050505050505051,1.0101010101010102,76.76767676767676,15.656565656565657
2007/08,2007,198,33,5,6.0,5.6571428571428575,80.8080808080808,95.45454545454545,2.3181818181818183,40.909090909090914,24.242424242424242,5743.580808080808,36.582156145791984,67.70376651265423,4583.8,158,1.5291941843946335,0.4031204092677366,0.6676869707172737,Saturday,80.3030303030303,2.1515151515151514,2.0,2.5757575757575757,38,80.80808080808082,1.4619289340101522,0.0,21.0,7.0,2.0,0.0,0.0,1.0,159.0,29.0,3.535353535353535,1.0101010101010102,0.0,0.0,0.5050505050505051,80.3030303030303,14.646464646464647
2008/09,2008,198,33,4,6.0,5.2105263157894735,80.3030303030303,85.85858585858585,2.1818181818181817,40.4040404040404,31.313131313131315,0.0,0.0,73.18697516179591,5356.333333333333,157,1.280439994267798,0.4645342599524173,0.6598816447301296,Saturday,79.7979797979798,2.1515151515151514,2.0,1.8484848484848484,3,80.30303030303031,1.3959390862944163,0.0,26.0,28.0,0.0,0.0,0.0,1.0,158.0,11.0,14.14141414141414,0.0,0.0,0.0,0.5050505050505051,79.7979797979798,5.555555555555555
2009/10,2009,240,30,4,8.0,7.0588235294117645,80.83333333333333,90.41666666666667,2.620833333333333,40.833333333333336,28.749999999999996,3885.866666666667,23.856372501108666,89.90735972840784,8083.333333333333,193,1.2977009585331198,0.4606692311716871,0.6710069444444445,Saturday,80.83333333333333,2.5,3.0,2.1,17,80.83333333333333,0.9665271966527197,0.0,12.0,22.0,1.0,0.0,0.0,0.0,194.0,23.0,9.166666666666666,0.4166666666666667,0.0,0.0,0.0,80.83333333333333,9.583333333333334
2010/11,2010,240,30,4,8.0,7.0588235294117645,75.83333333333333,88.75,2.5875,40.833333333333336,26.666666666666668,4857.733333333334,27.984600877266445,82.38527376499597,6787.333333333333,181,1.1891289996370358,0.5321741669504588,0.6035069444444444,Saturday,75.83333333333333,2.8333333333333335,3.0,1.9,4,75.83333333333333,1.0,0.0,13.0,26.0,0.0,1.0,0.0,0.0,182.0,31.0,10.833333333333334,0.0,0.4166666666666667,0.0,0.0,75.83333333333333,12.916666666666668
2011/12,2011,240,30,5,8.0,7.5,66.66666666666666,81.25,2.5125,43.333333333333336,27.916666666666668,3914.4,27.28318955378645,63.773035054010094,4067.0,157,1.1883403459353628,0.6368273095207957,0.48243055555555553,Saturday,66.66666666666666,2.8666666666666667,3.0,2.533333333333333,24,66.66666666666667,0.8870292887029289,0.0,12.0,27.0,3.0,15.0,0.0,0.0,160.0,35.0,11.25,1.25,6.25,0.0,0.0,66.66666666666666,14.583333333333334
2012/13,2012,182,26,6,7.0,6.275862068965517,69.78021978021978,85.16483516483517,2.565934065934066,43.956043956043956,27.472527472527474,5057.384615384615,30.59153741205117,48.93124427874962,2394.266666666667,126,1.4725684757289434,0.4978298915655548,0.5280763192851105,Saturday,69.78021978021978,2.8076923076923075,3.0,3.5384615384615383,25,69.78021978021978,1.0939226519337018,0.0,14.0,24.0,1.0,1.0,1.0,0.0,127.0,28.0,13.186813186813188,0.5494505494505495,0.5494505494505495,0.5494505494505495,0.0,69.78021978021978,15.384615384615385
2013/14,2013,182,26,4,7.0,6.5,70.87912087912088,85.16483516483517,2.521978021978022,42.857142857142854,25.274725274725274,5277.153846153846,35.88141488641288,56.75972750698039,3221.6666666666665,127,1.0803377128115912,0.6089628328311166,0.5417823934307452,Saturday,70.87912087912088,2.769230769230769,3.0,1.8846153846153846,3,70.87912087912088,1.132596685082873,0.0,20.0,25.0,2.0,0.0,0.0,0.0,129.0,26.0,13.736263736263737,1.098901098901099,0.0,0.0,0.0,70.87912087912088,14.285714285714285
2014/15,2014,182,26,6,7.0,6.7407407407407405,63.73626373626373,77.47252747252747,2.532967032967033,41.75824175824176,28.57142857142857,7649.076923076923,42.90643489107895,43.1586221590387,1862.6666666666665,112,1.2988434564476823,0.6322823802385314,0.44783238739282694,Saturday,63.73626373626373,2.9615384615384617,3.0,2.0,3,63.73626373626374,1.0165745856353592,0.0,19.0,26.0,6.0,5.0,4.0,0.0,116.0,25.0,14.285714285714285,3.296703296703297,2.7472527472527473,2.197802197802198,0.0,63.73626373626373,13.736263736263737
2015/16,2015,182,26,3,7.0,6.066666666666666,71.42857142857143,86.26373626373626,2.2252747252747254,35.714285714285715,26.373626373626376,6227.7692307692305,38.13632356300877,60.052754585725154,3606.3333333333335,105,0.8082341010088419,0.7246416858046866,0.5510807873445237,Saturday,71.42857142857143,2.769230769230769,3.0,1.8461538461538463,2,71.42857142857143,1.0939226519337018,0.0,12.0,25.0,0.0,0.0,0.0,0.0,130.0,27.0,13.736263736263737,0.0,0.0,0.0,0.0,71.42857142857143,14.835164835164836
2016/17,2016,182,26,6,7.0,6.066666666666666,56.59340659340659,81.86813186813187,2.131868131868132,36.26373626373626,31.318681318681318,5629.307692307692,33.275530951233144,39.636683345944405,1571.0666666666668,102,1.1928519545748955,0.6265611073787032,0.4038159642555247,Saturday,56.59340659340659,2.923076923076923,3.0,2.8076923076923075,24,56.59340659340659,1.132596685082873,0.0,14.0,25.0,3.0,4.0,1.0,0.0,103.0,46.0,13.736263736263737,1.6483516483516485,2.197802197802198,0.5494505494505495,0.0,56.59340659340659,25.274725274725274
2017/18,2017,182,26,5,7.0,5.870967741935484,52.74725274725275,81.86813186813187,2.467032967032967,41.208791208791204,24.725274725274726,5428.2307692307695,32.71556917320929,39.532265303167236,1562.8,95,0.9713937639828382,0.6745201920904438,0.38872116894094916,Saturday,52.74725274725275,3.0,3.0,3.769230769230769,48,52.747252747252745,1.132596685082873,0.0,12.0,29.0,3.0,1.0,0.0,0.0,96.0,53.0,15.934065934065933,1.6483516483516485,0.5494505494505495,0.0,0.0,52.74725274725275,29.120879120879124
2018/19,2018,182,26,6,7.0,6.275862068965517,53.84615384615385,76.37362637362637,2.4285714285714284,37.362637362637365,33.51648351648351,5730.615384615385,37.881831736354236,36.58232724508744,1338.2666666666669,97,1.100932188910451,0.6854409363626318,0.36867528076319284,Saturday,53.84615384615385,2.8076923076923075,3.0,1.9230769230769231,2,53.84615384615385,1.0939226519337018,0.0,19.0,29.0,7.0,6.0,1.0,0.0,98.0,41.0,15.934065934065933,3.8461538461538463,3.296703296703297,0.5494505494505495,0.0,53.84615384615385,22.52747252747253
