season,stage,segment_label,team,prev_rank,new_rank
2015/16,regular,Regular: after round 9 vs after round 8,Bnei Yehuda,8,7
2015/16,regular,Regular: after round 9 vs after round 8,H. Kfar Saba,9,12
2015/16,regular,Regular: after round 9 vs after round 8,Hapoel Acre,11,10
2015/16,regular,Regular: after round 9 vs after round 8,Hapoel Haifa,13,9
2015/16,regular,Regular: after round 9 vs after round 8,Hapoel Raanana,3,5
2015/16,regular,Regular: after round 9 vs after round 8,Hapoel Tel Aviv,10,13
2015/16,regular,Regular: after round 9 vs after round 8,Maccabi Haifa,12,11
2015/16,regular,Regular: after round 10 vs after round 9,Bnei Sakhnin,8,9
2015/16,regular,Regular: after round 10 vs after round 9,Bnei Yehuda,7,6
2015/16,regular,Regular: after round 10 vs after round 9,Hapoel Acre,10,8
2015/16,regular,Regular: after round 10 vs after round 9,Hapoel Haifa,9,11
2015/16,regular,Regular: after round 10 vs after round 9,Hapoel Tel Aviv,13,10
2015/16,regular,Regular: after round 10 vs after round 9,M. Petah Tikva,6,7
2015/16,regular,Regular: after round 10 vs after round 9,Maccabi Haifa,11,13
2015/16,regular,Regular: after round 11 vs after round 10,Bnei Sakhnin,9,10
2015/16,regular,Regular: after round 11 vs after round 10,Bnei Yehuda,6,7
2015/16,regular,Regular: after round 11 vs after round 10,H. Beer Sheva,1,2
2015/16,regular,Regular: after round 11 vs after round 10,H. Kfar Saba,12,8
2015/16,regular,Regular: after round 11 vs after round 10,Hapoel Acre,8,9
2015/16,regular,Regular: after round 11 vs after round 10,Hapoel Haifa,11,13
2015/16,regular,Regular: after round 11 vs after round 10,Hapoel Raanana,5,4
2015/16,regular,Regular: after round 11 vs after round 10,Hapoel Tel Aviv,10,12
2015/16,regular,Regular: after round 11 vs after round 10,Kiryat Shmona,4,6
2015/16,regular,Regular: after round 11 vs after round 10,M. Petah Tikva,7,5
2015/16,regular,Regular: after round 11 vs after round 10,M. Tel Aviv,2,1
2015/16,regular,Regular: after round 11 vs after round 10,Maccabi Haifa,13,11
2015/16,regular,Regular: after round 12 vs after round 11,Bnei Sakhnin,10,7
2015/16,regular,Regular: after round 12 vs after round 11,Bnei Yehuda,7,9
2015/16,regular,Regular: after round 12 vs after round 11,H. Kfar Saba,8,11
2015/16,regular,Regular: after round 12 vs after round 11,Hapoel Acre,9,12
2015/16,regular,Regular: after round 12 vs after round 11,Hapoel Raanana,4,5
2015/16,regular,Regular: after round 12 vs after round 11,Hapoel Tel Aviv,12,10
2015/16,regular,Regular: after round 12 vs after round 11,M. Petah Tikva,5,4
2015/16,regular,Regular: after round 12 vs after round 11,Maccabi Haifa,11,8
2015/16,regular,Regular: after round 13 vs after round 12,Kiryat Shmona,6,8
2015/16,regular,Regular: after round 13 vs after round 12,Maccabi Haifa,8,6
2015/16,regular,Regular: after round 14 vs after round 13,Bnei Sakhnin,7,10
2015/16,regular,Regular: after round 14 vs after round 13,Bnei Yehuda,9,7
2015/16,regular,Regular: after round 14 vs after round 13,Hapoel Acre,12,13
2015/16,regular,Regular: after round 14 vs after round 13,Hapoel Haifa,13,12
2015/16,regular,Regular: after round 14 vs after round 13,Hapoel Tel Aviv,10,8
2015/16,regular,Regular: after round 14 vs after round 13,Kiryat Shmona,8,9
2015/16,regular,Regular: after round 15 vs after round 14,Bnei Sakhnin,10,12
2015/16,regular,Regular: after round 15 vs after round 14,H. Beer Sheva,2,1
2015/16,regular,Regular: after round 15 vs after round 14,H. Kfar Saba,11,9
2015/16,regular,Regular: after round 15 vs after round 14,Hapoel Haifa,12,10
2015/16,regular,Regular: after round 15 vs after round 14,Hapoel Raanana,5,4
2015/16,regular,Regular: after round 15 vs after round 14,Hapoel Tel Aviv,8,11
2015/16,regular,Regular: after round 15 vs after round 14,Kiryat Shmona,9,8
2015/16,regular,Regular: after round 15 vs after round 14,M. Petah Tikva,4,5
2015/16,regular,Regular: after round 15 vs after round 14,M. Tel Aviv,1,2
2015/16,regular,Regular: after round 16 vs after round 15,Bnei Sakhnin,12,13
2015/16,regular,Regular: after round 16 vs after round 15,H. Kfar Saba,9,12
2015/16,regular,Regular: after round 16 vs after round 15,Hapoel Acre,13,11
2015/16,regular,Regular: after round 16 vs after round 15,Hapoel Haifa,10,9
2015/16,regular,Regular: after round 16 vs after round 15,Hapoel Tel Aviv,11,10
2015/16,regular,Regular: after round 17 vs after round 16,Bnei Sakhnin,13,12
2015/16,regular,Regular: after round 17 vs after round 16,Bnei Yehuda,7,8
2015/16,regular,Regular: after round 17 vs after round 16,H. Kfar Saba,12,13
2015/16,regular,Regular: after round 17 vs after round 16,Hapoel Raanana,4,5
2015/16,regular,Regular: after round 17 vs after round 16,Kiryat Shmona,8,7
2015/16,regular,Regular: after round 17 vs after round 16,M. Petah Tikva,5,4
2015/16,regular,Regular: after round 18 vs after round 17,Bnei Sakhnin,12,11
2015/16,regular,Regular: after round 18 vs after round 17,Bnei Yehuda,8,10
2015/16,regular,Regular: after round 18 vs after round 17,H. Kfar Saba,13,12
2015/16,regular,Regular: after round 18 vs after round 17,Hapoel Acre,11,13
2015/16,regular,Regular: after round 18 vs after round 17,Hapoel Haifa,9,8
2015/16,regular,Regular: after round 18 vs after round 17,Hapoel Tel Aviv,10,9
2015/16,regular,Regular: after round 19 vs after round 18,Bnei Sakhnin,11,12
2015/16,regular,Regular: after round 19 vs after round 18,Bnei Yehuda,10,8
2015/16,regular,Regular: after round 19 vs after round 18,H. Kfar Saba,12,10
2015/16,regular,Regular: after round 19 vs after round 18,Hapoel Haifa,8,9
2015/16,regular,Regular: after round 19 vs after round 18,Hapoel Raanana,5,6
2015/16,regular,Regular: after round 19 vs after round 18,Hapoel Tel Aviv,9,11
2015/16,regular,Regular: after round 19 vs after round 18,Maccabi Haifa,6,5
2015/16,regular,Regular: after round 20 vs after round 19,Bnei Sakhnin,12,10
2015/16,regular,Regular: after round 20 vs after round 19,H. Kfar Saba,10,9
2015/16,regular,Regular: after round 20 vs after round 19,Hapoel Haifa,9,11
2015/16,regular,Regular: after round 20 vs after round 19,Hapoel Raanana,6,4
2015/16,regular,Regular: after round 20 vs after round 19,Hapoel Tel Aviv,11,12
2015/16,regular,Regular: after round 20 vs after round 19,M. Petah Tikva,4,5
2015/16,regular,Regular: after round 20 vs after round 19,Maccabi Haifa,5,6
2015/16,regular,Regular: after round 21 vs after round 20,M. Petah Tikva,5,6
2015/16,regular,Regular: after round 21 vs after round 20,Maccabi Haifa,6,5
2015/16,regular,Regular: after round 22 vs after round 21,Bnei Sakhnin,10,9
2015/16,regular,Regular: after round 22 vs after round 21,Bnei Yehuda,8,6
2015/16,regular,Regular: after round 22 vs after round 21,H. Kfar Saba,9,10
2015/16,regular,Regular: after round 22 vs after round 21,Kiryat Shmona,7,8
2015/16,regular,Regular: after round 22 vs after round 21,M. Petah Tikva,6,7
2015/16,regular,Regular: after round 23 vs after round 22,Bnei Sakhnin,9,7
2015/16,regular,Regular: after round 23 vs after round 22,H. Kfar Saba,10,8
2015/16,regular,Regular: after round 23 vs after round 22,Hapoel Acre,13,12
2015/16,regular,Regular: after round 23 vs after round 22,Hapoel Haifa,11,13
2015/16,regular,Regular: after round 23 vs after round 22,Hapoel Tel Aviv,12,11
2015/16,regular,Regular: after round 23 vs after round 22,Kiryat Shmona,8,10
2015/16,regular,Regular: after round 23 vs after round 22,M. Petah Tikva,7,9
2015/16,regular,Regular: after round 24 vs after round 23,Bnei Sakhnin,7,5
2015/16,regular,Regular: after round 24 vs after round 23,Bnei Yehuda,6,7
2015/16,regular,Regular: after round 24 vs after round 23,H. Kfar Saba,8,9
2015/16,regular,Regular: after round 24 vs after round 23,M. Petah Tikva,9,8
2015/16,regular,Regular: after round 24 vs after round 23,Maccabi Haifa,5,6
2015/16,regular,Regular: after round 25 vs after round 24,Hapoel Acre,12,11
2015/16,regular,Regular: after round 25 vs after round 24,Hapoel Tel Aviv,11,12
2015/16,regular,Regular: after round 26 vs after round 25,Hapoel Acre,11,10
2015/16,regular,Regular: after round 26 vs after round 25,Hapoel Raanana,4,6
2015/16,regular,Regular: after round 26 vs after round 25,Kiryat Shmona,10,11
2015/16,regular,Regular: after round 26 vs after round 25,Maccabi Haifa,6,4
2015/16,championship_playoff,championship playoff: after mini-league round 35 vs after mini-league round 34,B. Jerusalem,3,4
2015/16,championship_playoff,championship playoff: after mini-league round 35 vs after mini-league round 34,Maccabi Haifa,4,3
2015/16,relegation_playoff,relegation playoff: after mini-league round 28 vs after mini-league round 27,Kiryat Shmona,3,2
2015/16,relegation_playoff,relegation playoff: after mini-league round 28 vs after mini-league round 27,M. Petah Tikva,2,3
2015/16,relegation_playoff,relegation playoff: after mini-league round 29 vs after mini-league round 28,H. Kfar Saba,4,5
2015/16,relegation_playoff,relegation playoff: after mini-league round 29 vs after mini-league round 28,Hapoel Tel Aviv,5,3
2015/16,relegation_playoff,relegation playoff: after mini-league round 29 vs after mini-league round 28,M. Petah Tikva,3,4
2015/16,relegation_playoff,relegation playoff: after mini-league round 30 vs after mini-league round 29,H. Kfar Saba,5,6
2015/16,relegation_playoff,relegation playoff: after mini-league round 30 vs after mini-league round 29,Hapoel Acre,6,7
2015/16,relegation_playoff,relegation playoff: after mini-league round 30 vs after mini-league round 29,Hapoel Haifa,7,5
2015/16,relegation_playoff,relegation playoff: after mini-league round 31 vs after mini-league round 30,Hapoel Haifa,5,4
2015/16,relegation_playoff,relegation playoff: after mini-league round 31 vs after mini-league round 30,Hapoel Tel Aviv,3,2
2015/16,relegation_playoff,relegation playoff: after mini-league round 31 vs after mini-league round 30,Kiryat Shmona,2,3
2015/16,relegation_playoff,relegation playoff: after mini-league round 31 vs after mini-league round 30,M. Petah Tikva,4,5
2009/10,regular,Regular: after round 2 vs after round 1,B. Jerusalem,9,11
2009/10,regular,Regular: after round 2 vs after round 1,Bnei Sakhnin,15,14
2009/10,regular,Regular: after round 2 vs after round 1,FC Ashdod,16,7
2009/10,regular,Regular: after round 2 vs after round 1,H. Beer Sheva,3,4
2009/10,regular,Regular: after round 2 vs after round 1,H. Petah Tikva,4,6
2009/10,regular,Regular: after round 2 vs after round 1,H. Ramat Gan,7,8
2009/10,regular,Regular: after round 2 vs after round 1,Hapoel Acre,11,12
2009/10,regular,Regular: after round 2 vs after round 1,Hapoel Raanana,12,15
2009/10,regular,Regular: after round 2 vs after round 1,M. Ahi Nazareth,13,16
2009/10,regular,Regular: after round 2 vs after round 1,M. Petah Tikva,8,9
2009/10,regular,Regular: after round 2 vs after round 1,Maccabi Haifa,6,3
2009/10,regular,Regular: after round 2 vs after round 1,Maccabi Netanya,14,13
2009/10,regular,Regular: after round 3 vs after round 2,B. Jerusalem,11,7
2009/10,regular,Regular: after round 3 vs after round 2,Bnei Sakhnin,14,8
2009/10,regular,Regular: after round 3 vs after round 2,Bnei Yehuda,1,2
2009/10,regular,Regular: after round 3 vs after round 2,FC Ashdod,7,5
2009/10,regular,Regular: after round 3 vs after round 2,H. Beer Sheva,4,9
2009/10,regular,Regular: after round 3 vs after round 2,H. Petah Tikva,6,10
2009/10,regular,Regular: after round 3 vs after round 2,H. Ramat Gan,8,12
2009/10,regular,Regular: after round 3 vs after round 2,Hapoel Acre,12,14
2009/10,regular,Regular: after round 3 vs after round 2,Hapoel Haifa,5,4
2009/10,regular,Regular: after round 3 vs after round 2,Hapoel Tel Aviv,10,6
2009/10,regular,Regular: after round 3 vs after round 2,M. Petah Tikva,9,13
2009/10,regular,Regular: after round 3 vs after round 2,M. Tel Aviv,2,3
2009/10,regular,Regular: after round 3 vs after round 2,Maccabi Haifa,3,1
