season,stage,segment_label,team,prev_rank,new_rank
2006/07,regular,Regular: after round 2 vs after round 1,B. Jerusalem,3,2
2006/07,regular,Regular: after round 2 vs after round 1,Bnei Yehuda,5,8
2006/07,regular,Regular: after round 2 vs after round 1,FC Ashdod,4,6
2006/07,regular,Regular: after round 2 vs after round 1,H. Petah Tikva,12,10
2006/07,regular,Regular: after round 2 vs after round 1,Hakoah Amidar,7,5
2006/07,regular,Regular: after round 2 vs after round 1,Hapoel Tel Aviv,6,9
2006/07,regular,Regular: after round 2 vs after round 1,M. Petah Tikva,8,3
2006/07,regular,Regular: after round 2 vs after round 1,M. Tel Aviv,9,11
2006/07,regular,Regular: after round 2 vs after round 1,Maccabi Haifa,11,7
2006/07,regular,Regular: after round 2 vs after round 1,Maccabi Herzlya,10,12
2006/07,regular,Regular: after round 2 vs after round 1,Maccabi Netanya,2,4
2006/07,regular,Regular: after round 3 vs after round 2,B. Jerusalem,2,1
2006/07,regular,Regular: after round 3 vs after round 2,FC Ashdod,6,3
2006/07,regular,Regular: after round 3 vs after round 2,H. Kfar Saba,1,2
2006/07,regular,Regular: after round 3 vs after round 2,H. Petah Tikva,10,11
2006/07,regular,Regular: after round 3 vs after round 2,Hakoah Amidar,5,9
2006/07,regular,Regular: after round 3 vs after round 2,Hapoel Tel Aviv,9,6
2006/07,regular,Regular: after round 3 vs after round 2,M. Petah Tikva,3,7
2006/07,regular,Regular: after round 3 vs after round 2,M. Tel Aviv,11,10
2006/07,regular,Regular: after round 3 vs after round 2,Maccabi Haifa,7,4
2006/07,regular,Regular: after round 3 vs after round 2,Maccabi Netanya,4,5
2006/07,regular,Regular: after round 4 vs after round 3,Bnei Yehuda,8,9
2006/07,regular,Regular: after round 4 vs after round 3,FC Ashdod,3,6
2006/07,regular,Regular: after round 4 vs after round 3,H. Kfar Saba,2,3
2006/07,regular,Regular: after round 4 vs after round 3,H. Petah Tikva,11,12
2006/07,regular,Regular: after round 4 vs after round 3,Hakoah Amidar,9,8
2006/07,regular,Regular: after round 4 vs after round 3,Hapoel Tel Aviv,6,7
2006/07,regular,Regular: after round 4 vs after round 3,M. Petah Tikva,7,4
2006/07,regular,Regular: after round 4 vs after round 3,Maccabi Haifa,4,2
2006/07,regular,Regular: after round 4 vs after round 3,Maccabi Herzlya,12,11
2006/07,regular,Regular: after round 5 vs after round 4,B. Jerusalem,1,2
2006/07,regular,Regular: after round 5 vs after round 4,Bnei Yehuda,9,8
2006/07,regular,Regular: after round 5 vs after round 4,FC Ashdod,6,4
2006/07,regular,Regular: after round 5 vs after round 4,H. Kfar Saba,3,7
2006/07,regular,Regular: after round 5 vs after round 4,Hakoah Amidar,8,9
2006/07,regular,Regular: after round 5 vs after round 4,Hapoel Tel Aviv,7,6
2006/07,regular,Regular: after round 5 vs after round 4,M. Petah Tikva,4,1
2006/07,regular,Regular: after round 5 vs after round 4,Maccabi Haifa,2,5
2006/07,regular,Regular: after round 5 vs after round 4,Maccabi Netanya,5,3
2006/07,regular,Regular: after round 6 vs after round 5,B. Jerusalem,2,1
2006/07,regular,Regular: after round 6 vs after round 5,Bnei Yehuda,8,9
2006/07,regular,Regular: after round 6 vs after round 5,FC Ashdod,4,2
2006/07,regular,Regular: after round 6 vs after round 5,H. Kfar Saba,7,4
2006/07,regular,Regular: after round 6 vs after round 5,Hakoah Amidar,9,10
2006/07,regular,Regular: after round 6 vs after round 5,Hapoel Tel Aviv,6,3
2006/07,regular,Regular: after round 6 vs after round 5,M. Petah Tikva,1,5
2006/07,regular,Regular: after round 6 vs after round 5,M. Tel Aviv,10,8
2006/07,regular,Regular: after round 6 vs after round 5,Maccabi Haifa,5,6
2006/07,regular,Regular: after round 6 vs after round 5,Maccabi Netanya,3,7
2006/07,regular,Regular: after round 7 vs after round 6,FC Ashdod,2,3
2006/07,regular,Regular: after round 7 vs after round 6,Hapoel Tel Aviv,3,5
2006/07,regular,Regular: after round 7 vs after round 6,M. Petah Tikva,5,8
2006/07,regular,Regular: after round 7 vs after round 6,M. Tel Aviv,8,7
2006/07,regular,Regular: after round 7 vs after round 6,Maccabi Netanya,7,2
2006/07,regular,Regular: after round 8 vs after round 7,FC Ashdod,3,6
2006/07,regular,Regular: after round 8 vs after round 7,H. Kfar Saba,4,8
2006/07,regular,Regular: after round 8 vs after round 7,Hapoel Tel Aviv,5,2
2006/07,regular,Regular: after round 8 vs after round 7,M. Petah Tikva,8,5
2006/07,regular,Regular: after round 8 vs after round 7,M. Tel Aviv,7,3
2006/07,regular,Regular: after round 8 vs after round 7,Maccabi Haifa,6,7
2006/07,regular,Regular: after round 8 vs after round 7,Maccabi Netanya,2,4
2006/07,regular,Regular: after round 9 vs after round 8,B. Jerusalem,1,2
2006/07,regular,Regular: after round 9 vs after round 8,FC Ashdod,6,5
2006/07,regular,Regular: after round 9 vs after round 8,Hapoel Tel Aviv,2,1
2006/07,regular,Regular: after round 9 vs after round 8,M. Petah Tikva,5,4
2006/07,regular,Regular: after round 9 vs after round 8,Maccabi Haifa,7,6
2006/07,regular,Regular: after round 9 vs after round 8,Maccabi Netanya,4,7
2006/07,regular,Regular: after round 10 vs after round 9,B. Jerusalem,2,1
2006/07,regular,Regular: after round 10 vs after round 9,FC Ashdod,5,3
2006/07,regular,Regular: after round 10 vs after round 9,Hapoel Tel Aviv,1,5
2006/07,regular,Regular: after round 10 vs after round 9,M. Petah Tikva,4,2
2006/07,regular,Regular: after round 10 vs after round 9,M. Tel Aviv,3,4
2006/07,regular,Regular: after round 10 vs after round 9,Maccabi Haifa,6,7
2006/07,regular,Regular: after round 10 vs after round 9,Maccabi Netanya,7,6
2006/07,regular,Regular: after round 11 vs after round 10,H. Kfar Saba,8,7
2006/07,regular,Regular: after round 11 vs after round 10,Hakoah Amidar,10,11
2006/07,regular,Regular: after round 11 vs after round 10,Maccabi Haifa,7,6
2006/07,regular,Regular: after round 11 vs after round 10,Maccabi Herzlya,11,10
2006/07,regular,Regular: after round 11 vs after round 10,Maccabi Netanya,6,8
2006/07,regular,Regular: after round 12 vs after round 11,FC Ashdod,3,2
2006/07,regular,Regular: after round 12 vs after round 11,M. Petah Tikva,2,3
2006/07,regular,Regular: after round 14 vs after round 13,Hapoel Tel Aviv,5,3
2006/07,regular,Regular: after round 14 vs after round 13,M. Petah Tikva,3,4
2006/07,regular,Regular: after round 14 vs after round 13,M. Tel Aviv,4,6
2006/07,regular,Regular: after round 14 vs after round 13,Maccabi Haifa,6,5
2006/07,regular,Regular: after round 15 vs after round 14,H. Kfar Saba,7,8
2006/07,regular,Regular: after round 15 vs after round 14,M. Tel Aviv,6,5
2006/07,regular,Regular: after round 15 vs after round 14,Maccabi Haifa,5,6
2006/07,regular,Regular: after round 15 vs after round 14,Maccabi Netanya,8,7
2006/07,regular,Regular: after round 16 vs after round 15,Hakoah Amidar,11,10
2006/07,regular,Regular: after round 16 vs after round 15,M. Petah Tikva,4,5
2006/07,regular,Regular: after round 16 vs after round 15,M. Tel Aviv,5,4
2006/07,regular,Regular: after round 16 vs after round 15,Maccabi Herzlya,10,11
2006/07,regular,Regular: after round 17 vs after round 16,FC Ashdod,2,3
2006/07,regular,Regular: after round 17 vs after round 16,Hapoel Tel Aviv,3,2
2006/07,regular,Regular: after round 18 vs after round 17,Hakoah Amidar,10,11
2006/07,regular,Regular: after round 18 vs after round 17,M. Petah Tikva,5,6
2006/07,regular,Regular: after round 18 vs after round 17,Maccabi Haifa,6,7
2006/07,regular,Regular: after round 18 vs after round 17,Maccabi Herzlya,11,10
2006/07,regular,Regular: after round 18 vs after round 17,Maccabi Netanya,7,5
2006/07,regular,Regular: after round 19 vs after round 18,FC Ashdod,3,4
2006/07,regular,Regular: after round 19 vs after round 18,M. Petah Tikva,6,5
2006/07,regular,Regular: after round 19 vs after round 18,M. Tel Aviv,4,3
2006/07,regular,Regular: after round 19 vs after round 18,Maccabi Netanya,5,6
2006/07,regular,Regular: after round 20 vs after round 19,Hapoel Tel Aviv,2,3
2006/07,regular,Regular: after round 20 vs after round 19,M. Tel Aviv,3,2
2006/07,regular,Regular: after round 21 vs after round 20,FC Ashdod,4,5
2006/07,regular,Regular: after round 21 vs after round 20,Hapoel Tel Aviv,3,2
2006/07,regular,Regular: after round 21 vs after round 20,M. Petah Tikva,5,6
2006/07,regular,Regular: after round 21 vs after round 20,M. Tel Aviv,2,3
2006/07,regular,Regular: after round 21 vs after round 20,Maccabi Netanya,6,4
2006/07,regular,Regular: after round 22 vs after round 21,M. Petah Tikva,6,7
2006/07,regular,Regular: after round 22 vs after round 21,Maccabi Haifa,7,6
2006/07,regular,Regular: after round 23 vs after round 22,Hakoah Amidar,11,10
2006/07,regular,Regular: after round 23 vs after round 22,M. Petah Tikva,7,6
2006/07,regular,Regular: after round 23 vs after round 22,Maccabi Haifa,6,7
2006/07,regular,Regular: after round 23 vs after round 22,Maccabi Herzlya,10,11
2006/07,regular,Regular: after round 24 vs after round 23,FC Ashdod,5,6
2006/07,regular,Regular: after round 24 vs after round 23,M. Petah Tikva,6,4
2006/07,regular,Regular: after round 24 vs after round 23,Maccabi Netanya,4,5
2006/07,regular,Regular: after round 25 vs after round 24,Hapoel Tel Aviv,2,3
