season,playoff_round,rank,team,matches,wins,draws,losses,goals,goal_diff,points
2011/12,7,1,Kiryat Shmona,7,2,1,4,48:26,22,73
2011/12,7,2,Hapoel Tel Aviv,7,2,4,1,63:35,28,59
2011/12,7,3,Bnei Yehuda,7,5,1,1,53:36,17,59
2011/12,7,4,Maccabi Netanya,7,4,0,3,54:48,6,59
2011/12,7,5,Maccabi Haifa,7,4,1,2,59:44,15,58
2011/12,7,6,M. Tel Aviv,7,3,2,2,55:43,12,55
2011/12,7,7,FC Ashdod,7,2,1,4,44:44,0,54
2011/12,7,8,Bnei Sakhnin,7,1,0,6,60:53,7,50
