rank,team,points,season,playoff_round
1,Maccabi Haifa,81,2022/23,10
2,H. Beer Sheva,74,2022/23,10
3,M. Tel Aviv,73,2022/23,10
4,H. Jerusalem,45,2022/23,10
5,Maccabi Netanya,45,2022/23,10
6,FC Ashdod,43,2022/23,10
