rank,team,points,season,playoff_round
1,Maccabi Haifa,79,2020/21,10
2,M. Tel Aviv,75,2020/21,10
3,FC Ashdod,54,2020/21,10
4,H. Beer Sheva,48,2020/21,10
5,M. Petah Tikva,46,2020/21,10
6,Kiryat Shmona,46,2020/21,10
