rank,team,points,season,playoff_round
1,Maccabi Haifa,78,2021/22,10
2,H. Beer Sheva,70,2021/22,10
3,M. Tel Aviv,69,2021/22,10
4,Maccabi Netanya,52,2021/22,10
5,Hapoel Tel Aviv,50,2021/22,10
6,Bnei Sakhnin,49,2021/22,10
