rank,team,points,season,playoff_round
1,Maccabi Haifa,45,2010/11,5
2,Hapoel Tel Aviv,38,2010/11,5
3,M. Tel Aviv,35,2010/11,5
4,Bnei Yehuda,31,2010/11,5
5,Kiryat Shmona,28,2010/11,5
6,Maccabi Netanya,27,2010/11,5
