rank,team,points,season,playoff_round
1,M. Tel Aviv,84,2013/14,10
2,H. Beer Sheva,68,2013/14,10
3,Kiryat Shmona,64,2013/14,10
4,Hapoel Tel Aviv,58,2013/14,10
5,Maccabi Haifa,53,2013/14,10
6,Bnei Sakhnin,47,2013/14,10
