rank,team,points,season,playoff_round
1,H. Beer Sheva,79,2025/26,10
2,B. Jerusalem,76,2025/26,10
3,M. Tel Aviv,66,2025/26,10
4,Hapoel Tel Aviv,60,2025/26,10
5,Maccabi Haifa,55,2025/26,10
6,H. Petah Tikva,40,2025/26,10
