rank,team,points,season,playoff_round
1,H. Beer Sheva,80,2017/18,10
2,M. Tel Aviv,71,2017/18,10
3,B. Jerusalem,68,2017/18,10
4,Hapoel Haifa,62,2017/18,10
5,Maccabi Netanya,58,2017/18,10
6,Bnei Yehuda,49,2017/18,10
