rank,team,points,season,playoff_round
1,M. Tel Aviv,87,2019/20,10
2,Maccabi Haifa,73,2019/20,10
3,B. Jerusalem,59,2019/20,10
4,H. Beer Sheva,55,2019/20,10
5,Hapoel Tel Aviv,48,2019/20,10
6,Hapoel Haifa,47,2019/20,10
