rank,team,points,season,playoff_round
1,H. Beer Sheva,83,2015/16,10
2,M. Tel Aviv,81,2015/16,10
3,B. Jerusalem,60,2015/16,10
4,Maccabi Haifa,53,2015/16,10
5,Bnei Sakhnin,48,2015/16,10
6,Hapoel Raanana,42,2015/16,10
