rank,team,points,season,playoff_round
1,Hapoel Tel Aviv,49,2009/10,5
2,Maccabi Haifa,49,2009/10,5
3,M. Tel Aviv,34,2009/10,5
4,Bnei Yehuda,31,2009/10,5
5,B. Jerusalem,26,2009/10,5
6,FC Ashdod,22,2009/10,5
