rank,team,points,season,playoff_round
1,M. Tel Aviv,89,2018/19,10
2,Maccabi Haifa,58,2018/19,10
3,H. Beer Sheva,55,2018/19,10
4,Maccabi Netanya,53,2018/19,10
5,Bnei Yehuda,51,2018/19,10
6,Hapoel Hadera,42,2018/19,10
