rank,team,points,season,playoff_round
1,M. Tel Aviv,80,2012/13,10
2,Maccabi Haifa,67,2012/13,10
3,Hapoel Tel Aviv,58,2012/13,10
4,Bnei Yehuda,55,2012/13,10
5,Kiryat Shmona,53,2012/13,10
6,Ramat haSharon,40,2012/13,10
