rank,team,points,season,playoff_round
1,M. Tel Aviv,80,2024/25,10
2,H. Beer Sheva,78,2024/25,10
3,Maccabi Haifa,61,2024/25,10
4,B. Jerusalem,54,2024/25,10
5,Hapoel Haifa,52,2024/25,10
6,Maccabi Netanya,45,2024/25,10
