rank,team,points,season,playoff_round
1,M. Tel Aviv,85,2023/24,10
2,Maccabi Haifa,74,2023/24,10
3,H. Beer Sheva,61,2023/24,10
4,Hapoel Haifa,59,2023/24,10
5,M. Bnei Reineh,44,2023/24,10
6,Bnei Sakhnin,44,2023/24,10
