rank,team,points,season,playoff_round
1,M. Tel Aviv,70,2014/15,10
2,Kiryat Shmona,64,2014/15,10
3,H. Beer Sheva,62,2014/15,10
4,B. Jerusalem,52,2014/15,10
5,Maccabi Haifa,50,2014/15,10
6,M. Petah Tikva,48,2014/15,10
