season,round,leader,leader_points,second,second_points,gap
2020/21,21,Maccabi Haifa,47,M. Tel Aviv,45,2
2020/21,22,Maccabi Haifa,50,M. Tel Aviv,48,2
2020/21,23,Maccabi Haifa,53,M. Tel Aviv,51,2
2020/21,24,M. Tel Aviv,54,Maccabi Haifa,53,1
2020/21,25,M. Tel Aviv,57,Maccabi Haifa,56,1
2020/21,26,Maccabi Haifa,59,M. Tel Aviv,58,1
2021/22,1,Bnei Sakhnin,3,H. Beer Sheva,3,0
2021/22,2,Hapoel Tel Aviv,6,H. Beer Sheva,4,2
2021/22,3,H. Nof HaGalil,7,Hapoel Tel Aviv,7,0
2021/22,4,Hapoel Haifa,10,H. Beer Sheva,8,2
2021/22,5,H. Beer Sheva,11,Hapoel Haifa,10,1
2021/22,6,H. Beer Sheva,14,Hapoel Haifa,13,1
2021/22,7,H. Beer Sheva,17,Hapoel Tel Aviv,14,3
2021/22,8,H. Beer Sheva,18,Hapoel Haifa,16,2
2021/22,9,H. Beer Sheva,19,Maccabi Haifa,17,2
2021/22,10,H. Beer Sheva,22,Maccabi Haifa,20,2
2021/22,11,H. Beer Sheva,25,Maccabi Haifa,23,2
2021/22,12,H. Beer Sheva,28,Maccabi Haifa,26,2
2021/22,13,H. Beer Sheva,31,Maccabi Haifa,29,2
2021/22,14,H. Beer Sheva,34,Maccabi Haifa,32,2
2021/22,15,H. Beer Sheva,37,Maccabi Haifa,35,2
2021/22,16,H. Beer Sheva,40,Maccabi Haifa,38,2
2021/22,17,Maccabi Haifa,41,H. Beer Sheva,40,1
2021/22,18,Maccabi Haifa,44,H. Beer Sheva,40,4
2021/22,19,Maccabi Haifa,45,H. Beer Sheva,43,2
2021/22,20,Maccabi Haifa,46,H. Beer Sheva,46,0
2021/22,21,Maccabi Haifa,49,H. Beer Sheva,46,3
2021/22,22,Maccabi Haifa,49,H. Beer Sheva,47,2
2021/22,23,Maccabi Haifa,52,H. Beer Sheva,48,4
2021/22,24,Maccabi Haifa,55,H. Beer Sheva,49,6
2021/22,25,Maccabi Haifa,56,H. Beer Sheva,52,4
2021/22,26,Maccabi Haifa,59,H. Beer Sheva,55,4
2022/23,1,M. Tel Aviv,3,Maccabi Netanya,3,0
2022/23,2,M. Tel Aviv,6,Maccabi Haifa,6,0
2022/23,3,M. Tel Aviv,9,Maccabi Haifa,9,0
2022/23,4,Maccabi Haifa,12,M. Tel Aviv,10,2
2022/23,5,M. Tel Aviv,13,Maccabi Haifa,12,1
2022/23,6,Maccabi Haifa,15,H. Jerusalem,14,1
2022/23,7,M. Tel Aviv,16,Maccabi Haifa,15,1
2022/23,8,M. Tel Aviv,19,Maccabi Haifa,18,1
2022/23,9,M. Tel Aviv,22,Maccabi Haifa,21,1
2022/23,10,Maccabi Haifa,24,M. Tel Aviv,22,2
2022/23,11,Maccabi Haifa,27,M. Tel Aviv,23,4
2022/23,12,Maccabi Haifa,30,M. Tel Aviv,26,4
2022/23,13,Maccabi Haifa,33,M. Tel Aviv,29,4
2022/23,14,Maccabi Haifa,36,M. Tel Aviv,32,4
2022/23,15,Maccabi Haifa,39,M. Tel Aviv,35,4
2022/23,16,Maccabi Haifa,42,M. Tel Aviv,36,6
2022/23,17,Maccabi Haifa,45,M. Tel Aviv,39,6
2022/23,18,Maccabi Haifa,48,H. Beer Sheva,41,7
2022/23,19,Maccabi Haifa,48,M. Tel Aviv,43,5
2022/23,20,Maccabi Haifa,49,H. Beer Sheva,45,4
2022/23,21,Maccabi Haifa,50,H. Beer Sheva,48,2
2022/23,22,Maccabi Haifa,53,H. Beer Sheva,49,4
2022/23,23,Maccabi Haifa,53,H. Beer Sheva,49,4
2022/23,24,Maccabi Haifa,56,H. Beer Sheva,52,4
2022/23,25,Maccabi Haifa,59,H. Beer Sheva,55,4
2022/23,26,Maccabi Haifa,62,H. Beer Sheva,58,4
2023/24,1,M. Tel Aviv,3,H. Beer Sheva,3,0
2023/24,2,M. Tel Aviv,6,H. Beer Sheva,4,2
2023/24,3,M. Tel Aviv,7,Hapoel Haifa,7,0
2023/24,4,M. Tel Aviv,10,Hapoel Haifa,10,0
2023/24,5,M. Tel Aviv,13,Hapoel Haifa,10,3
2023/24,6,M. Tel Aviv,16,Hapoel Haifa,13,3
2023/24,7,M. Tel Aviv,16,Maccabi Haifa,14,2
2023/24,8,M. Tel Aviv,19,Hapoel Haifa,17,2
2023/24,9,M. Tel Aviv,22,Maccabi Haifa,18,4
2023/24,10,M. Tel Aviv,25,Maccabi Haifa,21,4
2023/24,11,M. Tel Aviv,28,Maccabi Haifa,24,4
2023/24,12,M. Tel Aviv,31,Maccabi Haifa,27,4
2023/24,13,M. Tel Aviv,34,Maccabi Haifa,28,6
2023/24,14,M. Tel Aviv,37,Maccabi Haifa,29,8
2023/24,15,M. Tel Aviv,38,Maccabi Haifa,32,6
2023/24,16,M. Tel Aviv,39,Maccabi Haifa,35,4
2023/24,17,M. Tel Aviv,42,Maccabi Haifa,38,4
2023/24,18,M. Tel Aviv,43,Maccabi Haifa,41,2
2023/24,19,M. Tel Aviv,46,Maccabi Haifa,41,5
2023/24,20,M. Tel Aviv,46,Maccabi Haifa,44,2
2023/24,21,Maccabi Haifa,47,M. Tel Aviv,47,0
2023/24,22,M. Tel Aviv,50,Maccabi Haifa,48,2
2023/24,23,M. Tel Aviv,53,Maccabi Haifa,51,2
2023/24,24,M. Tel Aviv,56,Maccabi Haifa,54,2
2023/24,25,M. Tel Aviv,59,Maccabi Haifa,54,5
2023/24,26,M. Tel Aviv,62,Maccabi Haifa,55,7
2024/25,1,M. Bnei Reineh,3,M. Tel Aviv,3,0
2024/25,2,M. Tel Aviv,6,M. Bnei Reineh,6,0
2024/25,3,M. Tel Aviv,9,M. Bnei Reineh,7,2
2024/25,4,M. Tel Aviv,12,M. Bnei Reineh,10,2
2024/25,5,M. Tel Aviv,13,B. Jerusalem,11,2
2024/25,6,M. Tel Aviv,16,Maccabi Haifa,12,4
2024/25,7,M. Tel Aviv,19,H. Beer Sheva,14,5
2024/25,8,M. Tel Aviv,19,Maccabi Haifa,15,4
2024/25,9,M. Tel Aviv,19,Maccabi Haifa,18,1
2024/25,10,M. Tel Aviv,22,H. Beer Sheva,21,1
2024/25,11,M. Tel Aviv,25,H. Beer Sheva,24,1
2024/25,12,H. Beer Sheva,27,M. Tel Aviv,26,1
2024/25,13,H. Beer Sheva,30,M. Tel Aviv,27,3
2024/25,14,H. Beer Sheva,33,M. Tel Aviv,30,3
2024/25,15,H. Beer Sheva,34,M. Tel Aviv,33,1
2024/25,16,H. Beer Sheva,35,M. Tel Aviv,34,1
2024/25,17,H. Beer Sheva,38,M. Tel Aviv,37,1
2024/25,18,H. Beer Sheva,41,M. Tel Aviv,38,3
2024/25,19,H. Beer Sheva,44,M. Tel Aviv,41,3
2024/25,20,H. Beer Sheva,47,M. Tel Aviv,44,3
2024/25,21,H. Beer Sheva,47,M. Tel Aviv,45,2
2024/25,22,H. Beer Sheva,50,M. Tel Aviv,48,2
2024/25,23,H. Beer Sheva,53,M. Tel Aviv,51,2
2024/25,24,H. Beer Sheva,56,M. Tel Aviv,51,5
2024/25,25,H. Beer Sheva,57,M. Tel Aviv,54,3
2024/25,26,H. Beer Sheva,58,M. Tel Aviv,57,1
