season,round,leader,leader_points,second,second_points,gap
2007/08,14,B. Jerusalem,34,Maccabi Netanya,25,9
2007/08,15,B. Jerusalem,34,Maccabi Netanya,28,6
2007/08,16,B. Jerusalem,37,Maccabi Haifa,30,7
2007/08,17,B. Jerusalem,40,Maccabi Netanya,32,8
2007/08,18,B. Jerusalem,41,Maccabi Netanya,35,6
2007/08,19,B. Jerusalem,44,Maccabi Netanya,36,8
2007/08,20,B. Jerusalem,47,Maccabi Netanya,39,8
2007/08,21,B. Jerusalem,50,Maccabi Netanya,39,11
2007/08,22,B. Jerusalem,51,Maccabi Netanya,40,11
2007/08,23,B. Jerusalem,54,Maccabi Netanya,41,13
2007/08,24,B. Jerusalem,57,Maccabi Netanya,41,16
2007/08,25,B. Jerusalem,60,Maccabi Netanya,44,16
2007/08,26,B. Jerusalem,61,Maccabi Netanya,45,16
2007/08,27,B. Jerusalem,61,Maccabi Netanya,46,15
2007/08,28,B. Jerusalem,64,Maccabi Netanya,49,15
2007/08,29,B. Jerusalem,64,Maccabi Netanya,52,12
2007/08,30,B. Jerusalem,64,Maccabi Netanya,55,9
2007/08,31,B. Jerusalem,67,Maccabi Netanya,55,12
2007/08,32,B. Jerusalem,67,Maccabi Netanya,58,9
2007/08,33,B. Jerusalem,67,Maccabi Netanya,58,9
2008/09,1,Maccabi Haifa,3,M. Tel Aviv,3,0
2008/09,2,Maccabi Netanya,4,Maccabi Haifa,4,0
2008/09,3,Maccabi Netanya,7,Maccabi Haifa,7,0
2008/09,4,Maccabi Netanya,10,Maccabi Haifa,8,2
2008/09,5,Maccabi Netanya,13,Maccabi Haifa,11,2
2008/09,6,Maccabi Haifa,14,Maccabi Netanya,14,0
2008/09,7,Maccabi Haifa,17,Maccabi Netanya,17,0
2008/09,8,Maccabi Haifa,20,Maccabi Netanya,18,2
2008/09,9,Maccabi Netanya,21,Maccabi Haifa,20,1
2008/09,10,Maccabi Haifa,21,Maccabi Netanya,21,0
2008/09,11,Maccabi Haifa,24,Maccabi Netanya,24,0
2008/09,12,Maccabi Haifa,27,Maccabi Netanya,25,2
2008/09,13,Maccabi Haifa,28,Maccabi Netanya,26,2
2008/09,14,Maccabi Haifa,31,Maccabi Netanya,27,4
2008/09,15,Maccabi Haifa,32,Maccabi Netanya,28,4
2008/09,16,Maccabi Haifa,32,Maccabi Netanya,31,1
2008/09,17,Maccabi Haifa,35,Hapoel Tel Aviv,31,4
2008/09,18,Maccabi Haifa,36,Maccabi Netanya,32,4
2008/09,19,Maccabi Haifa,39,Hapoel Tel Aviv,34,5
2008/09,20,Maccabi Haifa,39,Maccabi Netanya,36,3
2008/09,21,Maccabi Haifa,39,Hapoel Tel Aviv,38,1
2008/09,22,Maccabi Haifa,42,Hapoel Tel Aviv,41,1
2008/09,23,Maccabi Haifa,45,Hapoel Tel Aviv,41,4
2008/09,24,Maccabi Haifa,46,Hapoel Tel Aviv,44,2
2008/09,25,Maccabi Haifa,49,Hapoel Tel Aviv,47,2
2008/09,26,Maccabi Haifa,52,Hapoel Tel Aviv,50,2
2008/09,27,Hapoel Tel Aviv,53,Maccabi Haifa,53,0
2008/09,28,Maccabi Haifa,56,Hapoel Tel Aviv,54,2
2008/09,29,Hapoel Tel Aviv,57,Maccabi Haifa,57,0
2008/09,30,Maccabi Haifa,60,Hapoel Tel Aviv,58,2
2008/09,31,Maccabi Haifa,63,Hapoel Tel Aviv,58,5
2008/09,32,Maccabi Haifa,66,Hapoel Tel Aviv,61,5
2008/09,33,Maccabi Haifa,67,Hapoel Tel Aviv,61,6
2009/10,1,Bnei Yehuda,3,M. Tel Aviv,3,0
2009/10,2,Bnei Yehuda,6,M. Tel Aviv,6,0
2009/10,3,Maccabi Haifa,9,Bnei Yehuda,7,2
2009/10,4,Maccabi Haifa,12,Bnei Yehuda,10,2
2009/10,5,Maccabi Haifa,15,Hapoel Haifa,12,3
2009/10,6,Maccabi Haifa,18,Hapoel Haifa,12,6
2009/10,7,Maccabi Haifa,21,M. Tel Aviv,14,7
2009/10,8,Maccabi Haifa,24,Hapoel Tel Aviv,15,9
2009/10,9,Maccabi Haifa,27,Hapoel Tel Aviv,18,9
2009/10,10,Maccabi Haifa,30,Hapoel Tel Aviv,21,9
2009/10,11,Maccabi Haifa,30,Hapoel Tel Aviv,24,6
2009/10,12,Maccabi Haifa,33,Hapoel Tel Aviv,27,6
2009/10,13,Maccabi Haifa,36,Hapoel Tel Aviv,28,8
2009/10,14,Maccabi Haifa,39,Hapoel Tel Aviv,31,8
2009/10,15,Maccabi Haifa,42,Hapoel Tel Aviv,34,8
2009/10,16,Maccabi Haifa,45,Hapoel Tel Aviv,37,8
2009/10,17,Maccabi Haifa,48,Hapoel Tel Aviv,38,10
2009/10,18,Maccabi Haifa,51,Hapoel Tel Aviv,41,10
2009/10,19,Maccabi Haifa,52,Hapoel Tel Aviv,42,10
2009/10,20,Maccabi Haifa,55,Hapoel Tel Aviv,43,12
2009/10,21,Maccabi Haifa,58,Hapoel Tel Aviv,46,12
2009/10,22,Maccabi Haifa,61,Hapoel Tel Aviv,49,12
2009/10,23,Maccabi Haifa,61,Hapoel Tel Aviv,52,9
2009/10,24,Maccabi Haifa,64,Hapoel Tel Aviv,55,9
2009/10,25,Maccabi Haifa,67,Hapoel Tel Aviv,56,11
2009/10,26,Maccabi Haifa,70,Hapoel Tel Aviv,59,11
2009/10,27,Maccabi Haifa,70,Hapoel Tel Aviv,62,8
2009/10,28,Maccabi Haifa,73,Hapoel Tel Aviv,65,8
2009/10,29,Maccabi Haifa,76,Hapoel Tel Aviv,68,8
2009/10,30,Maccabi Haifa,77,Hapoel Tel Aviv,71,6
2010/11,1,Maccabi Netanya,3,H. Ashkelon,3,0
2010/11,2,Hapoel Haifa,6,Maccabi Haifa,6,0
2010/11,3,Hapoel Haifa,9,Maccabi Netanya,7,2
2010/11,4,Kiryat Shmona,10,Maccabi Haifa,10,0
2010/11,5,Kiryat Shmona,13,M. Tel Aviv,12,1
2010/11,6,Kiryat Shmona,16,Maccabi Haifa,14,2
2010/11,7,Kiryat Shmona,17,M. Tel Aviv,15,2
2010/11,8,Maccabi Haifa,18,Kiryat Shmona,17,1
2010/11,9,M. Tel Aviv,19,Hapoel Tel Aviv,19,0
2010/11,10,Kiryat Shmona,21,Maccabi Haifa,21,0
2010/11,11,Kiryat Shmona,24,Hapoel Tel Aviv,23,1
2010/11,12,Kiryat Shmona,25,Maccabi Haifa,25,0
2010/11,13,Maccabi Haifa,28,Hapoel Tel Aviv,26,2
2010/11,14,Maccabi Haifa,31,Hapoel Tel Aviv,29,2
2010/11,15,Maccabi Haifa,34,Hapoel Tel Aviv,32,2
2010/11,16,Maccabi Haifa,37,Hapoel Tel Aviv,35,2
