season,round,leader_points,num_contenders,contender_teams
2007/08,29,64,1,B. Jerusalem
2007/08,30,64,1,B. Jerusalem
2007/08,31,67,1,B. Jerusalem
2007/08,32,67,1,B. Jerusalem
2007/08,33,67,1,B. Jerusalem
2008/09,1,3,12,"Maccabi Haifa, M. Tel Aviv, Hakoah Amidar, Hapoel Tel Aviv, M. Petah Tikva, Maccabi Netanya, Bnei Sakhnin, H. Petah Tikva, Kiryat Shmona, Bnei Yehuda, FC Ashdod, B. Jerusalem"
2008/09,2,4,12,"Maccabi Netanya, Maccabi Haifa, M. Petah Tikva, M. Tel Aviv, FC Ashdod, Hakoah Amidar, Hapoel Tel Aviv, Bnei Yehuda, Bnei Sakhnin, H. Petah Tikva, Kiryat Shmona, B. Jerusalem"
2008/09,3,7,12,"Maccabi Netanya, Maccabi Haifa, M. Petah Tikva, M. Tel Aviv, H. Petah Tikva, Hapoel Tel Aviv, FC Ashdod, B. Jerusalem, Hakoah Amidar, Kiryat Shmona, Bnei Yehuda, Bnei Sakhnin"
2008/09,4,10,7,"Maccabi Netanya, Maccabi Haifa, M. Tel Aviv, M. Petah Tikva, Hapoel Tel Aviv, Kiryat Shmona, H. Petah Tikva"
2008/09,5,13,6,"Maccabi Netanya, Maccabi Haifa, M. Tel Aviv, M. Petah Tikva, Kiryat Shmona, H. Petah Tikva"
2008/09,6,14,6,"Maccabi Haifa, Maccabi Netanya, M. Petah Tikva, M. Tel Aviv, H. Petah Tikva, Kiryat Shmona"
2008/09,7,17,3,"Maccabi Haifa, Maccabi Netanya, M. Petah Tikva"
2008/09,8,20,3,"Maccabi Haifa, Maccabi Netanya, M. Petah Tikva"
2008/09,9,21,3,"Maccabi Netanya, Maccabi Haifa, M. Petah Tikva"
2008/09,10,21,3,"Maccabi Haifa, Maccabi Netanya, M. Petah Tikva"
2008/09,11,24,2,"Maccabi Haifa, Maccabi Netanya"
2008/09,12,27,2,"Maccabi Haifa, Maccabi Netanya"
2008/09,13,28,2,"Maccabi Haifa, Maccabi Netanya"
