season,round,leader_points,num_contenders,contender_teams
2024/25,15,34,4,"H. Beer Sheva, M. Tel Aviv, Maccabi Haifa, B. Jerusalem"
2024/25,16,35,4,"H. Beer Sheva, M. Tel Aviv, Maccabi Haifa, B. Jerusalem"
2024/25,17,38,4,"H. Beer Sheva, M. Tel Aviv, Maccabi Haifa, B. Jerusalem"
2024/25,18,41,3,"H. Beer Sheva, M. Tel Aviv, Maccabi Haifa"
2024/25,19,44,3,"H. Beer Sheva, M. Tel Aviv, Maccabi Haifa"
2024/25,20,47,2,"H. Beer Sheva, M. Tel Aviv"
2024/25,21,47,3,"H. Beer Sheva, M. Tel Aviv, Maccabi Haifa"
2024/25,22,50,2,"H. Beer Sheva, M. Tel Aviv"
2024/25,23,53,2,"H. Beer Sheva, M. Tel Aviv"
2024/25,24,56,2,"H. Beer Sheva, M. Tel Aviv"
2024/25,25,57,2,"H. Beer Sheva, M. Tel Aviv"
2024/25,26,58,2,"H. Beer Sheva, M. Tel Aviv"
