rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,M. Tel Aviv,26,21,3,2,58:18,40,66
2,H. Beer Sheva,26,18,5,3,48:19,29,59
3,Kiryat Shmona,26,12,8,6,38:26,12,44
4,Maccabi Haifa,26,13,5,8,39:30,9,44
5,Bnei Sakhnin,26,11,7,8,30:25,5,40
6,Hapoel Tel Aviv,26,11,6,9,51:38,13,39
7,FC Ashdod,26,8,7,11,28:35,-7,31
8,Hapoel Haifa,26,8,7,11,27:34,-7,31
9,B. Jerusalem,26,8,6,12,21:28,-7,30
10,Hapoel Acre,26,6,9,11,24:37,-13,27
11,Hapoel Raanana,26,6,8,12,20:33,-13,26
12,M. Petah Tikva,26,5,8,13,28:45,-17,23
13,Bnei Yehuda,26,4,8,14,26:39,-13,20
14,Ramat haSharon,26,5,5,16,21:52,-31,20
