rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,H. Beer Sheva,26,18,5,3,54:13,41,59
2,M. Tel Aviv,26,17,5,4,45:19,26,56
3,M. Petah Tikva,26,13,9,4,36:23,13,48
4,B. Jerusalem,26,10,10,6,34:27,7,40
5,Bnei Sakhnin,26,10,9,7,26:26,0,39
6,Maccabi Haifa,26,10,8,8,30:25,5,38
7,Kiryat Shmona,26,9,8,9,35:33,2,35
8,Hapoel Haifa,26,8,4,14,29:36,-7,28
9,FC Ashdod,26,6,10,10,15:26,-11,28
10,Hapoel Raanana,26,7,7,12,14:29,-15,28
11,Bnei Yehuda,26,5,10,11,20:32,-12,25
12,H. Kfar Saba,26,4,9,13,17:34,-17,21
13,H. Ashkelon,26,3,9,14,15:39,-24,18
14,Hapoel Tel Aviv,26,5,11,10,18:26,-8,17
