rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,Maccabi Haifa,26,20,2,4,51:24,27,62
2,H. Beer Sheva,26,18,4,4,52:19,33,58
3,M. Tel Aviv,26,15,7,4,53:15,38,52
4,Maccabi Netanya,26,10,7,9,33:38,-5,37
5,H. Jerusalem,26,9,9,8,30:26,4,36
6,FC Ashdod,26,9,9,8,32:30,2,36
7,B. Jerusalem,26,9,4,13,38:47,-9,31
8,Hapoel Haifa,26,6,12,8,25:28,-3,30
9,Bnei Sakhnin,26,7,9,10,26:30,-4,30
10,Hapoel Hadera,26,6,11,9,26:41,-15,29
11,Hapoel Tel Aviv,26,6,9,11,28:42,-14,27
12,M. Bnei Reineh,26,5,9,12,23:42,-19,24
13,Kiryat Shmona,26,3,12,11,27:39,-12,21
14,Ness Ziona,26,3,8,15,23:46,-23,17
