rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,M. Tel Aviv,26,19,2,5,61:20,41,59
2,Maccabi Haifa,26,14,7,5,41:20,21,49
3,Kiryat Shmona,26,11,10,5,34:25,9,43
4,Hapoel Tel Aviv,26,12,6,8,33:29,4,42
5,Bnei Yehuda,26,11,5,10,35:31,4,38
6,Ramat haSharon,26,11,4,11,28:30,-2,37
7,FC Ashdod,26,10,5,11,30:30,0,35
8,B. Jerusalem,26,8,9,9,36:42,-6,33
9,H. Beer Sheva,26,7,9,10,23:35,-12,30
10,Hapoel Haifa,26,6,10,10,28:40,-12,28
11,Maccabi Netanya,26,6,9,11,32:39,-7,27
12,Bnei Sakhnin,26,6,8,12,25:45,-20,26
13,H. Ramat Gan,26,6,7,13,32:39,-7,25
14,Hapoel Acre,26,5,9,12,29:42,-13,24
