rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,Maccabi Haifa,26,18,5,3,62:19,43,59
2,H. Beer Sheva,26,16,7,3,39:17,22,55
3,M. Tel Aviv,26,16,5,5,48:31,17,53
4,Bnei Sakhnin,26,12,6,8,28:29,-1,42
5,Maccabi Netanya,26,10,10,6,34:27,7,40
6,Hapoel Tel Aviv,26,10,8,8,36:31,5,38
7,Hapoel Hadera,26,9,9,8,22:28,-6,36
8,Kiryat Shmona,26,9,6,11,29:32,-3,33
9,Hapoel Haifa,26,8,6,12,33:37,-4,30
10,FC Ashdod,26,8,3,15,28:44,-16,27
11,H. Jerusalem,26,5,8,13,19:35,-16,23
12,B. Jerusalem,26,5,7,14,23:36,-13,22
13,M. Petah Tikva,26,5,6,15,27:37,-10,21
14,H. Nof HaGalil,26,4,8,14,20:45,-25,20
