rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,B. Jerusalem,33,20,7,6,61:23,38,67
2,Maccabi Netanya,33,16,10,7,40:24,16,58
3,Kiryat Shmona,33,15,11,7,43:34,9,56
4,Bnei Sakhnin,33,15,10,8,35:29,6,55
5,Maccabi Haifa,33,13,8,12,38:27,11,47
6,M. Tel Aviv,33,11,8,14,43:43,0,41
7,Hapoel Tel Aviv,33,12,5,16,35:40,-5,41
8,FC Ashdod,33,11,6,16,36:52,-16,39
9,Bnei Yehuda,33,11,5,17,31:43,-12,38
10,M. Petah Tikva,33,10,7,16,28:39,-11,37
11,H. Kfar Saba,33,9,10,14,37:54,-17,37
12,Maccabi Herzlya,33,7,9,17,32:51,-19,30
