rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,Maccabi Haifa,33,19,10,4,49:24,25,67
2,Hapoel Tel Aviv,33,17,10,6,49:28,21,61
3,B. Jerusalem,33,16,12,5,47:28,19,57
4,Maccabi Netanya,33,14,12,7,40:32,8,54
5,Bnei Yehuda,33,14,7,12,38:31,7,49
6,M. Tel Aviv,33,11,11,11,36:35,1,44
7,M. Petah Tikva,33,8,15,10,26:33,-7,39
8,FC Ashdod,33,10,8,15,41:48,-7,38
9,Bnei Sakhnin,33,7,12,14,26:41,-15,33
10,H. Petah Tikva,33,8,7,18,30:42,-12,31
11,Hakoah Amidar,33,6,11,16,26:46,-20,29
12,Kiryat Shmona,33,6,9,18,24:44,-20,27
