rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,B. Jerusalem,33,19,10,4,52:24,28,67
2,Maccabi Netanya,33,15,12,6,37:25,12,57
3,M. Tel Aviv,33,15,11,7,42:28,14,54
4,Hapoel Tel Aviv,33,15,9,9,53:40,13,54
5,Maccabi Haifa,33,14,9,10,45:39,6,51
6,M. Petah Tikva,33,14,8,11,31:27,4,50
7,FC Ashdod,33,12,6,15,49:49,0,42
8,H. Kfar Saba,33,8,16,9,41:40,1,40
9,Bnei Yehuda,33,7,14,12,34:50,-16,35
10,Maccabi Herzlya,33,9,7,17,47:55,-8,34
11,Hakoah Amidar,33,6,10,17,32:54,-22,28
12,H. Petah Tikva,33,3,10,20,29:61,-32,16
