rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,H. Beer Sheva,26,17,6,3,43:18,25,57
2,B. Jerusalem,26,17,5,4,60:30,30,56
3,M. Tel Aviv,26,16,7,3,44:20,24,55
4,Hapoel Haifa,26,15,7,4,36:21,15,52
5,Maccabi Netanya,26,12,9,5,43:29,14,45
6,Bnei Yehuda,26,11,7,8,32:26,6,40
7,M. Petah Tikva,26,9,6,11,30:35,-5,33
8,Kiryat Shmona,26,9,5,12,28:30,-2,32
9,Bnei Sakhnin,26,8,6,12,24:35,-11,30
10,Maccabi Haifa,26,6,7,13,26:33,-7,25
11,Hapoel Raanana,26,6,6,14,23:40,-17,24
12,FC Ashdod,26,4,9,13,22:39,-17,21
13,H. Ashkelon,26,3,8,15,19:39,-20,17
14,Hapoel Acre,26,4,2,20,19:54,-35,12
