rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,Maccabi Haifa,30,25,2,3,64:12,52,77
2,Hapoel Tel Aviv,30,21,8,1,79:25,54,71
3,M. Tel Aviv,30,15,7,8,47:33,14,52
4,B. Jerusalem,30,13,7,10,46:34,12,46
5,Bnei Yehuda,30,12,9,9,37:30,7,45
6,FC Ashdod,30,11,10,9,32:31,1,43
7,Bnei Sakhnin,30,11,8,11,28:29,-1,41
8,H. Beer Sheva,30,10,10,10,44:50,-6,40
9,Maccabi Netanya,30,9,9,12,41:40,1,36
10,M. Petah Tikva,30,8,11,11,37:43,-6,35
11,H. Ramat Gan,30,8,9,13,26:46,-20,33
12,Hapoel Haifa,30,8,8,14,39:45,-6,32
13,H. Petah Tikva,30,6,13,11,23:41,-18,31
14,Hapoel Acre,30,4,13,13,32:46,-14,25
15,M. Ahi Nazareth,30,6,6,18,27:67,-40,24
16,Hapoel Raanana,30,4,8,18,27:57,-30,20
