rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,M. Tel Aviv,26,20,6,0,57:12,45,66
2,Maccabi Haifa,26,12,8,6,34:27,7,44
3,Maccabi Netanya,26,12,7,7,34:29,5,43
4,H. Beer Sheva,26,10,9,7,36:32,4,39
5,Bnei Yehuda,26,10,7,9,39:25,14,37
6,Hapoel Hadera,26,9,6,11,30:41,-11,33
7,Hapoel Haifa,26,7,11,8,42:37,5,32
8,Hapoel Tel Aviv,26,6,13,7,26:23,3,31
9,Kiryat Shmona,26,7,9,10,25:28,-3,30
10,Hapoel Raanana,26,6,12,8,20:30,-10,30
11,B. Jerusalem,26,7,8,11,32:37,-5,29
12,M. Petah Tikva,26,6,10,10,26:40,-14,28
13,FC Ashdod,26,5,7,14,20:42,-22,22
14,Bnei Sakhnin,26,4,9,13,21:39,-18,21
